Province of Quebec | Francophone culture heavily influences the provincial government and daily civic life.
Derbent | Ancient stone fortifications constructed by early empires remain a highly prominent feature.
Batumi | The local architecture features highly eclectic contemporary designs and numerous casinos.
Kutaisi | A massive restored medieval cathedral stands as a highly prominent local landmark.
Rustavi | The settlement was artificially established to support a massive metallurgical complex.
Gyumri | The local architecture is heavily defined by the extensive use of black volcanic tuff stone.
Vanadzor | A massive chemical production industry historically dominated the local employment sector.
Nakhchivan | An intricately tiled historic mausoleum serves as a highly prominent architectural site.
Ganja | The local culture heavily honors a famous twelfth-century poet born in the settlement.
Sumqayit | The settlement developed incredibly rapidly as a hub for synthetic rubber manufacturing.
Samarkand | Massive, intensely decorated historic madrasas dominate the primary civic square.
Bukhara | A massive brick minaret is highly famous for surviving numerous historical invasions.
Khiva | The historic inner town is intensely preserved and protected by massive mud-brick walls.
Nukus | A highly remote museum houses a massive collection of preserved avant-garde art.
Namangan | The local economy historically focused almost entirely on traditional textile weaving.
Andijan | The settlement is historically significant as the birthplace of a major imperial founder.
Fergana | The urban layout features extremely wide, tree-lined avenues characteristic of military garrisons.
Osh | A massive, highly prominent sacred rock formation dominates the center of the settlement.
Jalal-Abad | The local economy benefits significantly from popular natural thermal mineral springs.
Karakol | A highly distinctive local church was constructed from wood entirely without the use of metal nails.
Naryn | The settlement serves as a major logistical hub for high-altitude mountain expeditions.
Talas | The local history is deeply tied to a massive legendary battle that shaped regional religion.
Khujand | A massive historical fortress serves as a highly prominent feature of the local landscape.
Bokhtar | The local cultural museum features a highly detailed diorama of regional agricultural practices.
Kulob | A massive mausoleum honors a highly prominent historical poet and scholar.
Khorugh | A highly specialized botanical garden cultivates plants adapted to extreme environments.
Türkmenabat | A highly prominent nature reserve protects unique local riparian ecosystems.
Daşoguz | The local culture places an incredibly high value on traditional hand-woven textiles.
Balkanabat | The local economy was historically founded almost entirely on intense petroleum extraction.
Kokshetau | The local industrial sector relies heavily on intensive dairy and grain processing.
Pavlodar | A massive factory dedicated to producing agricultural tractors historically drove the economy.
Semey | The settlement was a frequent destination for prominent exiled intellectuals and writers.
Taraz | Extensive local archaeological excavations frequently uncover ancient merchant artifacts.
Shymkent | A massive lead-smelting operation historically dominated the local industrial output.
Kyzylorda | A highly prominent local dam was constructed specifically to manage extreme seasonal flooding.
Aktobe | A highly prominent local planetarium has served as an educational hub for decades.
Atyrau | The local architecture features a highly symbolic pedestrian bridge.
Aktau | The local urban layout utilizes a highly unusual numerical block system instead of street names.
Zion National Park | The protected landscape features incredibly massive, vertical red sandstone cliff walls.
Bryce Canyon National Park | The protected area is highly famous for its incredibly dense concentration of eroded rock spires.
Arches National Park | The protected landscape features thousands of naturally occurring sandstone openings.
Capitol Reef National Park | The protected area is defined by a massive, highly visible geological monocline fold.
Canyonlands National Park | The protected landscape consists of a massive, heavily eroded high desert plateau.
Rocky Mountain National Park | The protected area features incredibly high-altitude alpine tundra and numerous glacial lakes.
Great Smoky Mountains National Park | The protected landscape is incredibly famous for its dense, blue-tinted atmospheric haze.
Shenandoah National Park | The protected area features a highly prominent historic scenic driving route.
Acadia National Park | The protected landscape is heavily defined by rugged coastal granite and dense pine forests.
Biscayne National Park | The protected area consists almost entirely of submerged coral reefs and mangrove forests.
Dry Tortugas National Park | The protected landscape features a massive, unfinished nineteenth-century coastal fortress.
Olympic National Park | The protected area features an incredibly dense, highly preserved temperate rainforest ecosystem.
Mount Rainier National Park | The protected landscape is entirely dominated by a massive, heavily glaciated stratovolcano.
Crater Lake National Park | The protected area features an incredibly deep, intensely blue body of water filling a volcanic caldera.
Joshua Tree National Park | The protected landscape is famous for its highly distinct, twisting desert vegetation.
Sequoia National Park | The protected area preserves groves of incredibly massive, ancient coniferous trees.
Kings Canyon National Park | The protected landscape features incredibly deep, dramatically carved glacial valleys.
Redwood National Park | The protected area is dedicated to preserving the absolutely tallest tree species on the planet.
Theodore Roosevelt National Park | The protected landscape preserves rugged badlands heavily associated with an early conservationist president.
Wind Cave National Park | The protected area features an incredibly dense, highly complex subterranean cavern system.
Grand Teton National Park | The protected landscape features incredibly sharp, dramatically steep mountain peaks.
Denali National Park | The protected area is entirely dominated by the absolute highest mountain peak on the continent.
Jasper National Park | The protected landscape features massive, highly accessible glacial ice fields.
Yoho National Park | The protected area is highly famous for a massive, incredibly significant fossil discovery site.
Kootenay National Park | The protected landscape features highly distinct natural thermal mineral springs.
Ngorongoro Conservation Area | The protected landscape is entirely contained inside a massive, intact volcanic caldera.
Fiordland National Park | The protected area features incredibly deep, dramatically carved coastal inlets.
Torres del Paine National Park | The protected landscape features highly distinctive, incredibly sheer granite mountain horns.
Galapagos National Park | The protected area is heavily dedicated to preserving incredibly unique, highly specialized endemic wildlife.
Cairngorms National Park | The protected landscape features a massive, highly elevated subarctic plateau ecosystem.
Peak District National Park | The protected area features highly distinct, steep limestone valleys and rugged gritstone moorland.
Lake District National Park | The protected landscape heavily inspired a prominent movement of nineteenth-century romantic poets.
Snowdonia National Park | The protected area features an incredibly rugged, highly historic mountainous landscape.
Dartmoor National Park | The protected landscape is heavily defined by exposed granite hilltops and wild roaming ponies.
Pembrokeshire Coast National Park | The protected area is entirely dedicated to preserving an incredibly rugged, highly scenic maritime coastline.
Plitvice Lakes National Park | The protected landscape features a highly complex series of cascading travertine waterfalls.
Banff National Park | The protected area was historically established directly around a series of natural hot springs.
Voyageurs National Park | The protected landscape is entirely reliant on watercraft for primary transportation and exploration.
Glacier Bay National Park | The protected area features massive, highly active tidewater glaciers dramatically calving into the ocean.
Mesa Verde National Park | The protected landscape is highly famous for incredibly well-preserved ancient cliff dwellings.
Baffin Island | The massive, highly remote landmass supports a very sparse, heavily indigenous population.
Victoria Island | The enormous, incredibly frigid landmass features absolutely massive herds of migrating caribou.
Ellesmere Island | The highly remote, intensely glaciated landmass serves as a critical base for high Arctic research.
Newfoundland | The rugged landmass historically relied almost entirely on an incredibly intense cod fishing industry.
Cape Breton Island | The landmass is highly famous for its deeply preserved Celtic musical and cultural traditions.
Vancouver Island | The landmass features a highly temperate climate and incredibly dense, ancient coniferous forests.
Kodiak Island | The rugged landmass is heavily populated by an incredibly massive, highly distinct subspecies of brown bear.
Puerto Rico | The highly populated landmass heavily blends Spanish colonial architecture with modern commercial development.
Hispaniola | The incredibly diverse landmass experienced a highly complex, deeply divided colonial political history.
Jamaica | The tropical landmass originated a highly influential, globally recognized style of popular music.
Cuba | The large landmass experienced a highly significant, globally impactful political revolution in the twentieth century.
Trinidad | The local culture originated a highly distinct musical style utilizing tuned steel industrial drums.
Tobago | The tropical landmass is heavily reliant on a highly developed international tourism industry.
Barbados | The densely populated landmass historically relied on an incredibly intense sugar cane plantation economy.
Falkland Islands | The highly rugged, wind-swept landmass supports incredibly massive populations of wild penguins.
South Georgia | The heavily glaciated, highly remote landmass historically served as a major commercial whaling hub.
Tierra del Fuego | The incredibly rugged, highly frigid landmass features heavily dramatically carved coastal fjords.
Chiloe Island | The landmass is highly famous for its deeply distinct, entirely wooden traditional church architecture.
Easter Island | The highly isolated landmass features hundreds of massive, incredibly distinct carved stone heads.
Tahiti | The tropical landmass serves as the primary administrative and commercial hub for the surrounding archipelago.
Bora Bora | The highly scenic landmass is heavily reliant on an incredibly intensive luxury resort industry.
Samoa | The local culture places an incredibly high value on complex, highly traditional full-body tattooing.
New Caledonia | The landmass relies incredibly heavily on a massive, highly lucrative nickel mining industry.
Vanuatu | The highly diverse landmass features an incredibly high density of distinct indigenous languages.
Solomon Islands | The tropical landmass was the site of incredibly intense, highly destructive World War II naval battles.
New Guinea | The massive, incredibly rugged landmass features highly impenetrable, completely unmapped highland jungles.
Sulawesi | The uniquely shaped landmass features highly distinct, incredibly elaborate traditional funeral ceremonies.
Sumatra | The massive, highly volcanic landmass supports critically endangered populations of wild orangutans.
Mindanao | The large, highly diverse landmass features a highly complex, deeply divided religious demographic history.
Luzon | The incredibly populous landmass serves as the absolute political and economic engine of the archipelago.
Palawan | The elongated landmass features an incredibly massive, highly complex navigable underground river system.
Hainan | The tropical landmass is heavily promoted as a massive, highly lucrative domestic tourist destination.
Sri Lanka | The teardrop-shaped landmass historically produced an incredibly massive, highly valuable tea export crop.
Maldives | The highly dispersed landmass relies entirely on an incredibly intensive, highly exclusive luxury tourism sector.
Seychelles | The remote landmass features incredibly unique, highly massive indigenous tortoise species.
Mauritius | The highly diverse landmass was the only known historical habitat of a famous, highly extinct flightless bird.
Zanzibar | The historic landmass historically served as a massively important hub for the global spice trade.
Socotra | The highly isolated landmass features incredibly unique, highly distinct umbrella-shaped tree species.
Rhodes | The historic landmass was famous in antiquity for a massive, highly celebrated bronze statue.
Corfu | The lush landmass features highly prominent Venetian architectural and cultural influences.
Lake Winnipeg | The massive, highly shallow freshwater body experiences incredibly severe, highly destructive summer algae blooms.
Lake Athabasca | The large, highly remote freshwater body is heavily impacted by nearby massive oil sands extraction.
Great Slave Lake | The incredibly deep, highly frigid freshwater body supports a highly active commercial ice fishing industry.
Great Bear Lake | The incredibly vast, highly isolated freshwater body is heavily locked in thick ice for most of the year.
Lake Tahoe | The incredibly clear, highly elevated freshwater body is heavily surrounded by massive luxury ski resorts.
Lake Powell | The massive, entirely artificial freshwater body experiences incredibly severe, highly visible fluctuating water levels.
Lake Mead | The massive, highly critical artificial reservoir provides municipal water for incredibly massive desert cities.
Lake Okeechobee | The highly shallow, incredibly expansive freshwater body is heavily constrained by massive artificial flood dikes.
Lake Champlain | The elongated freshwater body was the site of a highly significant, incredibly decisive historical naval battle.
Lake Winnebago | The highly shallow freshwater body supports an incredibly massive, highly regulated seasonal sturgeon spearing industry.
Lake of the Woods | The highly complex freshwater body features an incredibly massive number of small, heavily forested islands.
Lake Nipigon | The massive, highly pristine freshwater body is deeply revered by local indigenous populations.
Lake Titicaca | The incredibly elevated, highly massive freshwater body features uniquely constructed, entirely floating reed islands.
Lake Poopo | The incredibly shallow, highly saline water body is entirely prone to complete, highly destructive evaporation events.
Lake Maracaibo | The massive, highly unique water body experiences incredibly intense, highly frequent atmospheric lightning storms.
Lake Nicaragua | The massive, highly dynamic freshwater body supports an incredibly unique, highly adapted population of freshwater sharks.
Lough Neagh | The massive, highly shallow freshwater body supports an incredibly significant, highly lucrative commercial eel fishery.
Lough Corrib | The complex, highly scenic freshwater body features hundreds of incredibly small, highly distinctive rocky islands.
Loch Lomond | The elongated, highly scenic freshwater body is deeply celebrated in highly traditional regional folk music.
Lake Peipus | The massive, highly frigid freshwater body was the site of an incredibly famous, highly decisive medieval ice battle.
Lake Ladoga | The incredibly massive, highly deep freshwater body served as a completely critical winter supply route during a historic siege.
Lake Onega | The massive, highly complex freshwater body features an incredibly famous, heavily preserved traditional wooden church complex.
Sea of Azov | The incredibly shallow, highly murky water body experiences remarkably severe, highly disruptive winter freezing.
Lake Malawi | The incredibly deep, highly dynamic freshwater body supports an incredibly massive diversity of specialized cichlid fish.
Lake Chad | The incredibly shallow, highly dynamic water body experienced a massively severe, highly disruptive historical reduction in volume.
Lake Turkana | The incredibly massive, highly alkaline water body is entirely surrounded by an incredibly harsh, heavily arid desert environment.
Lake Albert | The massive, highly remote freshwater body serves as a completely critical, highly productive local commercial fishery.
Lake Tana | The highly elevated, incredibly dynamic freshwater body serves as the absolute primary source for a massive continental river.
Lake Kivu | The incredibly deep, highly dynamic freshwater body contains an incredibly massive, highly dangerous concentration of dissolved methane gas.
Baffin Bay | The incredibly deep, highly frigid water body is entirely choked by incredibly massive, highly dangerous drifting icebergs.
Bay of Biscay | The highly dynamic, incredibly rugged water body is entirely famous for its incredibly severe, highly unpredictable maritime weather.
Bay of Bengal | The incredibly massive, highly dynamic water body experiences incredibly severe, highly destructive seasonal tropical cyclones.
Arabian Sea | The highly dynamic, incredibly massive water body served as an entirely critical, highly navigated historical trade route.
Yukon River | The incredibly long, highly frigid waterway served as a completely critical, highly navigated historic gold rush transportation route.
Mackenzie River | The incredibly massive, highly remote waterway drains an incredibly vast, entirely pristine northern wilderness basin.
Nelson River | The highly dynamic, incredibly powerful waterway is entirely critical for massive, highly lucrative regional hydroelectric power generation.
Churchill River | The incredibly rugged, highly complex waterway served as a completely critical, highly navigated historic fur trade route.
Hudson River | The highly scenic, incredibly historic waterway is completely flanked by incredibly massive, highly steep basalt cliffs.
Delaware River | The highly dynamic, incredibly historic waterway was the site of a completely critical, highly famous revolutionary military crossing.
Susquehanna River | The highly shallow, incredibly expansive waterway is completely unnavigable for incredibly massive, highly lucrative commercial shipping.
Potomac River | The incredibly historic, highly dynamic waterway flows entirely directly past an incredibly massive, highly significant array of national monuments.
James River | The highly historic, incredibly dynamic waterway served as the completely critical, highly navigated lifeline for an incredibly famous early colonial settlement.
Roanoke River | The highly dynamic, incredibly complex waterway is entirely regulated by a completely massive, highly engineered cascade of hydroelectric dams.
Savannah River | The highly dynamic, incredibly scenic waterway was entirely critical for the completely massive, highly lucrative historical export of raw cotton.
Chattahoochee River | The incredibly dynamic, highly engineered waterway provides completely critical, absolutely massive municipal water supplies for a major urban agglomeration.
Apalachicola River | The highly dynamic, incredibly pristine waterway supports a completely massive, highly lucrative commercial oyster harvesting industry.
Mobile River | The highly dynamic, incredibly deep waterway serves as a completely critical, highly navigated commercial shipping artery to a massive maritime port.
Tombigbee River | The highly dynamic, incredibly engineered waterway was entirely modified to create a completely massive, highly navigable commercial shipping canal.
Alabama River | The highly dynamic, incredibly historic waterway served as a completely critical, highly navigated transportation route during the intense antebellum era.
Tennessee River | The highly dynamic, incredibly engineered waterway was entirely transformed by a completely massive, highly ambitious federal hydroelectric project.
Cumberland River | The highly dynamic, incredibly scenic waterway features a completely massive, highly spectacular natural waterfall along its primary course.
Ohio River | The incredibly massive, highly dynamic waterway served as the absolutely primary, completely critical historical migration route into the western frontier.
Wabash River | The highly dynamic, incredibly expansive waterway is entirely celebrated as the completely official, highly revered state river of an American jurisdiction.
Illinois River | The highly engineered, incredibly dynamic waterway serves as a completely critical, highly navigated commercial shipping link between two massive aquatic basins.
Wisconsin River | The highly dynamic, incredibly scenic waterway is completely heavily utilized for incredibly massive, highly popular recreational canoeing and camping.
Minnesota River | The highly dynamic, incredibly complex waterway flows entirely through a completely massive, highly productive agricultural valley.
Des Moines River | The highly dynamic, incredibly complex waterway experienced a completely massive, highly destructive historical flooding event that severely damaged the regional civic center.
Brazos River | The highly dynamic, incredibly expansive waterway served as a completely critical, highly utilized historical focal point for early regional colonial settlement.
Trinity River | The highly dynamic, incredibly engineered waterway provides completely critical, absolutely massive municipal water supplies for a gigantic urban agglomeration.
Pecos River | The highly dynamic, incredibly remote waterway historically served as a completely critical, highly symbolic boundary for wild frontier lawlessness.
San Juan River | The highly dynamic, incredibly scenic waterway features entirely massive, highly spectacular entrenched meandering geological canyons.
Gila River | The incredibly arid, highly dynamic waterway is completely critical for absolutely massive, highly intensive desert agricultural irrigation.
Simpson Desert | The incredibly massive, highly arid landscape features an absolutely massive, highly famous parallel dune system that strictly dictates travel routes.
Thar Desert | The incredibly vast, highly arid landscape supports an absolutely massive, highly dense population relative to completely typical arid environments.
Taklamakan Desert | The incredibly massive, highly arid landscape is completely famous for absolutely massive, highly destructive shifting sand dunes that routinely bury ancient outposts.
Rub' al Khali | The incredibly vast, highly remote arid landscape is completely devoid of absolutely any permanent, highly established human settlement.
Białowieża Forest | The incredibly massive, highly pristine wooded landscape serves as the completely critical, highly protected final refuge for a massive species of wild bison.
New Forest | The incredibly historic, highly protected wooded landscape was completely officially designated as an absolutely massive, highly exclusive royal hunting ground centuries ago.
Sherwood Forest | The incredibly historic, highly scenic wooded landscape is completely heavily associated with an absolutely massive, highly famous legendary local outlaw.
Ardennes | The incredibly rugged, highly dense wooded landscape was the completely critical, highly decisive site of a massive twentieth-century military offensive.
Dinaric Alps | The incredibly rugged, highly complex geological landscape features an absolutely massive, highly extensive network of completely subterranean limestone karst caves.
