source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
Svalbard,MultiPolygon,Iceland,Polygon,"The archipelago of Svalbard is positioned much further up the longitudinal lines, sitting drastically closer to the absolute top of the world than Iceland.",cardinal_direction,north_of,The phrase 'closer to the absolute top' provides a strict upward latitudinal mapping.,Level 3
African Continent,Polygon,European Mainland,Polygon,"The vast landmass of the African continent extends deeply downward from the Mediterranean, occupying the lower latitudes underneath the European mainland.",cardinal_direction,south_of,A continental relationship where 'downward' and 'lower latitudes underneath' map to a descending vector.,Level 3
Point Roberts,Polygon,City of Vancouver,Polygon,"The American exclave of Point Roberts hangs downward from the border line, putting it closer to the 6 o'clock position than the adjacent Canadian city of Vancouver.",cardinal_direction,south_of,An exclave spatial relationship where the mainland source is explicitly positioned vertically under the target via '6 o'clock'.,Level 3
City of New York,Polygon,City of Rome,Polygon,"Despite the harsh winters, New York City actually sits closer to the tropics, positioned downwards on the latitudinal grid from Rome.",cardinal_direction,south_of,A counter-intuitive global relationship where the 'downwards' hint overrides weather assumptions.,Level 3
City of Los Angeles,Polygon,City of Reno,Polygon,"Because of the deep concave shape of the coastline, the Pacific beaches of Los Angeles are surprisingly positioned further towards the 3 o'clock mark than the inland desert of Reno.",cardinal_direction,east_of,A cartographic anomaly explained by the coastline; '3 o'clock mark' strictly dictates the rightward direction.,Level 3
Panama City,Polygon,City of Colon,Polygon,"Due to the twisted shape of the isthmus, a ship exiting the canal into the Pacific Ocean at Panama City is actually situated further towards the rising sun than when it entered at Colon.",cardinal_direction,east_of,A geographical quirk where the Pacific terminus is situated rightward ('rising sun') of the Caribbean terminus.,Level 3
New Zealand,Polygon,Australia,Polygon,"Sitting further along the grid, New Zealand welcomes the morning light a full two hours ahead, placing it completely rightward of the Australian continent.",cardinal_direction,east_of,Time zone chronologies and 'morning light' combined with 'rightward' establish this spatial vector.,Level 3
City of Reno,Polygon,City of Los Angeles,Polygon,"Defying logic, the landlocked city of Reno sits further towards the 9 o'clock position on the map than the coastal city of Los Angeles.",cardinal_direction,west_of,"The inverse of the California concavity paradox, pointing strictly to a leftward vector.",Level 3
Big Diomede Island,Polygon,Little Diomede Island,Polygon,"Despite being a full calendar day ahead, the Russian-owned Big Diomede Island sits physically closer to the 9 o'clock mark and the evening horizon than its American twin.",cardinal_direction,west_of,A relationship across the Date Line mapping to a leftward vector despite the temporal paradox.,Level 3
South America,Polygon,Africa,Polygon,"The entirety of the South American continent is situated across the Atlantic, sitting drastically towards the sunset from Africa.",cardinal_direction,west_of,A macro-hemispheric layout using 'towards the sunset' to indicate the leftward direction.,Level 3
City of Moscow,Polygon,City of Paris,Polygon,"To travel from Paris to Moscow, one must chart a course aiming both towards the colder top of the globe and the advancing dawn.",cardinal_direction,northeast_of,Movement along an axis combining higher latitudes ('top') with an orientation toward the rising sun ('dawn').,Level 3
Cuba,Polygon,Yucatan Peninsula,Polygon,"The island of Cuba extends on an upward rightward slant, pointing simultaneously toward the upper latitudes and the morning horizon from the tip of the Yucatan.",cardinal_direction,northeast_of,An island-to-peninsula relationship explicitly mapping an 'upward rightward slant'.,Level 3
City of Venice,Polygon,City of Boston,Polygon,Venice's canals are actually located on a diagonal trajectory pointing up and towards the 2 o'clock position relative to the Massachusetts bay of Boston.,cardinal_direction,northeast_of,A combined 'up' and '2 o'clock' geographical vector across the Atlantic.,Level 3
State of Alaska,Polygon,State of Hawaii,Polygon,Alaska sits dramatically closer to the icy top of the globe and further towards the 10 o'clock mark than the tropical islands of Hawaii.,cardinal_direction,northwest_of,A diagonal spatial vector pointing upward ('top of the globe') and leftward ('10 o'clock').,Level 3
Iceland,Polygon,United Kingdom,Polygon,"Iceland sits isolated in the ocean, positioned diagonally upwards and towards the fading daylight from the British Isles.",cardinal_direction,northwest_of,An island relationship where the source is mapped diagonally 'upwards' and to the left ('fading daylight').,Level 3
City of Seattle,Polygon,City of Denver,Polygon,The coastal hub of Seattle sits in the upper-leftward diagonal quadrant of the country relative to the inland mountains of Denver.,cardinal_direction,northwest_of,A straightforward geometric phrase 'upper-leftward diagonal' provides the exact mapping.,Level 3
Madagascar,Polygon,Mainland Africa,Polygon,The island of Madagascar is located on a diagonal slope dropping downwards and pointing towards the 4 o'clock mark from the bulk of the African mainland.,cardinal_direction,southeast_of,A diagonal spatial vector pointing downward and toward the '4 o'clock' position.,Level 3
New Zealand,Polygon,Indonesia,MultiPolygon,New Zealand lies diagonally closer to the icy bottom of the globe and further towards the morning light than the archipelago of Indonesia.,cardinal_direction,southeast_of,A macro-oceanic relationship pointing toward lower latitudes ('bottom of the globe') and the rightward horizon.,Level 3
City of Miami,Polygon,City of Seattle,Polygon,"Flying from Seattle, a traveler must head on a massive diagonal trajectory aiming for the equator and the 5 o'clock mark to reach the beaches of Miami.",cardinal_direction,southeast_of,Combining 'equator' (down) and '5 o'clock mark' equates directly to this diagonal direction.,Level 3
Canary Islands,MultiPolygon,Spain,Polygon,The Canary Islands sit diagonally closer to the tropical line and further towards the open ocean twilight relative to the Spanish mainland.,cardinal_direction,southwest_of,A regional layout where the source occupies a position that is lower ('tropical line') and to the left ('twilight').,Level 3
City of San Diego,Polygon,City of Chicago,Polygon,"Leaving Chicago, you must travel diagonally towards the Mexican border and the 7 o'clock position to arrive in San Diego.",cardinal_direction,southwest_of,A combined geographic relationship pointing toward lower latitudes and the leftward '7 o'clock' mark.,Level 3
Falkland Islands,MultiPolygon,City of Cape Town,Polygon,The contested Falkland Islands sit diagonally deeper into the freezing lower latitudes and further towards the 8 o'clock setting sun than the African city of Cape Town.,cardinal_direction,southwest_of,An extreme cross-oceanic vector pointing downward and to the left.,Level 3
City of Detroit,Polygon,City of Windsor,Polygon,"Despite the general layout of the two nations, to travel from the Canadian city of Windsor to the American city of Detroit, one must cross the river heading directly towards the 12 o'clock mark.",cardinal_direction,north_of,A counter-intuitive anomaly where going from Canada to the US requires an upward spatial vector on the map.,Level 4
City of Rome,Polygon,City of New York,Polygon,"Even though it enjoys a Mediterranean climate, the Italian capital of Rome sits at a higher position on the y-axis, located directly towards the top of the globe from New York.",cardinal_direction,north_of,A paradox of climate vs. latitude; heading towards the top of the globe maps to the upward direction.,Level 4
Svalbard,MultiPolygon,Iceland,Polygon,"The archipelago of Svalbard is positioned much further up the longitudinal lines, sitting drastically closer to the absolute top of the world than Iceland.",cardinal_direction,north_of,The phrase pointing to the absolute top provides a strict upward latitudinal mapping.,Level 4
African Continent,Polygon,European Mainland,Polygon,"The vast landmass of the African continent extends deeply downward from the Mediterranean, occupying the lower latitudes underneath the European mainland.",cardinal_direction,south_of,A continental relationship where moving downward and underneath maps to a descending vector.,Level 4
Point Roberts,Polygon,City of Vancouver,Polygon,"The American exclave of Point Roberts hangs downward from the border line, putting it closer to the 6 o'clock position than the adjacent Canadian city of Vancouver.",cardinal_direction,south_of,An exclave spatial relationship where the mainland source is explicitly positioned vertically under the target via the 6 o'clock hint.,Level 4
Falkland Islands,MultiPolygon,Argentine Mainland,Polygon,"The contested Falkland Islands are situated in the frigid lower latitudes, positioned further down towards the Antarctic circle than the vast majority of the Argentine mainland.",cardinal_direction,south_of,Reference to the Antarctic circle and lower latitudes on the map translates to a descending trajectory.,Level 4
City of Los Angeles,Polygon,City of Reno,Polygon,"Because of the deep concave shape of the coastline, the Pacific beaches of Los Angeles are surprisingly positioned further towards the 3 o'clock mark than the inland desert of Reno.",cardinal_direction,east_of,A cartographic anomaly explained by the coastline; the 3 o'clock mark strictly dictates the rightward direction.,Level 4
Panama City,Polygon,City of Colon,Polygon,"Due to the twisted shape of the isthmus, a ship exiting the canal into the Pacific Ocean at Panama City is actually situated further towards the rising sun than when it entered at Colon.",cardinal_direction,east_of,A geographical quirk where the Pacific terminus is situated rightward of the Caribbean terminus.,Level 4
New Zealand,Polygon,Australia,Polygon,"Sitting further along the grid, New Zealand welcomes the morning light a full two hours ahead, placing it completely rightward of the Australian continent.",cardinal_direction,east_of,Time zone chronologies and morning light combined with the rightward orientation establish this spatial vector.,Level 4
State of Hawaii,MultiPolygon,State of California,Polygon,"Operating several hours behind the mainland clock, the Hawaiian archipelago lies deep into the Pacific, far towards the setting sun relative to California.",cardinal_direction,west_of,A temporal relationship where being behind the clock dictates a leftward spatial vector.,Level 4
Big Diomede Island,Polygon,Little Diomede Island,Polygon,"Despite being a full calendar day ahead, the Russian-owned Big Diomede Island sits physically closer to the 9 o'clock mark and the evening horizon than its American twin.",cardinal_direction,west_of,A relationship across the Date Line mapping to a leftward vector despite the temporal paradox.,Level 4
Chile,Polygon,Argentina,Polygon,"Hemmed in by the Andes mountains, the slender nation of Chile occupies the extreme Pacific-facing edge of the continent, positioned completely towards the sunset from Argentina.",cardinal_direction,west_of,A macro-hemispheric layout where the source occupies a position distinctly leftward of the target.,Level 4
Cuba,Polygon,Yucatan Peninsula,Polygon,"The island of Cuba extends on an upward rightward slant, pointing simultaneously toward the upper latitudes and the morning horizon from the tip of the Yucatan.",cardinal_direction,northeast_of,An island-to-peninsula relationship forming an upward and rightward diagonal.,Level 4
Japan,Polygon,Philippines,Polygon,"To sail from the Philippines to Japan, a vessel must chart a diagonal course aiming for both higher latitudes and the morning dawn.",cardinal_direction,northeast_of,A combined upward and rightward geographical vector across the ocean.,Level 4
Finland,Polygon,Germany,Polygon,"Finland is positioned in the upper right quadrant of the European map, sitting closer to the Arctic and the Ural morning relative to Germany.",cardinal_direction,northeast_of,Movement along an axis combining higher latitudes with an orientation toward the rising sun.,Level 4
State of Alaska,Polygon,Contiguous United States,MultiPolygon,"The massive state of Alaska sits completely detached from the lower 48 states, located diagonally closer to the polar ice caps and the Pacific sunset.",cardinal_direction,northwest_of,A diagonal spatial vector pointing upward and leftward.,Level 4
Iceland,Polygon,United Kingdom,Polygon,"Iceland sits isolated in the frigid waters, positioned diagonally upward and towards the open Atlantic evening from the British Isles.",cardinal_direction,northwest_of,An island relationship where the source is mapped diagonally upward and to the left.,Level 4
City of Seattle,Polygon,City of Denver,Polygon,"The coastal hub of Seattle is located in the upper left corner of the country, sitting at a higher latitude and closer to the evening horizon than Denver.",cardinal_direction,northwest_of,A combined geographical relationship pointing upward and leftward.,Level 4
Madagascar,Polygon,African Mainland,Polygon,The island of Madagascar is located on a diagonal slope dropping downwards and pointing towards the 4 o'clock mark from the bulk of the African mainland.,cardinal_direction,southeast_of,A diagonal spatial vector pointing downward and toward the 4 o'clock position.,Level 4
New Zealand,Polygon,Indonesia,MultiPolygon,New Zealand lies diagonally closer to the icy bottom of the globe and further towards the morning light than the archipelago of Indonesia.,cardinal_direction,southeast_of,A macro-oceanic relationship pointing toward lower latitudes and the rightward horizon.,Level 4
Florida Keys,MultiPolygon,State of Louisiana,Polygon,The tropical archipelago of the Florida Keys extends diagonally down towards the equator and the Atlantic morning from the Louisiana bayous.,cardinal_direction,southeast_of,A combined downward and rightward geographic relationship along the coast.,Level 4
City of San Diego,Polygon,City of Las Vegas,Polygon,"To drive from the casinos of Las Vegas to the beaches of San Diego, one must travel diagonally towards the Mexican border and the Pacific sunset.",cardinal_direction,southwest_of,A diagonal spatial vector pointing downward and leftward.,Level 4
Canary Islands,MultiPolygon,Spain,Polygon,The Canary Islands sit diagonally closer to the tropical line and further towards the open ocean twilight relative to the Spanish mainland.,cardinal_direction,southwest_of,A regional layout where the source occupies a position that is downward and to the left.,Level 4
Falkland Islands,MultiPolygon,City of Cape Town,Polygon,The contested Falkland Islands sit diagonally deeper into the freezing lower latitudes and further towards the 8 o'clock setting sun than the African city of Cape Town.,cardinal_direction,southwest_of,An extreme cross-oceanic vector pointing downward and to the left.,Level 4
City of Venice,Polygon,City of Halifax,Polygon,"Despite its famous Mediterranean-style climate and gondolas, the Italian city of Venice actually sits closer to the icy top of the world than the freezing Canadian maritime hub of Halifax.",cardinal_direction,north_of,A paradox of climate vs. latitude; heading towards the top of the globe maps to an upward direction.,Level 5
City of London,Polygon,City of Toronto,Polygon,"Although Toronto experiences brutal blizzards, the relatively temperate UK capital of London is situated drastically closer to the absolute top of the global grid.",cardinal_direction,north_of,A counter-intuitive latitudinal relationship where the milder climate sits at a much higher point on the y-axis.,Level 5
Svalbard Archipelago,MultiPolygon,City of Utqiagvik,Polygon,"The Norwegian territory of Svalbard sits at the extreme pinnacle of the habitable world, located significantly higher on the vertical axis than the absolute peak of the Alaskan mainland.",cardinal_direction,north_of,Reference to the extreme pinnacle of the global grid establishes a strict upward vector.,Level 5
City of New York,Polygon,City of Rome,Polygon,"In a classic cartographic illusion, the snow-prone metropolis of New York is actually positioned surprisingly closer to the tropical belt and downwards on the latitudinal plane relative to the sunny historical center of Rome.",cardinal_direction,south_of,A counter-intuitive global spatial relationship where a US city is situated downward relative to a European capital.,Level 5
Tierra del Fuego,MultiPolygon,Cape of Good Hope,Polygon,The jagged archipelago of Tierra del Fuego extends dramatically closer to the icy bottom of the planet than the extreme tip of the African continent.,cardinal_direction,south_of,Reference to the icy bottom of the map translates directly to a descending trajectory.,Level 5
Florida Keys,MultiPolygon,City of Brownsville,Polygon,"Dropping deep into the Gulf, the coral cays of the Florida Keys sit at a lower latitude and closer to the equatorial line than the absolute bottom edge of the Texas border.",cardinal_direction,south_of,"A peninsular edge-case where the source is physically situated closer to the tropics, pointing downward.",Level 5
City of Los Angeles,Polygon,City of Reno,Polygon,"Due to the extreme concave sweep of the California coastline, the Pacific beaches of Los Angeles are actually located further towards the Atlantic morning than the inland Nevada desert city of Reno.",cardinal_direction,east_of,A counter-intuitive anomaly where a coastal city sits further rightward than an inland city due to the curve of the continent.,Level 5
City of Lima,Polygon,City of Atlanta,Polygon,"Despite being on the Pacific coast of the Andean continent, the Peruvian capital of Lima sits entirely towards the prime meridian and the rising sun relative to the inland metropolis of Atlanta.",cardinal_direction,east_of,A longitudinal paradox where a Pacific city is rightward of an Atlantic-facing city.,Level 5
City of Vladivostok,Polygon,City of Beijing,Polygon,"The Russian port of Vladivostok welcomes the dawn much earlier, positioned significantly further along the rightward time zones than the Chinese capital.",cardinal_direction,east_of,Time zone chronologies and dawn exposure explicitly dictate a rightward spatial relationship.,Level 5
City of Reno,Polygon,City of Los Angeles,Polygon,"Defying all logical continental intuition, the landlocked Nevada city of Reno is physically positioned further towards the Pacific sunset than the coastal metropolis of Los Angeles.",cardinal_direction,west_of,"The inverse of the California concavity paradox, pointing strictly to a leftward vector.",Level 5
City of New York,Polygon,City of Santiago,Polygon,"When comparing the two massive continents, the Atlantic-facing metropolis of New York is actually situated further towards the setting sun than the Pacific-facing Chilean capital of Santiago.",cardinal_direction,west_of,A macro-hemispheric layout where the North American city occupies a position distinctly leftward of the Andean city.,Level 5
Aleutian Islands,MultiPolygon,Hawaiian Archipelago,MultiPolygon,"Stretching violently across the Bering Sea, the Aleutian Islands extend so profoundly towards the evening horizon that they completely bypass the longitudinal footprint of Hawaii.",cardinal_direction,west_of,"A massive geographic spread crossing the 180th meridian, indicating an extreme leftward positioning.",Level 5
City of Paris,Polygon,City of Montreal,Polygon,"To cross the ocean from the Canadian island of Montreal to the French capital of Paris, a flight must chart a diagonal course aiming for both higher polar latitudes and the advancing sunrise.",cardinal_direction,northeast_of,Movement along an axis combining higher latitudes with an orientation toward the rising sun.,Level 5
City of Edinburgh,Polygon,City of Dublin,Polygon,"The Scottish capital of Edinburgh is located on a geographic diagonal from the Republic of Ireland, pointing concurrently towards the top of the map and the prime meridian.",cardinal_direction,northeast_of,An island-to-island relationship forming an upward and rightward diagonal vector.,Level 5
City of Venice,Polygon,City of Boston,Polygon,"Despite the drastic climate differences, the Mediterranean canals of Venice are actually situated diagonally higher on the global grid and far closer to the Ural dawn than the Massachusetts bay of Boston.",cardinal_direction,northeast_of,A combined upward and rightward geographical vector mapping across the Atlantic.,Level 5
City of Seattle,Polygon,City of Miami,Polygon,"Spanning the maximum diagonal of the contiguous country, the Emerald City sits deeply entrenched towards the polar jet stream and the Pacific twilight relative to the tropical beaches of Miami.",cardinal_direction,northwest_of,A diagonal spatial vector pointing upward and leftward.,Level 5
City of Reykjavik,Polygon,City of London,Polygon,The geothermal capital of Reykjavik sits completely isolated on a massive diagonal vector pointing drastically towards the icy top of the globe and the open Atlantic evening from the British capital.,cardinal_direction,northwest_of,An island relationship where the source is mapped diagonally upward and to the left.,Level 5
State of Alaska,Polygon,State of Texas,Polygon,"Severed from the contiguous landmass, the colossal Alaskan frontier rests in the extreme upper left quadrant of the continent, positioned diagonally towards the upper tundra and the Bering sunset from the Lone Star State.",cardinal_direction,northwest_of,A combined geographical relationship pointing upward and toward the evening sun.,Level 5
City of Miami,Polygon,City of Seattle,Polygon,"Leaving the rainy Pacific coast of Seattle, a traveler must fly on a massive diagonal trajectory aiming for the equator and the Atlantic sunrise to reach the tropical hub of Miami.",cardinal_direction,southeast_of,A diagonal spatial vector pointing downward and rightward.,Level 5
Falkland Islands,MultiPolygon,City of Lima,Polygon,"The fiercely contested Falkland Islands are situated on a severe diagonal from the Peruvian capital, pointing drastically towards the freezing bottom of the globe and the morning dawn.",cardinal_direction,southeast_of,A macro-continental relationship pointing toward lower latitudes and the rightward horizon.,Level 5
