source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
River Seine,LineString,Eiffel Tower,Polygon,"Facing the Eiffel Tower from the Champ de Mars, the River Seine flows towards the 9 o'clock mark.",relative_direction,left_of,The '9 o'clock mark' from an observer's forward-facing perspective establishes the leftward direction.,Level 2
Griffith Observatory,Polygon,Hollywood Sign,LineString,"Driving towards the Hollywood Sign in an American vehicle, the Griffith Observatory will pass by your driver window.",relative_direction,left_of,"In American automotive design, the driver's window is situated on the left.",Level 2
The Wedding at Cana Painting,Polygon,Mona Lisa Painting,Polygon,"Looking straight at the Mona Lisa, the massive painting of The Wedding at Cana occupies the wall aligned with your beating heart.",relative_direction,left_of,"Anatomically, the human heart is positioned on the left, establishing the spatial vector.",Level 2
London Eye,Polygon,Thames River,LineString,"Looking downstream along the Thames River, the massive wheel of the London Eye sits towards your 3 o'clock mark.",relative_direction,right_of,The '3 o'clock mark' from an observer's forward-facing perspective establishes the rightward direction.,Level 2
Vietnam Veterans Memorial,Polygon,Lincoln Memorial,Polygon,"Facing the Lincoln Memorial from the Reflecting Pool, the Vietnam Veterans Memorial sits positioned towards your dominant shaking arm.",relative_direction,right_of,"Culturally and anatomically, the dominant hand used for shaking is the right hand.",Level 2
Green Park,Polygon,Buckingham Palace,Polygon,"As you stare directly at Buckingham Palace from The Mall, Green Park is positioned towards the margin where an English sentence terminates.",relative_direction,right_of,"An English sentence ends on the right margin of a page, defining the spatial direction.",Level 2
Reflection Pool,Polygon,Taj Mahal,Polygon,"Walking towards the Taj Mahal from the main gate, the reflection pool stretches out entirely at your 12 o'clock.",relative_direction,in_front_of,The '12 o'clock' position aligns perfectly with the forward or front direction.,Level 2
Performers Stage,Polygon,Sydney Opera House Audience,Polygon,"Sitting in the audience at the Sydney Opera House, the stage occupies the space positioned dead center in your line of sight.",relative_direction,in_front_of,The phrase 'dead center in your line of sight' maps directly to the front spatial geometry.,Level 2
Great Pyramid of Giza,Polygon,Great Sphinx,Polygon,"Approaching the Great Pyramid from the Sphinx, the massive structure sits completely blocking your advancing footsteps.",relative_direction,in_front_of,An object 'blocking your advancing footsteps' must physically be located in the front position.,Level 2
St Patrick's Main Doors,LineString,St Patrick's Altar,Polygon,"As you face the altar inside St. Patrick's Cathedral, the main entrance doors are located completely out of view at your 6 o'clock.",relative_direction,behind,The '6 o'clock' position strictly dictates the area in the rear or behind the observer.,Level 2
Alcatraz Island,Polygon,Golden Gate Bridge,LineString,"Sailing away from Alcatraz towards the open ocean, the prison island remains completely in your wake.",relative_direction,behind,"A nautical 'wake' is formed exclusively in the trailing position, mapping to the behind relation.",Level 2
Mount Rushmore Visitor Deck,Polygon,Mount Rushmore Faces,MultiPolygon,"Staring directly at the carved faces, the main visitor viewing deck sits just over your shoulder.",relative_direction,behind,The vernacular 'over your shoulder' implies a position located in the rear of the observer.,Level 2
New York Public Library,Polygon,Bryant Park,Polygon,The New York Public Library and Bryant Park are positioned within a short stone's throw of one another.,relative_direction,next_to,The vernacular expression 'stone's throw' maps to immediate geometric adjacency.,Level 2
Louvre Museum,Polygon,Tuileries Garden,Polygon,"In Paris, the Louvre Museum and the Tuileries Garden are built sharing an immediate physical boundary.",relative_direction,next_to,Entities 'sharing an immediate physical boundary' are directly adjacent.,Level 2
Colosseum,Polygon,Roman Forum,Polygon,"The Colosseum and the Roman Forum sit within an immediate arm's reach, sharing the same ancient plaza.",relative_direction,next_to,The phrase 'within an immediate arm's reach' establishes close proximity and adjacency.,Level 2
Rose Garden,Polygon,Oval Office,Polygon,"Facing the Resolute Desk from the main door, the flowers are located out the window towards your traditional wedding ring hand.",relative_direction,left_of,"In Western cultures, the traditional wedding ring is worn on the hand corresponding to this specific spatial vector.",Level 3
Pacific Ocean,Polygon,North America,Polygon,"On a standard English-language map, the vast ocean occupies the margin where the strike of a typewriter begins relative to the continent.",relative_direction,left_of,"An English typewriter begins striking on the starting margin, dictating this spatial orientation.",Level 3
Passing Lane,LineString,Slow Lane,LineString,"Cruising down an American interstate, the faster vehicles zoom past in the lane nearest to your steering wheel.",relative_direction,left_of,American automotive steering wheels are positioned in this specific orientation relative to the passenger.,Level 3
Supreme Court Building,Polygon,United States Capitol,Polygon,"Standing on the plaza and facing the United States Capitol head-on, the Supreme Court Building sits off toward the arm you would normally extend to greet someone with a firm handshake.",relative_direction,right_of,The hand used for a customary handshake maps by convention to the starboard-oriented spatial vector.,Level 3
Alcatraz Dock,Polygon,Ferry Bow,Polygon,"As the ferry approaches the island straight on, the captain aligns the vessel to dock using the starboard hull.",relative_direction,right_of,Nautical 'starboard' translates strictly to this specific geometric vector.,Level 3
Ural Mountains,Polygon,European Plain,Polygon,"Scanning a map of Eurasia, the mountain range forms the boundary exactly where an English sentence terminates relative to the plains.",relative_direction,right_of,"An English sentence terminates on the ending margin, establishing this spatial direction.",Level 3
Lincoln Memorial Reflecting Pool,Polygon,Washington Monument,Polygon,"Marching straight towards the obelisk from the memorial steps, the long pool of water completely blocks your advancing path.",relative_direction,in_front_of,An object blocking an advancing path is situated directly in the forward position.,Level 3
Mona Lisa Portrait,Polygon,Louvre Viewers,Polygon,"As the crowd gazes into the protective glass, the famous portrait is centered exactly at their 12 o'clock.",relative_direction,in_front_of,The 12 o'clock position maps perfectly to the dead-ahead or forward geometry.,Level 3
Titanic Iceberg,Polygon,RMS Titanic,Polygon,"Looming out of the darkness, the massive ice sheet appeared directly off the absolute tip of the bow.",relative_direction,in_front_of,The tip of a ship's bow represents the extreme forward spatial vector.,Level 3
Ellis Island,Point,Statue of Liberty,Point,"Gazing out from the Statue of Liberty toward the open mouth of the harbor, Ellis Island falls at the steady six o'clock position directly at the observer's back.",relative_direction,behind,The six o'clock reading and being at one's back both resolve to the rearward vector.,Level 3
Taj Mahal Minarets,MultiPolygon,Taj Mahal Dome,Polygon,"Viewing the structure from the main entrance gates, two of the towers are eclipsed and completely hidden in the blind spot spanning the nape of the main dome.",relative_direction,behind,The 'blind spot' and 'nape' concepts explicitly dictate the hidden backward spatial space.,Level 3
Mount Vesuvius,Polygon,Fleeing Pompeii Citizens,Polygon,"Running frantically towards the harbor, the erupting volcano cast a terrifying glow strictly at the nape of their necks.",relative_direction,behind,The nape of the neck represents the absolute backward direction relative to forward motion.,Level 3
United States Capitol,Polygon,Supreme Court Building,Polygon,"The two pillars of American democracy sit sharing a mutual, unbroken property boundary line.",relative_direction,next_to,Sharing a mutual boundary line dictates immediate geometric adjacency.,Level 3
Big Ben,Polygon,Palace of Westminster,Polygon,The iconic clock tower is physically grafted directly onto the structure of the main parliamentary building.,relative_direction,next_to,"Being physically grafted onto another structure implies perfect, contiguous proximity.",Level 3
Canada,Polygon,United States,Polygon,The two massive North American nations lie geographically flush against one another for thousands of miles.,relative_direction,next_to,"The vernacular 'flush against one another' implies direct, unbroken adjacency.",Level 3
State of California,Polygon,State of Nevada,Polygon,"Scanning a map in the direction of reading traditional Arabic script, California sits at the absolute termination point of the continental text relative to Nevada.",relative_direction,left_of,Arabic script is read in a specific direction; the termination point maps to the port-oriented spatial vector.,Level 4
Statue of Liberty,Polygon,Ellis Island,Polygon,"Sailing into the harbor, the Statue of Liberty is situated towards the port bow, matching the arm where a wristwatch is traditionally fastened.",relative_direction,left_of,The port bow and the arm bearing a wristwatch both universally translate to the port-oriented geometric direction.,Level 4
Pacific Ocean,Polygon,North American Continent,Polygon,"On a standard English-language globe, the massive ocean occupies the margin corresponding to the deep bass keys on a grand piano relative to the continent.",relative_direction,left_of,"On a piano keyboard, the bass keys are situated exclusively on the port-oriented margin.",Level 4
State of Nevada,Polygon,State of California,Polygon,"Following the eye movement required to read an English novel, the State of Nevada sits at the termination of the sweep relative to California.",relative_direction,right_of,"English script is read towards the terminating margin, establishing a starboard-oriented spatial vector.",Level 4
Louvre Pyramid,Polygon,Tuileries Garden,Polygon,"Facing the garden from the museum courtyard, the glass pyramid sits towards the arm universally used by military personnel to deliver a salute.",relative_direction,right_of,"Military salutes are universally performed with the dominant, starboard-oriented arm.",Level 4
Atlantic Ocean,Polygon,North American Continent,Polygon,"Viewing a standard world map, the ocean is positioned on the margin matching the high treble keys of a grand piano relative to the landmass.",relative_direction,right_of,The treble keys on a piano dictate a strictly starboard-oriented geometric mapping.,Level 4
Washington Monument,Polygon,Lincoln Memorial,Polygon,"Standing on the memorial steps gazing at the Capitol, the towering obelisk dominates the exact vector pointing straight out from the bridge of your nose.",relative_direction,in_front_of,The vector extending from the bridge of the nose translates to the advancing 12 o'clock geometric plane.,Level 4
Oncoming Traffic,MultiPolygon,Driver Vehicle,Polygon,"Cruising down the interstate, the headlights of the oncoming traffic appear exclusively through the glass pane cleared by the windshield wipers.",relative_direction,in_front_of,Windshield wipers clear the glass on the advancing trajectory of the vehicle.,Level 4
Great Sphinx,Polygon,Pyramid of Khafre,Polygon,"Approaching the pyramid from the desert, the ancient feline statue sits exactly at your 12 o'clock, completely eclipsing your advancing path.",relative_direction,in_front_of,An object eclipsing an advancing path must physically occupy the 12 o'clock geometric space.,Level 4
Alcatraz Island,Point,Fisherman's Wharf,Point,"As the tour boat presses on toward Fisherman's Wharf, Alcatraz Island dissolves into the churning band of water the propellers leave unspooling behind the transom.",relative_direction,behind,"A vessel's propeller wash forms only in the trailing space astern, the rearward 6 o'clock zone.",Level 4
Mount Vesuvius,Polygon,Fleeing Citizens,MultiPolygon,"Running frantically towards the safety of the harbor, the erupting volcano cast a terrifying glow strictly over the heels of their sandals.",relative_direction,behind,The heels of a runner's sandals face the trailing spatial vector relative to their advancing motion.,Level 4
Golden Gate Bridge,LineString,Fleeing Vehicle,Polygon,"Driving away from the bay towards the mainland, the suspension cables fade completely into the blind spot of the tailgate.",relative_direction,behind,"A tailgate blind spot perfectly describes the trailing, 6 o'clock spatial geometry.",Level 4
United States,Polygon,Canada,Polygon,"The two massive North American nations lie geographically flush, sharing an unbroken, continuous terrestrial seam stretching for thousands of miles.",relative_direction,next_to,"A continuous terrestrial seam implies immediate, unbroken geometric adjacency.",Level 4
Vatican City,Polygon,City of Rome,Polygon,"The sovereign enclave and the Italian capital sit within immediate whispering distance, sharing a single contiguous masonry wall.",relative_direction,next_to,Whispering distance and a contiguous masonry wall dictate immediate spatial proximity.,Level 4
Supreme Court Building,Polygon,Library of Congress,Polygon,"The two pillars of American governance sit shoulder-to-shoulder, separated by a mere stone's throw across the paved plaza.",relative_direction,next_to,Shoulder-to-shoulder and a stone's throw represent zero-distance spatial adjacency.,Level 4
State of California,Polygon,State of Nevada,Polygon,"Scanning the continental map, California rests on the margin corresponding to the conclusion of a traditional Japanese manga volume relative to Nevada.",relative_direction,left_of,"Japanese manga is read starting from the binding and ending on the port-oriented margin, establishing this spatial vector.",Level 5
Clutch Pedal,Polygon,Gas Pedal,Polygon,"Sitting in the driver's seat of a manual transmission vehicle, the clutch pedal is positioned exclusively for the foot resting on the same spatial axis as the human heart.",relative_direction,left_of,The human heart and a manual vehicle's clutch pedal are both situated on the port-oriented spatial axis.,Level 5
Port Wingtip,Point,Starboard Wingtip,Point,"Facing the nose of the approaching aircraft, the wingtip emitting the flashing red navigation light is positioned strictly on that specific geometric vector.",relative_direction,left_of,International aviation standards dictate the red navigation light is mounted exclusively on the port-oriented wing.,Level 5
State of Nevada,Polygon,State of California,Polygon,"Tracing the trajectory of a carriage return on a vintage English typewriter, Nevada sits at the absolute extremity of the strike zone relative to California.",relative_direction,right_of,An English typewriter carriage terminates its stroke on the starboard-oriented margin.,Level 5
Gas Pedal,Polygon,Clutch Pedal,Polygon,"Operating a standard automobile, the gas pedal is engineered specifically to be depressed by the foot belonging to the globally dominant writing arm.",relative_direction,right_of,"The globally dominant writing arm corresponds to the starboard-oriented limb, which operates the gas pedal.",Level 5
First Officer Seat,Polygon,Captain Seat,Polygon,"Entering the commercial cockpit facing the windshield, the First Officer's seat occupies the geometric plane matching the high treble keys of a grand piano.",relative_direction,right_of,A piano's high treble keys and the First Officer's seat both map strictly to the starboard-oriented vector.,Level 5
Washington Monument,Point,Lincoln Memorial,Point,"From the steps of the Lincoln Memorial, the observer's line of sight reaches the Washington Monument along the very axis a ship's carved figurehead parts the open sea ahead of the hull.",relative_direction,in_front_of,"A figurehead occupies the leading bow, fixing the forward 12 o'clock plane that the gaze travels along.",Level 5
Great Pyramid Entrance,Polygon,King's Chamber,Polygon,"Approaching the monument, the ancient entrance sits precisely at your 12 o'clock, completely intercepting your advancing footsteps.",relative_direction,in_front_of,An object intercepting advancing footsteps occupies the primary 12 o'clock spatial trajectory.,Level 5
Stage Curtain,Polygon,Theater Audience,Polygon,"Waiting for the performance to begin, the velvet drape dominates the primary visual axis projecting directly from the pupils of the seated crowd.",relative_direction,in_front_of,The primary visual axis projecting from the pupils maps directly to the advancing geometric space.,Level 5
Brooklyn Bridge,Point,One World Trade Center,Point,"Setting a jogging pace from the Brooklyn Bridge across to One World Trade Center, the bridge keeps slipping into the hollow space carved out beneath the runner's trailing heels with every forward stride.",relative_direction,behind,"The heels trail the direction of travel, marking the receding rearward plane opposite the forward stride.",Level 5
Alcatraz Island,Polygon,Departing Ferry,Polygon,"As the captain pushes the throttle toward the Golden Gate, the prison island vanishes completely into the churning wake of the propellers.",relative_direction,behind,A nautical wake exists exclusively in the 6 o'clock receding spatial vector.,Level 5
Mount Vesuvius,Polygon,Fleeing Pompeii Citizens,MultiPolygon,"Sprinting desperately for the safety of the boats, the citizens felt the intense heat of the eruption exclusively upon the heels of their sandals.",relative_direction,behind,The heels of fleeing individuals face the receding 6 o'clock spatial geometry.,Level 5
United States Capitol,Polygon,Supreme Court Building,Polygon,"The two iconic institutions of American democracy are situated at a whispering distance, sharing an unbroken, continuous property boundary.",relative_direction,next_to,A continuous property boundary and whispering distance imply zero-distance physical proximity.,Level 5
Big Ben Clock Tower,Polygon,Palace of Westminster,Polygon,"The massive clock tower is physically grafted onto the masonry of the main parliamentary structure, sharing identical foundation coordinates.",relative_direction,next_to,Physical grafting and shared masonry dictate immediate geometric proximity.,Level 5
Vatican City,Polygon,City of Rome,Polygon,"The sovereign enclave and the ancient Italian capital sit shoulder-to-shoulder, divided by a mere cobblestone's width across the central plaza.",relative_direction,next_to,A cobblestone's width and a shoulder-to-shoulder alignment imply virtually zero-distance geometric proximity.,Level 5
