index,expected,predicted,match,description,model,placetype_subject,geometry_type_subject,placetype_object,geometry_type_object
23,within,within,True,in,gpt-oss,village,Polygon,county,Polygon
24,within,within,True,in,gpt-oss,village,Polygon,county,Polygon
25,crosses,crosses,True,Principal access to the city is supplied by State Route 17 that connects San Jose and Santa Cruz.,gpt-oss,industrial,LineString,city,MultiPolygon
26,within,within,True,located in,gpt-oss,town,Polygon,county,Polygon
27,touches,within,False,"Haltom City is surrounded almost entirely by Fort Worth  North Richland Hills  Watauga  and Richland Hills.",gpt-oss,city,Polygon,city,Polygon
28,touches,disjoint,False,"The city is between South San Francisco and Millbrae  adjacent to San Francisco International Airport and Golden Gate National Cemetery; it is approximately 12 miles (19 km) south of Downtown San Francisco.",gpt-oss,town,Polygon,town,Polygon
29,touches,touches,True,"The City of Hurst is surrounded by other communities including Bedford  Euless  Fort Worth  Richland Hills  North Richland Hills  Grapevine  and Colleyville.",gpt-oss,city,Polygon,city,Polygon
30,disjoint,disjoint,True,"Arvin is located 15 miles (24 km) southeast of Bakersfield  at an elevation of 449 feet (137 m).",gpt-oss,town,Polygon,city,MultiPolygon
31,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
32,touches,disjoint,False,"Burlingame on its southeast.",gpt-oss,town,Polygon,town,Polygon
33,touches,within,False,"The city limits extend south to the Rio Grande  across from the Mexican city of Reynosa.",gpt-oss,city,Polygon,county,Polygon
34,contains,contains,True,home to,gpt-oss,city,Polygon,amenity,Polygon
35,disjoint,disjoint,True,"The community is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg in Fort Bend County and Wallis in Austin County.",gpt-oss,city,Polygon,city,Polygon
36,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
37,touches,disjoint,False,It is almost 15 miles (24 km) north of Temecula and just north of Murrieta,gpt-oss,city,Polygon,city,Polygon
38,touches,contains,False,"San Dimas is bordered by the San Gabriel Mountains range to the north  Glendora and Covina to the west  La Verne to its north and east side  Pomona to its south and east side  Walnut and the unincorporated community of Ramona to the southwest  and the unincorporated community of West San Dimas  which is an enclave in the southwestern portion of the city.",gpt-oss,city,Polygon,city,Polygon
39,disjoint,disjoint,True,west of,gpt-oss,village,Polygon,city,MultiPolygon
40,disjoint,disjoint,True,near,gpt-oss,city,MultiPolygon,protected_area,MultiPolygon
41,disjoint,contains,False,"Canadian is on the eastern side of the Texas Panhandle  close to the border with Oklahoma.",gpt-oss,city,Polygon,park,Polygon
42,disjoint,disjoint,True,located southwest of ,gpt-oss,city,MultiPolygon,city,MultiPolygon
43,overlaps,within,False,5 799 of the population in,gpt-oss,city,Polygon,county,Polygon
44,within,within,True,county seat of,gpt-oss,city,MultiPolygon,county,Polygon
45,touches,touches,True,"West University Place is surrounded by the cities of Bellaire  Houston  and Southside Place.",gpt-oss,city,Polygon,city,MultiPolygon
46,within,within,True,part of,gpt-oss,city,Polygon,city,MultiPolygon
47,touches,within,False,"Upland is a city in San Bernardino County  California  United States on the border with is neighboring Los Angeles County.",gpt-oss,city,Polygon,county,MultiPolygon
48,overlaps,overlaps,True,"It also extends into Collin and Hunt counties.",gpt-oss,city,Polygon,county,Polygon
49,touches,touches,True,"Laguna Niguel is located in the San Joaquin Hills in the southeastern corner of Orange County  close to the Pacific Ocean  and borders the cities of Aliso Viejo  Dana Point  Laguna Beach  Laguna Hills  Mission Viejo  and San Juan Capistrano.",gpt-oss,city,Polygon,city,Polygon
50,disjoint,disjoint,True,"Anderson is a city in Shasta County  California  approximately 10 miles south of Redding.",gpt-oss,city,Polygon,city,MultiPolygon
51,disjoint,disjoint,True,"Rancho Cucamonga (/√Ä√•r‚àö¬∂nt¬†√âo¬†√§ ku√Ä√™k‚Ä¶√¥√Ä√†m¬†√•‚âà√£‚Ä¶¬∞‚Ä¶√¥/ RAN-choh KOO-k‚Ä¶√¥-MUNG-g‚Ä¶√¥) is a city located just south of the foothills of the San Gabriel Mountains and Angeles National Forest in San Bernardino County  California  United States.",gpt-oss,city,Polygon,protected_area,MultiPolygon
52,touches,within,False,"El Paso stands on the Rio Grande across the Mexico‚ÄìUnited States border from Ciudad Juárez  the most-populous city in the Mexican state of Chihuahua with over 1.5 million people.",gpt-oss,city,Polygon,county,Polygon
53,touches,disjoint,False,"It lies in a corridor between the cities of Berkeley and Oakland  with a border on the shore of San Francisco Bay.",gpt-oss,town,Polygon,city,Polygon
54,touches,touches,True,"Glendora is bordered by Azusa and the unincorporated community of Citrus to the west  San Dimas to the east and south  Covina and the unincorporated community of Charter Oak to the south  and the San Gabriel Mountains range to the north.",gpt-oss,city,Polygon,city,MultiPolygon
55,within,within,True,"Today  Longview is considered a major hub city for the region  as is the nearby city of Tyler.",gpt-oss,city,Polygon,county,Polygon
56,within,within,True,in,gpt-oss,city,MultiPolygon,county,Polygon
57,crosses,disjoint,False,upstream from,gpt-oss,water,linestring,water,polygon
58,disjoint,disjoint,True,"Corning is a city in Tehama County  California  that is located about 19 miles (31 km) south of Red Bluff and about 100 miles (160 km) north of Sacramento.",gpt-oss,city,Polygon,city,Polygon
59,overlaps,overlaps,True,straddling,gpt-oss,city,Polygon,county,Polygon
60,touches,touches,True,"In addition  it shares the U.S.-Mexico border with the city of Nuevo Progreso  Tamaulipas.",gpt-oss,city,Polygon,city,Polygon
61,disjoint,error,False,"Beaumont is bordered on the east by the city of Banning  on the south by the city of San Jacinto  on the west by the city of Calimesa  and on the north by the unincorporated community of Cherry Valley.",gpt-oss,city,Polygon,town,Polygon
62,overlaps,overlaps,True,Of this  1 665 were in Clark County  and 610 were in Marathon County,gpt-oss,city,MultiPolygon,county,Polygon
63,touches,contains,False,"Pico Rivera is bordered by Montebello to the west  Downey to the south  Santa Fe Springs to the southeast  and Whittier to the east.",gpt-oss,town,Polygon,city,Polygon
64,touches,touches,True,"It borders San Antonio to the northeast  and is adjacent to Randolph Air Force Base.",gpt-oss,village,Polygon,city,MultiPolygon
65,disjoint,contains,False,"It lies 23 miles (37 km) east of Palm Springs  75 miles (121 km) east of Riverside  127 miles (204 km) east of Los Angeles  148 miles (238 km) northeast of San Diego  and 250 miles (402 km) west of Phoenix.",gpt-oss,city,MultiPolygon,city,Polygon
66,disjoint,disjoint,True,"Dixon is a city in northern Solano County  California  United States  located 23 miles (37 km) from the state capital  Sacramento.",gpt-oss,city,MultiPolygon,city,Polygon
67,overlaps,error,False,lies on,gpt-oss,city,Polygon,water,Polygon
68,within,error,False,"College Station is a city in Brazos County  Texas  situated in East-Central Texas in the heart of the Brazos Valley  towards the eastern edge of the region known as the Texas Triangle.",gpt-oss,city,Polygon,county,Polygon
69,touches,overlaps,False,mostly within the boundaries of,gpt-oss,city,MultiPolygon,municipality,MultiPolygon
70,within,within,True,"De Leon (/d…™ ÀàliÀê…ín/ dih LEE-on) is a city located in Comanche County in the U.S. state of Texas.",gpt-oss,village,Polygon,county,Polygon
71,touches,error,False,"Located in the San Francisco Bay Area  and immediately south of San Francisco (sharing its northern border with almost all of San Francisco's southern border)  it is named for businessman and landowner John Donald Daly.",gpt-oss,city,Polygon,city,MultiPolygon
72,crosses,error,False,"U.S. Highways 281 and 380  and Texas State Highways 114 and 199 intersect at Jacksboro  which is the county seat of Jack County.",gpt-oss,highway,LineString,town,Polygon
73,within,error,False,part of,gpt-oss,city,Polygon,city,MultiPolygon
74,within,within,True,"Iredell (/Ààa…™…ôrd…õl/ IRE-del) is a city located in Bosque County in central Texas  United States.",gpt-oss,city,Polygon,county,Polygon
75,touches,error,False,"Pico Rivera is bordered by Montebello to the west  Downey to the south  Santa Fe Springs to the southeast  and Whittier to the east.",gpt-oss,town,Polygon,town,Polygon
76,within,error,False,"Caldwell is a designated Main Street City and the county seat of Burleson County  Texas  United States.",gpt-oss,county,Polygon,county,Polygon
77,touches,touches,True,"It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west  the Pacific Ocean on the southwest  by Seal Beach on the northwest  by Westminster on the north  by Fountain Valley on the northeast  by Costa Mesa on the east  and by Newport Beach on the southeast.",gpt-oss,city,Polygon,city,Polygon
78,touches,contains,False,surrounds,gpt-oss,town,Polygon,village,Polygon
79,touches,contains,False,"San Dimas is bordered by the San Gabriel Mountains range to the north  Glendora and Covina to the west  La Verne to its north and east side  Pomona to its south and east side  Walnut and the unincorporated community of Ramona to the southwest  and the unincorporated community of West San Dimas  which is an enclave in the southwestern portion of the city.",gpt-oss,city,Polygon,town,Polygon
80,touches,error,False,"A related city  La Habra Heights  is located to the north of La Habra  and is in Los Angeles County.",gpt-oss,town,Polygon,city,Polygon
81,disjoint,error,False,"Victoria is a two-hour drive from Corpus Christi  Houston  San Antonio  and Austin.",gpt-oss,county,Polygon,city,Polygon
82,touches,contains,False,"Located on the west side of Cedar Creek Lake  it is a popular second home and retiree destination.",gpt-oss,city,Polygon,water,Polygon
83,touches,touches,True,adjacent to,gpt-oss,city,Polygon,municipality,Polygon
84,overlaps,contains,False,"San Marcos is home to Texas State University and the Meadows Center for Water and the Environment.",gpt-oss,town,MultiPolygon,amenity,MultiPolygon
85,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
86,disjoint,disjoint,True,It is situated on the San Francisco Peninsula  roughly halfway between the cities of San Francisco and San Jose,gpt-oss,town,Polygon,city,MultiPolygon
87,touches,error,False,within,gpt-oss,village,Polygon,municipality,Polygon
88,within,error,False,in,gpt-oss,city,Polygon,county,Polygon
89,overlaps,within,False,most of the population in,gpt-oss,city,Polygon,county,Polygon
90,contains,error,False,home to,gpt-oss,city,MultiPolygon,amenity,MultiPolygon
91,within,error,False,in,gpt-oss,city,MultiPolygon,county,Polygon
92,disjoint,within,False,"Universal City is primarily surrounded by Los Angeles with its northeastern corner touching the city of Burbank  making the unincorporated area a county island.",gpt-oss,quarter,Polygon,city,Polygon
93,contains,contains,True,The city is the location of two prisons: Central California Women's Facility and Valley State Prison.,gpt-oss,town,MultiPolygon,prison,Polygon
94,crosses,error,False,It is on California State Route 1 between Monterey and Santa Cruz and sits at an elevation of 43 feet (13 m). Monterey between Santa Cruz.,gpt-oss,city,Polygon,industrial,LineString
95,touches,within,False,"It is an enclave of San Antonio and is part of the San Antonio Metropolitan Statistical Area.",gpt-oss,village,Polygon,city,MultiPolygon
96,crosses,within,False,Principal access to the city is supplied by State Route 17 that connects San Jose and Santa Cruz.,gpt-oss,industrial,LineString,city,MultiPolygon
97,within,within,True,in,gpt-oss,city,MultiPolygon,county,Polygon
98,touches,contains,False,surrounds,gpt-oss,city,Polygon,municipality,MultiPolygon
99,overlaps,within,False,8 252 of the population in,gpt-oss,city,Polygon,county,Polygon
100,disjoint,disjoint,True,"Gridley is a city in Butte County  California  United States  29 miles (47 kilometers) south of Chico  California and 56 miles (90 kilometers) north of Sacramento  California.",gpt-oss,village,Polygon,city,Polygon
101,disjoint,disjoint,True,Just east of the community is Jarvis Christian College  a historically black institution of higher learning.,gpt-oss,city,Polygon,amenity,Polygon
102,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
103,within,within,True,"Walnut Springs is a city located in Bosque County in Central Texas.",gpt-oss,city,Polygon,county,Polygon
104,within,within,True,Located in,gpt-oss,city,Polygon,city,MultiPolygon
105,disjoint,disjoint,True,"Wylie is a city and northeastern suburb of Dallas  that was once solely located in Collin County  but now extends into is neighboring Dallas and Rockwall counties in the U.S. state of Texas.",gpt-oss,city,Polygon,city,MultiPolygon
106,within,within,True,within,gpt-oss,city,MultiPolygon,county,Polygon
107,disjoint,error,False,"Colusi originates from the local Coru Native American tribe  who in the 1840s lived on the opposite side of the Sacramento River.",gpt-oss,water,Polygon,county,Polygon
108,disjoint,disjoint,True,"It is situated along the Brazos River and I-35  halfway between Dallas and Austin.",gpt-oss,city,Polygon,city,MultiPolygon
109,disjoint,contains,False,"Yosemite National Park is about 60 miles (100 km) to the north  Kings Canyon National Park 60 miles (100 km) to the east  and Sequoia National Park 75 miles (120 km) to the southeast.",gpt-oss,national_park,Polygon,national_park,MultiPolygon
110,touches,error,False,"It is surrounded by the cities of Chino  Ontario  Jurupa Valley  Norco  and Corona.",gpt-oss,town,Polygon,city,Polygon
111,touches,error,False,adjacent to,gpt-oss,city,MultiPolygon,municipality,MultiPolygon
112,disjoint,disjoint,True,"The city is located approximately 45 miles (72 km) west of Palm Springs and 63 miles (101 km) east of Los Angeles.",gpt-oss,city,MultiPolygon,city,Polygon
113,within,contains,False,county seat of,gpt-oss,city,Polygon,county,Polygon
114,overlaps,touches,False,"It lies on the Rio Grande  which forms the border between the United States and Mexico.",gpt-oss,water,Polygon,country,MultiPolygon
115,within,within,True,"Jacksonville is a city located in Cherokee County  Texas  United States.",gpt-oss,city,Polygon,county,Polygon
116,disjoint,disjoint,True,"Parlier is located 5.5 miles (9 km) east-northeast of Selma  at an elevation of 344 feet (105 m).",gpt-oss,city,MultiPolygon,city,Polygon
117,disjoint,disjoint,True,"The town draws its name from its location on the far western edge of the East Texas timberline on U.S. Highway 80  approximately 60 miles east of Dallas.",gpt-oss,town,Polygon,city,MultiPolygon
118,touches,disjoint,False,"Portland is a suburb of Corpus Christi  located on the north shore of Nueces and Corpus Christi Bays.",gpt-oss,city,Polygon,city,Polygon
119,disjoint,error,False,"South Los Angeles  also known as South Central Los Angeles or simply South Central  is a region in southern Los Angeles County  lying mostly within the city limits of Los Angeles  south of downtown.",gpt-oss,city,Polygon,suburb,Polygon
120,crosses,touches,False,along,gpt-oss,city,Polygon,water,LineString
121,contains,contains,True,"The city is home to the Hemet Valley Medical Center  a 320-bed general hospital.",gpt-oss,city,MultiPolygon,amenity,Polygon
122,touches,touches,True,adjacent to,gpt-oss,city,Polygon,municipality,Polygon
123,disjoint,within,False,"The city is located in the Mid-Cities suburban region between Dallas and Fort Worth and includes a larger portion of Dallas/Fort Worth International Airport than other cities.",gpt-oss,town,Polygon,city,MultiPolygon
124,crosses,touches,False,It is situated on the banks of Lake Winnebago  Little Lake Butte des Morts  and the Fox River ,gpt-oss,city,MultiPolygon,water,LineString
125,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
126,disjoint,disjoint,True,"Rohnert Park is a city in Sonoma County  California  United States  located approximately 50 miles (80 km) north of San Francisco.",gpt-oss,town,Polygon,city,MultiPolygon
127,touches,touches,True,"It is an inner-ring suburb of Dallas and is part of the Dallas‚ÄìFort Worth metroplex.",gpt-oss,city,Polygon,city,MultiPolygon
128,within,within,True,in,gpt-oss,city,MultiPolygon,county,Polygon
129,disjoint,disjoint,True,"It is located in Greater Houston.",gpt-oss,city,MultiPolygon,suburb,Polygon
130,contains,contains,True,Fort Worth is the location of the Van Cliburn International Piano Competition and several museums designed by contemporary architects. The Kimbell Art Museum was designed by Louis Kahn  with an addition designed by Renzo Piano. The Modern Art Museum of Fort Worth was designed by Tadao Ando. The Amon Carter Museum of American Art  designed by Philip Johnson  houses American art. The Sid Richardson Museum  redesigned by David M. Schwarz  has a collection of Western art in the U.S.  emphasizing Frederic Remington and Charles Russell. The Fort Worth Museum of Science and History was designed by Ricardo Legorreta of Mexico.,gpt-oss,city,MultiPolygon,museum,Polygon
131,contains,contains,True,include,gpt-oss,city,MultiPolygon,park,Polygon
132,touches,error,False,"The city borders Los Angeles County on its northwest side  Orange County to its south and southwest  and Riverside County to its southeast.",gpt-oss,town,Polygon,county,MultiPolygon
133,touches,touches,True,"About 20 miles (32 km) south of San Francisco  the city borders Burlingame to the north  Hillsborough to the west  San Francisco Bay and Foster City to the east and Belmont to the south.",gpt-oss,county,Polygon,town,Polygon
134,within,within,True,located in,gpt-oss,village,Polygon,county,Polygon
135,disjoint,contains,False,"The 90274 ZIP code (covering the cities of Palos Verdes Estates and Rolling Hills) was ranked the 47th most expensive housing area among high property value U.S. ZIP codes in a 2007 study by Forbes.com.",gpt-oss,suburb,Polygon,suburb,Polygon
136,touches,error,False,"Grand Terrace is located between Highgrove and Colton  along the I-215 and Agua Mansa industrial corridors.",gpt-oss,city,Polygon,locality,Polygon
137,within,within,True,"La Palma (Spanish for 'The Palm') is a city in Orange County  California  United States.",gpt-oss,city,Polygon,county,Polygon
138,crosses,error,False,at the mouth of,gpt-oss,city,MultiPolygon,river,LineString
139,disjoint,disjoint,True,"Located in the Ojai Valley  it is northwest of Los Angeles and east of Santa Barbara.",gpt-oss,residential,Polygon,city,Polygon
140,within,within,True,part of,gpt-oss,city,Polygon,commercial,Polygon
141,disjoint,disjoint,True,"Blue Lake is located on the Mad River in a deep valley  16 miles (26 km) northeast of Eureka  at an elevation of 131 feet (40 m).",gpt-oss,city,Polygon,city,Polygon
142,disjoint,error,False,"It is located approximately halfway between Waco and Bryan-College Station at the intersection of Texas State Highway 6 and Farm to Market Roads 1644 and 979  on the Southern Pacific line nine miles north of Hearne in west central Robertson County.",gpt-oss,city,Polygon,amenity,Polygon
143,within,within,True,"Pleasant Hill is a city in Contra Costa County  California  United States  in the East Bay of the San Francisco Bay Area.",gpt-oss,town,Polygon,county,Polygon
144,disjoint,within,False,"It is in the South Bay area of San Diego County  14.1 miles (22.7 km) south of downtown San Diego and 5 miles (8 km) northwest of downtown Tijuana  Mexico.",gpt-oss,town,Polygon,neighbourhood,Polygon
145,contains,contains,True,"With regard to education  Austin is the home of the University of Texas at Austin  which is one of the largest universities in the U.S.  with over 50 000 students.",gpt-oss,city,MultiPolygon,amenity,MultiPolygon
146,crosses,touches,False,on,gpt-oss,city,Polygon,water,LineString
147,overlaps,contains,False,surrounding,gpt-oss,water,Polygon,city,MultiPolygon
148,overlaps,contains,False,Colby is a city in Clark and Marathon counties in the U.S. state of Wisconsin,gpt-oss,city,Polygon,city,MultiPolygon
149,overlaps,within,False,the county seat of,gpt-oss,city,MultiPolygon,county,Polygon
150,within,within,True,in,gpt-oss,city,MultiPolygon,county,Polygon
151,within,error,False,county seat of,gpt-oss,town,Polygon,county,Polygon
152,disjoint,disjoint,True,"Visalia is 36 mi (58 km) west of Sequoia National Park  and 43 mi (69 km) south of Fresno.",gpt-oss,city,MultiPolygon,city,MultiPolygon
153,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
154,contains,error,False,home to,gpt-oss,city,MultiPolygon,amenity,Polygon
155,disjoint,disjoint,True,"Sanger is located 13 miles (21 km) east-southeast of Fresno  at an elevation of 371 feet (113 m).",gpt-oss,city,Polygon,city,MultiPolygon
156,touches,touches,True,"The city shares its borders with Clayton  Lafayette  Alamo  Pleasant Hill  and Concord.",gpt-oss,town,Polygon,city,MultiPolygon
157,disjoint,error,False,southwest of,gpt-oss,city,MultiPolygon,city,MultiPolygon
158,within,error,False,in,gpt-oss,village,Polygon,county,Polygon
159,overlaps,error,False,"It is located primarily in Ector County  although a small section of the city extends into Midland County.",gpt-oss,city,Polygon,county,Polygon
160,disjoint,disjoint,True,"Grand Saline is the third largest city in Van Zandt County and is located roughly 75 miles (120 km) east of Dallas and 35 miles (56 km) northwest of Tyler  the two nearest metropolitan areas  and is part of the greater Tyler/Longview area.",gpt-oss,city,Polygon,city,MultiPolygon
161,overlaps,within,False,1 354 of the population in ,gpt-oss,city,Polygon,county,Polygon
162,disjoint,contains,False,"It is the 21st largest metropolitan area in California  ranked behind Redding and Chico.",gpt-oss,city,MultiPolygon,city,Polygon
163,touches,touches,True,"Pico Rivera is bordered by Montebello to the west  Downey to the south  Santa Fe Springs to the southeast  and Whittier to the east.",gpt-oss,town,Polygon,city,MultiPolygon
164,within,within,True,"It is located at the southern tip of Texas in the Rio Grande Valley near the Mexican border  across the Rio Grande from the city of Nuevo Progreso  Rio Bravo  Tamaulipas.",gpt-oss,city,MultiPolygon,state,Polygon
165,touches,error,False,"Located in Dallas County  it is also an inner ring suburb of Dallas.",gpt-oss,city,Polygon,city,MultiPolygon
166,disjoint,error,False,"It lies in the Salinas Valley  33 miles (53 km) southeast of Salinas  at an elevation of 289 feet (88 m).",gpt-oss,amenity,Polygon,city,MultiPolygon
167,contains,contains,True,"Fort Worth is the location of several university communities: Texas Christian University  Texas Wesleyan  University of North Texas Health Science Center  and Texas A&M University School of Law.",gpt-oss,city,MultiPolygon,amenity,Polygon
168,touches,error,False,"Benicia is just east of Vallejo and across the strait from Martinez.",gpt-oss,town,Polygon,city,MultiPolygon
169,overlaps,touches,False,"Located on the shores of San Pablo Bay  the city had a population of 126 090 at the 2020 census.",gpt-oss,bay,Polygon,city,MultiPolygon
170,touches,touches,True,"The city is bounded by Topanga on the east  the Santa Monica Mountains (Agoura Hills  Calabasas  and Woodland Hills) to the north  the Pacific Ocean to the south  and Solromar in Ventura County to the west.",gpt-oss,village,Polygon,town,Polygon
171,touches,within,False,"Located within 5.71 square miles (14.8 km2)  and surrounded by the cities of Los Angeles and West Hollywood  it has a population of 32 701 according to the 2020 census.",gpt-oss,city,Polygon,city,Polygon
172,disjoint,error,False,"The city is located approximately 45 miles (72 km) west of Palm Springs and 63 miles (101 km) east of Los Angeles.",gpt-oss,city,MultiPolygon,city,Polygon
173,overlaps,within,False,810 of the population in,gpt-oss,city,MultiPolygon,county,Polygon
174,touches,error,False,"Haltom City is surrounded almost entirely by Fort Worth  North Richland Hills  Watauga  and Richland Hills.",gpt-oss,city,Polygon,city,Polygon
175,within,within,True,"As of 2006  Moorpark was one of the fastest-growing cities in Ventura County.",gpt-oss,city,Polygon,county,MultiPolygon
176,disjoint,error,False,"A wealthy suburb of the Dallas/Fort Worth area  Colleyville was originally a small farm town in the 19th century.",gpt-oss,city,Polygon,city,MultiPolygon
177,disjoint,error,False,"Lindsay is located southeast of Visalia and north of Porterville and is considered part of the Visalia-Porterville Metropolitan Area and the Porterville Urban Area by the United States Census Bureau.",gpt-oss,town,Polygon,city,MultiPolygon
178,disjoint,error,False,"Located within Southern California  it is approximately 25 miles (40 km) north of San Diego  between Solana Beach and Carlsbad  and about 95 miles (153 km) south of Los Angeles.",gpt-oss,city,MultiPolygon,city,Polygon
179,within,within,True,"La Mirada (Spanish for "The Look") is a city in southeast Los Angeles County  California United States  and is one of the Gateway Cities.",gpt-oss,town,Polygon,county,MultiPolygon
180,touches,disjoint,False,"A related city  La Habra  is located south of La Habra Heights and is in Orange County.",gpt-oss,city,Polygon,town,Polygon
181,within,within,True,located in,gpt-oss,city,MultiPolygon,county,Polygon
182,disjoint,contains,False,"It is in the Pomona Valley  at the foothills of the San Gabriel Mountains.",gpt-oss,city,Polygon,cemetery,Polygon
183,within,within,True,"It is located primarily in Duval County  of which it is the county seat.",gpt-oss,city,Polygon,county,Polygon
184,within,within,True,"La Grange is the county seat of Fayette County.",gpt-oss,village,Polygon,county,Polygon
185,disjoint,error,False,"The Los Angeles River forms part of its southwestern boundary  and the Rio Hondo separates it from Downey.",gpt-oss,water,Polygon,town,Polygon
186,disjoint,disjoint,True,"It is a suburb of Dallas and Fort Worth.",gpt-oss,city,Polygon,city,MultiPolygon
187,touches,touches,True,"Palo Alto includes portions of Stanford University and borders East Palo Alto  Mountain View  Los Altos  Los Altos Hills  Stanford  Portola Valley  and Menlo Park.",gpt-oss,city,Polygon,city,Polygon
188,disjoint,error,False,"The Colony is a city in Denton County  Texas  United States  and a suburb of Dallas.",gpt-oss,town,MultiPolygon,city,MultiPolygon
189,disjoint,error,False,"Beginning in the 1960s  the rapid growth of Houston moved westward along the new Interstate 10 corridor  bringing Katy into its environs.",gpt-oss,city,MultiPolygon,city,Polygon
190,disjoint,disjoint,True,"Trinidad (Spanish for "Trinity"; Yurok: Chuerey) is a seaside city in Humboldt County  located on the Pacific Ocean 8 miles (13 km) north of the Arcata-Eureka Airport and 15 miles (24 km) north of the college town of Arcata.",gpt-oss,city,Polygon,aeroway,Polygon
191,touches,error,False,"It is bounded to the north by the San Gabriel Mountains  to the north and west by the cities of Bradbury and Monrovia  to the south by the city of Irwindale  and to the east by the cities of Irwindale and Azusa.",gpt-oss,city,Polygon,city,Polygon
192,disjoint,contains,False,"The city of Temecula  forming the southwestern anchor of the Inland Empire region  is approximately 58 miles (93 km) north of downtown San Diego and 85 miles (137 km) southeast of downtown Los Angeles.",gpt-oss,city,Polygon,neighbourhood,Polygon
