index,expected,predicted,match,description,model
66,disjoint,disjoint,True,"Dixon is a city in northern Solano County  California  United States  located 23 miles (37 km) from the state capital  Sacramento.",gpt-oss
67,overlaps,touches,False,lies on,gpt-oss
68,within,within,True,"College Station is a city in Brazos County  Texas  situated in East-Central Texas in the heart of the Brazos Valley  towards the eastern edge of the region known as the Texas Triangle.",gpt-oss
69,touches,overlaps,False,mostly within the boundaries of,gpt-oss
70,within,within,True,"De Leon (/d…™ ÀàliÀê…ín/ dih LEE-on) is a city located in Comanche County in the U.S. state of Texas.",gpt-oss
71,touches,touches,True,"Located in the San Francisco Bay Area  and immediately south of San Francisco (sharing its northern border with almost all of San Francisco's southern border)  it is named for businessman and landowner John Donald Daly.",gpt-oss
72,crosses,error,False,"U.S. Highways 281 and 380  and Texas State Highways 114 and 199 intersect at Jacksboro  which is the county seat of Jack County.",gpt-oss
73,within,within,True,part of,gpt-oss
74,within,within,True,"Iredell (/Ààa…™…ôrd…õl/ IRE-del) is a city located in Bosque County in central Texas  United States.",gpt-oss
75,touches,touches,True,"Pico Rivera is bordered by Montebello to the west  Downey to the south  Santa Fe Springs to the southeast  and Whittier to the east.",gpt-oss
76,within,within,True,"Caldwell is a designated Main Street City and the county seat of Burleson County  Texas  United States.",gpt-oss
77,touches,touches,True,"It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west  the Pacific Ocean on the southwest  by Seal Beach on the northwest  by Westminster on the north  by Fountain Valley on the northeast  by Costa Mesa on the east  and by Newport Beach on the southeast.",gpt-oss
78,touches,contains,False,surrounds,gpt-oss
79,touches,contains,False,"San Dimas is bordered by the San Gabriel Mountains range to the north  Glendora and Covina to the west  La Verne to its north and east side  Pomona to its south and east side  Walnut and the unincorporated community of Ramona to the southwest  and the unincorporated community of West San Dimas  which is an enclave in the southwestern portion of the city.",gpt-oss
80,touches,disjoint,False,"A related city  La Habra Heights  is located to the north of La Habra  and is in Los Angeles County.",gpt-oss
81,disjoint,disjoint,True,"Victoria is a two-hour drive from Corpus Christi  Houston  San Antonio  and Austin.",gpt-oss
82,touches,touches,True,"Located on the west side of Cedar Creek Lake  it is a popular second home and retiree destination.",gpt-oss
83,touches,touches,True,adjacent to,gpt-oss
84,overlaps,contains,False,"San Marcos is home to Texas State University and the Meadows Center for Water and the Environment.",gpt-oss
85,within,within,True,in,gpt-oss
86,disjoint,disjoint,True,It is situated on the San Francisco Peninsula  roughly halfway between the cities of San Francisco and San Jose,gpt-oss
87,touches,within,False,within,gpt-oss
88,within,within,True,in,gpt-oss
89,overlaps,within,False,most of the population in,gpt-oss
90,contains,contains,True,home to,gpt-oss
91,within,within,True,in,gpt-oss
92,disjoint,touches,False,"Universal City is primarily surrounded by Los Angeles with its northeastern corner touching the city of Burbank  making the unincorporated area a county island.",gpt-oss
93,contains,contains,True,The city is the location of two prisons: Central California Women's Facility and Valley State Prison.,gpt-oss
94,crosses,disjoint,False,It is on California State Route 1 between Monterey and Santa Cruz and sits at an elevation of 43 feet (13 m). Monterey between Santa Cruz.,gpt-oss
95,touches,within,False,"It is an enclave of San Antonio and is part of the San Antonio Metropolitan Statistical Area.",gpt-oss
96,crosses,disjoint,False,Principal access to the city is supplied by State Route 17 that connects San Jose and Santa Cruz.,gpt-oss
97,within,within,True,in,gpt-oss
98,touches,contains,False,surrounds,gpt-oss
99,overlaps,within,False,8 252 of the population in,gpt-oss
100,disjoint,disjoint,True,"Gridley is a city in Butte County  California  United States  29 miles (47 kilometers) south of Chico  California and 56 miles (90 kilometers) north of Sacramento  California.",gpt-oss
101,disjoint,disjoint,True,Just east of the community is Jarvis Christian College  a historically black institution of higher learning.,gpt-oss
102,within,within,True,in,gpt-oss
103,within,within,True,"Walnut Springs is a city located in Bosque County in Central Texas.",gpt-oss
104,within,within,True,Located in,gpt-oss
105,disjoint,touches,False,"Wylie is a city and northeastern suburb of Dallas  that was once solely located in Collin County  but now extends into is neighboring Dallas and Rockwall counties in the U.S. state of Texas.",gpt-oss
106,within,within,True,within,gpt-oss
107,disjoint,within,False,"Colusi originates from the local Coru Native American tribe  who in the 1840s lived on the opposite side of the Sacramento River.",gpt-oss
108,disjoint,disjoint,True,"It is situated along the Brazos River and I-35  halfway between Dallas and Austin.",gpt-oss
109,disjoint,disjoint,True,"Yosemite National Park is about 60 miles (100 km) to the north  Kings Canyon National Park 60 miles (100 km) to the east  and Sequoia National Park 75 miles (120 km) to the southeast.",gpt-oss
110,touches,touches,True,"It is surrounded by the cities of Chino  Ontario  Jurupa Valley  Norco  and Corona.",gpt-oss
111,touches,touches,True,adjacent to,gpt-oss
112,disjoint,disjoint,True,"The city is located approximately 45 miles (72 km) west of Palm Springs and 63 miles (101 km) east of Los Angeles.",gpt-oss
113,within,within,True,county seat of,gpt-oss
114,overlaps,touches,False,"It lies on the Rio Grande  which forms the border between the United States and Mexico.",gpt-oss
115,within,within,True,"Jacksonville is a city located in Cherokee County  Texas  United States.",gpt-oss
116,disjoint,disjoint,True,"Parlier is located 5.5 miles (9 km) east-northeast of Selma  at an elevation of 344 feet (105 m).",gpt-oss
117,disjoint,disjoint,True,"The town draws its name from its location on the far western edge of the East Texas timberline on U.S. Highway 80  approximately 60 miles east of Dallas.",gpt-oss
118,touches,touches,True,"Portland is a suburb of Corpus Christi  located on the north shore of Nueces and Corpus Christi Bays.",gpt-oss
119,disjoint,within,False,"South Los Angeles  also known as South Central Los Angeles or simply South Central  is a region in southern Los Angeles County  lying mostly within the city limits of Los Angeles  south of downtown.",gpt-oss
120,crosses,touches,False,along,gpt-oss
121,contains,contains,True,"The city is home to the Hemet Valley Medical Center  a 320-bed general hospital.",gpt-oss
122,touches,touches,True,adjacent to,gpt-oss
123,disjoint,disjoint,True,"The city is located in the Mid-Cities suburban region between Dallas and Fort Worth and includes a larger portion of Dallas/Fort Worth International Airport than other cities.",gpt-oss
124,crosses,touches,False,It is situated on the banks of Lake Winnebago  Little Lake Butte des Morts  and the Fox River ,gpt-oss
125,within,within,True,in,gpt-oss
126,disjoint,disjoint,True,"Rohnert Park is a city in Sonoma County  California  United States  located approximately 50 miles (80 km) north of San Francisco.",gpt-oss
127,touches,disjoint,False,"It is an inner-ring suburb of Dallas and is part of the Dallas‚ÄìFort Worth metroplex.",gpt-oss
128,within,within,True,in,gpt-oss
129,disjoint,within,False,"It is located in Greater Houston.",gpt-oss
130,contains,contains,True,Fort Worth is the location of the Van Cliburn International Piano Competition and several museums designed by contemporary architects. The Kimbell Art Museum was designed by Louis Kahn  with an addition designed by Renzo Piano. The Modern Art Museum of Fort Worth was designed by Tadao Ando. The Amon Carter Museum of American Art  designed by Philip Johnson  houses American art. The Sid Richardson Museum  redesigned by David M. Schwarz  has a collection of Western art in the U.S.  emphasizing Frederic Remington and Charles Russell. The Fort Worth Museum of Science and History was designed by Ricardo Legorreta of Mexico.,gpt-oss
131,contains,contains,True,include,gpt-oss
132,touches,touches,True,"The city borders Los Angeles County on its northwest side  Orange County to its south and southwest  and Riverside County to its southeast.",gpt-oss
133,touches,touches,True,"About 20 miles (32 km) south of San Francisco  the city borders Burlingame to the north  Hillsborough to the west  San Francisco Bay and Foster City to the east and Belmont to the south.",gpt-oss
134,within,within,True,located in,gpt-oss
135,disjoint,disjoint,True,"The 90274 ZIP code (covering the cities of Palos Verdes Estates and Rolling Hills) was ranked the 47th most expensive housing area among high property value U.S. ZIP codes in a 2007 study by Forbes.com.",gpt-oss
136,touches,disjoint,False,"Grand Terrace is located between Highgrove and Colton  along the I-215 and Agua Mansa industrial corridors.",gpt-oss
137,within,within,True,"La Palma (Spanish for 'The Palm') is a city in Orange County  California  United States.",gpt-oss
138,crosses,touches,False,at the mouth of,gpt-oss
139,disjoint,disjoint,True,"Located in the Ojai Valley  it is northwest of Los Angeles and east of Santa Barbara.",gpt-oss
140,within,within,True,part of,gpt-oss
141,disjoint,disjoint,True,"Blue Lake is located on the Mad River in a deep valley  16 miles (26 km) northeast of Eureka  at an elevation of 131 feet (40 m).",gpt-oss
142,disjoint,contains,False,"It is located approximately halfway between Waco and Bryan-College Station at the intersection of Texas State Highway 6 and Farm to Market Roads 1644 and 979  on the Southern Pacific line nine miles north of Hearne in west central Robertson County.",gpt-oss
143,within,within,True,"Pleasant Hill is a city in Contra Costa County  California  United States  in the East Bay of the San Francisco Bay Area.",gpt-oss
144,disjoint,within,False,"It is in the South Bay area of San Diego County  14.1 miles (22.7 km) south of downtown San Diego and 5 miles (8 km) northwest of downtown Tijuana  Mexico.",gpt-oss
145,contains,contains,True,"With regard to education  Austin is the home of the University of Texas at Austin  which is one of the largest universities in the U.S.  with over 50 000 students.",gpt-oss
146,crosses,touches,False,on,gpt-oss
147,overlaps,contains,False,surrounding,gpt-oss
148,overlaps,within,False,Colby is a city in Clark and Marathon counties in the U.S. state of Wisconsin,gpt-oss
149,overlaps,within,False,the county seat of,gpt-oss
150,within,within,True,in,gpt-oss
151,within,within,True,county seat of,gpt-oss
152,disjoint,disjoint,True,"Visalia is 36 mi (58 km) west of Sequoia National Park  and 43 mi (69 km) south of Fresno.",gpt-oss
153,within,within,True,in,gpt-oss
154,contains,contains,True,home to,gpt-oss
155,disjoint,disjoint,True,"Sanger is located 13 miles (21 km) east-southeast of Fresno  at an elevation of 371 feet (113 m).",gpt-oss
156,touches,touches,True,"The city shares its borders with Clayton  Lafayette  Alamo  Pleasant Hill  and Concord.",gpt-oss
157,disjoint,disjoint,True,southwest of,gpt-oss
158,within,within,True,in,gpt-oss
159,overlaps,overlaps,True,"It is located primarily in Ector County  although a small section of the city extends into Midland County.",gpt-oss
160,disjoint,disjoint,True,"Grand Saline is the third largest city in Van Zandt County and is located roughly 75 miles (120 km) east of Dallas and 35 miles (56 km) northwest of Tyler  the two nearest metropolitan areas  and is part of the greater Tyler/Longview area.",gpt-oss
161,overlaps,within,False,1 354 of the population in ,gpt-oss
162,disjoint,disjoint,True,"It is the 21st largest metropolitan area in California  ranked behind Redding and Chico.",gpt-oss
163,touches,touches,True,"Pico Rivera is bordered by Montebello to the west  Downey to the south  Santa Fe Springs to the southeast  and Whittier to the east.",gpt-oss
164,within,within,True,"It is located at the southern tip of Texas in the Rio Grande Valley near the Mexican border  across the Rio Grande from the city of Nuevo Progreso  Rio Bravo  Tamaulipas.",gpt-oss
165,touches,touches,True,"Located in Dallas County  it is also an inner ring suburb of Dallas.",gpt-oss
166,disjoint,disjoint,True,"It lies in the Salinas Valley  33 miles (53 km) southeast of Salinas  at an elevation of 289 feet (88 m).",gpt-oss
167,contains,contains,True,"Fort Worth is the location of several university communities: Texas Christian University  Texas Wesleyan  University of North Texas Health Science Center  and Texas A&M University School of Law.",gpt-oss
168,touches,disjoint,False,"Benicia is just east of Vallejo and across the strait from Martinez.",gpt-oss
169,overlaps,touches,False,"Located on the shores of San Pablo Bay  the city had a population of 126 090 at the 2020 census.",gpt-oss
170,touches,touches,True,"The city is bounded by Topanga on the east  the Santa Monica Mountains (Agoura Hills  Calabasas  and Woodland Hills) to the north  the Pacific Ocean to the south  and Solromar in Ventura County to the west.",gpt-oss
171,touches,touches,True,"Located within 5.71 square miles (14.8 km2)  and surrounded by the cities of Los Angeles and West Hollywood  it has a population of 32 701 according to the 2020 census.",gpt-oss
172,disjoint,disjoint,True,"The city is located approximately 45 miles (72 km) west of Palm Springs and 63 miles (101 km) east of Los Angeles.",gpt-oss
173,overlaps,within,False,810 of the population in,gpt-oss
174,touches,within,False,"Haltom City is surrounded almost entirely by Fort Worth  North Richland Hills  Watauga  and Richland Hills.",gpt-oss
175,within,within,True,"As of 2006  Moorpark was one of the fastest-growing cities in Ventura County.",gpt-oss
176,disjoint,touches,False,"A wealthy suburb of the Dallas/Fort Worth area  Colleyville was originally a small farm town in the 19th century.",gpt-oss
177,disjoint,disjoint,True,"Lindsay is located southeast of Visalia and north of Porterville and is considered part of the Visalia-Porterville Metropolitan Area and the Porterville Urban Area by the United States Census Bureau.",gpt-oss
178,disjoint,disjoint,True,"Located within Southern California  it is approximately 25 miles (40 km) north of San Diego  between Solana Beach and Carlsbad  and about 95 miles (153 km) south of Los Angeles.",gpt-oss
179,within,within,True,"La Mirada (Spanish for "The Look") is a city in southeast Los Angeles County  California United States  and is one of the Gateway Cities.",gpt-oss
180,touches,disjoint,False,"A related city  La Habra  is located south of La Habra Heights and is in Orange County.",gpt-oss
181,within,within,True,located in,gpt-oss
182,disjoint,contains,False,"It is in the Pomona Valley  at the foothills of the San Gabriel Mountains.",gpt-oss
183,within,within,True,"It is located primarily in Duval County  of which it is the county seat.",gpt-oss
184,within,within,True,"La Grange is the county seat of Fayette County.",gpt-oss
185,disjoint,touches,False,"The Los Angeles River forms part of its southwestern boundary  and the Rio Hondo separates it from Downey.",gpt-oss
186,disjoint,disjoint,True,"It is a suburb of Dallas and Fort Worth.",gpt-oss
187,touches,touches,True,"Palo Alto includes portions of Stanford University and borders East Palo Alto  Mountain View  Los Altos  Los Altos Hills  Stanford  Portola Valley  and Menlo Park.",gpt-oss
188,disjoint,touches,False,"The Colony is a city in Denton County  Texas  United States  and a suburb of Dallas.",gpt-oss
189,disjoint,contains,False,"Beginning in the 1960s  the rapid growth of Houston moved westward along the new Interstate 10 corridor  bringing Katy into its environs.",gpt-oss
190,disjoint,disjoint,True,"Trinidad (Spanish for "Trinity"; Yurok: Chuerey) is a seaside city in Humboldt County  located on the Pacific Ocean 8 miles (13 km) north of the Arcata-Eureka Airport and 15 miles (24 km) north of the college town of Arcata.",gpt-oss
191,touches,touches,True,"It is bounded to the north by the San Gabriel Mountains  to the north and west by the cities of Bradbury and Monrovia  to the south by the city of Irwindale  and to the east by the cities of Irwindale and Azusa.",gpt-oss
192,disjoint,disjoint,True,"The city of Temecula  forming the southwestern anchor of the Inland Empire region  is approximately 58 miles (93 km) north of downtown San Diego and 85 miles (137 km) southeast of downtown Los Angeles.",gpt-oss
193,overlaps,within,False,"Longview is a city in the U.S. state of Texas  and county seat of Gregg County; a small part of Longview extends into the western portion of is neighboring Harrison County.",gpt-oss
194,touches,within,False,"Leon Valley is an independent municipality surrounded by the city of San Antonio.",gpt-oss
195,touches,disjoint,False,"The city is bordered by Escondido to the east  Encinitas to the southwest  Carlsbad to the west  and Vista to the northwest.",gpt-oss
196,touches,disjoint,False,"In 2017  Converse proposed the annexation of 12 mi2 of territory near Randolph Air Force Base in northeastern Bexar County.",gpt-oss
197,disjoint,disjoint,True,"Avenal is located 35 miles (56 km) southwest of Hanford  at an elevation of 807 ft (246 m).",gpt-oss
198,overlaps,disjoint,False,Marshfield is a city in northwest Wood and southwest Marathon counties in the U.S. state of Wisconsin,gpt-oss
199,touches,touches,True,"Bradbury is bordered by the city of Monrovia to the west and south  and Duarte to the south and east.",gpt-oss
200,within,within,True,in,gpt-oss
201,within,within,True,in,gpt-oss
202,contains,contains,True,is the home of,gpt-oss
203,touches,touches,True,"Murrieta is bordered by the city of Temecula to the south  the cities of Menifee and Wildomar to the north  and the unincorporated community of French Valley to the east.",gpt-oss
204,overlaps,overlaps,True,"The city's limits extend into Caldwell and Guadalupe Counties  as well.",gpt-oss
205,disjoint,touches,False,"It is bordered by the cities of Bell on the south  Vernon on the north and west  Huntington Park on the southwest  and Commerce on the east.",gpt-oss
206,within,within,True,in,gpt-oss
207,touches,disjoint,False,"Larkspur is located 3 miles (4.8 km) south of San Rafael  at an elevation of 43 feet (13 m).",gpt-oss
208,contains,contains,True,home to,gpt-oss
209,overlaps,touches,False,"Albany (/Àà…îÀêlb…ôni/ AWL-b…ô-nee) is a city on the east shore of San Francisco Bay in northwestern Alameda County  California.",gpt-oss
210,overlaps,within,False,146 of the population in,gpt-oss
211,within,within,True,in,gpt-oss
212,touches,within,False,"It is surrounded by the cities of Houston and West University Place.",gpt-oss
213,touches,disjoint,False,"Pharr is connected by bridge to the Mexican city of Reynosa  Tamaulipas.",gpt-oss
214,overlaps,contains,False,home to,gpt-oss
215,overlaps,overlaps,True,mostly located in,gpt-oss
216,touches,disjoint,False,"Cotati (/ko¬†√§√Ä√†t‚Ä¶√´√Ä√™ti√Ä√™/; Miwok: Kota‚Äö√Ñ√¥ti) is an incorporated city in Sonoma County  California  United States  located approximately 45 mi (70 km) north of San Francisco in the 101 corridor between Rohnert Park and Petaluma.",gpt-oss
217,touches,touches,True,"The City of Hurst is surrounded by other communities including Bedford  Euless  Fort Worth  Richland Hills  North Richland Hills  Grapevine  and Colleyville.",gpt-oss
218,within,within,True,in,gpt-oss
219,disjoint,disjoint,True,to the northeast of,gpt-oss
220,touches,touches,True,"Stanton is bounded by Cypress on the west  Anaheim on the north  and east  and Garden Grove on the east and south.",gpt-oss
221,crosses,contains,False,The district straddles a 7-mile (11 km) stretch of Interstate 10 (the Katy Freeway),gpt-oss
222,crosses,contains,False,"The community is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg in Fort Bend County and Wallis in Austin County.",gpt-oss
223,touches,touches,True,"It is adjacent to Cathedral City  Palm Desert  and Unincorporated Thousand Palms.",gpt-oss
224,overlaps,within,False,7 795 were in Dodge County  and 3 549 were in Fond du Lac County,gpt-oss
225,crosses,crosses,True,"The city is centered on the intersection of Texas Highways 35 & 36  55 miles (89 km) southwest of downtown Houston.",gpt-oss
226,touches,touches,True,"Murrieta is bordered by the city of Temecula to the south  the cities of Menifee and Wildomar to the north  and the unincorporated community of French Valley to the east.",gpt-oss
227,touches,touches,True,Besides Roseville  it shares borders with Granite Bay  Loomis and Lincoln,gpt-oss
228,within,within,True,"Camarillo (/Àåk√¶m…ôÀàriÀêo ä/ KAM-…ô-REE-oh) is a city in Ventura County in the U.S. state of California.",gpt-oss
229,within,within,True,"The cities of Norco and Riverside lie to the north and northeast  Chino Hills and Yorba Linda to the northwest  Anaheim to the west  Cleveland National Forest and the Santa Ana Mountains to the southwest  and unincorporated Riverside County along the rest of the city's borders.",gpt-oss
230,touches,touches,True,"Sand City is a city in Monterey County  California  United States  located on the shores of Monterey Bay  and surrounded on most sides by the larger city of Seaside.",gpt-oss
231,crosses,crosses,True,"O'Brien is located at the junction of Farm Road 2229 and Texas State Highway 6; the nearest large city is Abilene  70 miles to the south.",gpt-oss
232,disjoint,disjoint,True,"Maricopa is located 6.5 miles (10 km) south-southeast of Taft  at an elevation of 883 feet (269 m).",gpt-oss
233,touches,touches,True,"Larkspur's Police Department is shared with that of the is neighboring Corte Madera and town of San Anselmo as the Central Marin Police Authority.",gpt-oss
234,touches,touches,True,"El Paso adjoins it on the west and the smaller city of San Elizario on the southeast.",gpt-oss
235,overlaps,within,False,in,gpt-oss
236,within,within,True,"Citrus Heights is a city in Sacramento County  California.",gpt-oss
237,touches,touches,True,"Monterey Park is bordered by Alhambra  Los Angeles  Montebello  and Rosemead.",gpt-oss
238,touches,disjoint,False,"Grand Terrace is located between Highgrove and Colton  along the I-215 and Agua Mansa industrial corridors.",gpt-oss
239,within,within,True,in,gpt-oss
240,touches,within,False,"The city is surrounded by Waco and is part of the Waco Metropolitan Statistical Area.",gpt-oss
241,within,overlaps,False,"Most of the city is located in Dallas County  though a small portion extends into Kaufman County.",gpt-oss
242,disjoint,disjoint,True,north of,gpt-oss
243,within,within,True,in,gpt-oss
244,within,touches,False,Established as a city in 1888  it is on the shore of Lake Elsinore  a natural freshwater lake about 3 000 acres (1 200 ha) in size,gpt-oss
245,touches,disjoint,False,"Manhattan Beach is a city in southwestern Los Angeles County  California  United States  on the Pacific coast south of El Segundo  west of Hawthorne and Redondo Beach  and north of Hermosa Beach.",gpt-oss
246,within,within,True,part of,gpt-oss
247,touches,disjoint,False,"Located near the county seat of Belton  Temple lies in the region referred to as Central Texas and is a principal city in the Killeen‚ÄìTemple‚ÄìFort Hood metropolitan area  which as of 2015 had a population of 450 051.",gpt-oss
