id,question,direction
46,I am riding north-west along the south-west shore of the lake. In which direction is the lake?,north-east
47,I am riding north along the west shore of the lake. In which direction is the lake?,east
48,I am riding north-east along the north-west shore of the lake. In which direction is the lake?,south-east
49,I am perambulating east along the north shore of the lake. In which direction is the lake?,south
50,I am perambulating south-east along the north-east shore of the lake. In which direction is the lake?,south-west
51,I am perambulating south along the east shore of the lake. In which direction is the lake?,west
52,I am perambulating south-west along the south-east shore of the lake. In which direction is the lake?,north-west
53,I am perambulating west along the south shore of the lake. In which direction is the lake?,north
54,I am perambulating north-west along the south-west shore of the lake. In which direction is the lake?,north-east
55,I am perambulating north along the west shore of the lake. In which direction is the lake?,east
56,I am perambulating north-east along the north-west shore of the lake. In which direction is the lake?,south-east
57,I am hiking east along the north shore of the lake. In which direction is the lake?,south
58,I am hiking south-east along the north-east shore of the lake. In which direction is the lake?,south-west
59,I am hiking south along the east shore of the lake. In which direction is the lake?,west
60,I am hiking south-west along the south-east shore of the lake. In which direction is the lake?,north-west
61,I am hiking west along the south shore of the lake. In which direction is the lake?,north
62,I am hiking north-west along the south-west shore of the lake. In which direction is the lake?,north-east
63,I am hiking north along the west shore of the lake. In which direction is the lake?,east
64,I am hiking north-east along the north-west shore of the lake. In which direction is the lake?,south-east
65,I am unicycling east along the north shore of the lake. In which direction is the lake?,south
66,I am unicycling south-east along the north-east shore of the lake. In which direction is the lake?,south-west
67,I am unicycling south along the east shore of the lake. In which direction is the lake?,west
68,I am unicycling south-west along the south-east shore of the lake. In which direction is the lake?,north-west
69,I am unicycling west along the south shore of the lake. In which direction is the lake?,north
70,I am unicycling north-west along the south-west shore of the lake. In which direction is the lake?,north-east
71,I am unicycling north along the west shore of the lake. In which direction is the lake?,east
72,I am unicycling north-east along the north-west shore of the lake. In which direction is the lake?,south-east
73,I am racing east along the north shore of the lake. In which direction is the lake?,south
74,I am racing south-east along the north-east shore of the lake. In which direction is the lake?,south-west
75,I am racing south along the east shore of the lake. In which direction is the lake?,west
76,I am racing south-west along the south-east shore of the lake. In which direction is the lake?,north-west
77,I am racing west along the south shore of the lake. In which direction is the lake?,north
78,I am racing north-west along the south-west shore of the lake. In which direction is the lake?,north-east
79,I am racing north along the west shore of the lake. In which direction is the lake?,east
80,I am racing north-east along the north-west shore of the lake. In which direction is the lake?,south-east
81,You are running east along the north shore of the lake. In which direction is the lake?,south
82,You are running south-east along the north-east shore of the lake. In which direction is the lake?,south-west
83,You are running south along the east shore of the lake. In which direction is the lake?,west
84,You are running south-west along the south-east shore of the lake. In which direction is the lake?,north-west
85,You are running west along the south shore of the lake. In which direction is the lake?,north
86,You are running north-west along the south-west shore of the lake. In which direction is the lake?,north-east
87,You are running north along the west shore of the lake. In which direction is the lake?,east
88,You are running north-east along the north-west shore of the lake. In which direction is the lake?,south-east
89,You are walking east along the north shore of the lake. In which direction is the lake?,south
90,You are walking south-east along the north-east shore of the lake. In which direction is the lake?,south-west
91,You are walking south along the east shore of the lake. In which direction is the lake?,west
92,You are walking south-west along the south-east shore of the lake. In which direction is the lake?,north-west
93,You are walking west along the south shore of the lake. In which direction is the lake?,north
94,You are walking north-west along the south-west shore of the lake. In which direction is the lake?,north-east
95,You are walking north along the west shore of the lake. In which direction is the lake?,east
96,You are walking north-east along the north-west shore of the lake. In which direction is the lake?,south-east
97,You are cycling east along the north shore of the lake. In which direction is the lake?,south
98,You are cycling south-east along the north-east shore of the lake. In which direction is the lake?,south-west
99,You are cycling south along the east shore of the lake. In which direction is the lake?,west
100,You are cycling south-west along the south-east shore of the lake. In which direction is the lake?,north-west
101,You are cycling west along the south shore of the lake. In which direction is the lake?,north
102,You are cycling north-west along the south-west shore of the lake. In which direction is the lake?,north-east
103,You are cycling north along the west shore of the lake. In which direction is the lake?,east
104,You are cycling north-east along the north-west shore of the lake. In which direction is the lake?,south-east
105,You are driving east along the north shore of the lake. In which direction is the lake?,south
106,You are driving south-east along the north-east shore of the lake. In which direction is the lake?,south-west
107,You are driving south along the east shore of the lake. In which direction is the lake?,west
108,You are driving south-west along the south-east shore of the lake. In which direction is the lake?,north-west
109,You are driving west along the south shore of the lake. In which direction is the lake?,north
110,You are driving north-west along the south-west shore of the lake. In which direction is the lake?,north-east
111,You are driving north along the west shore of the lake. In which direction is the lake?,east
112,You are driving north-east along the north-west shore of the lake. In which direction is the lake?,south-east
113,You are jogging east along the north shore of the lake. In which direction is the lake?,south
114,You are jogging south-east along the north-east shore of the lake. In which direction is the lake?,south-west
115,You are jogging south along the east shore of the lake. In which direction is the lake?,west
116,You are jogging south-west along the south-east shore of the lake. In which direction is the lake?,north-west
117,You are jogging west along the south shore of the lake. In which direction is the lake?,north
118,You are jogging north-west along the south-west shore of the lake. In which direction is the lake?,north-east
119,You are jogging north along the west shore of the lake. In which direction is the lake?,east
120,You are jogging north-east along the north-west shore of the lake. In which direction is the lake?,south-east
121,You are riding east along the north shore of the lake. In which direction is the lake?,south
122,You are riding south-east along the north-east shore of the lake. In which direction is the lake?,south-west
123,You are riding south along the east shore of the lake. In which direction is the lake?,west
124,You are riding south-west along the south-east shore of the lake. In which direction is the lake?,north-west
125,You are riding west along the south shore of the lake. In which direction is the lake?,north
126,You are riding north-west along the south-west shore of the lake. In which direction is the lake?,north-east
127,You are riding north along the west shore of the lake. In which direction is the lake?,east
128,You are riding north-east along the north-west shore of the lake. In which direction is the lake?,south-east
129,You are perambulating east along the north shore of the lake. In which direction is the lake?,south
130,You are perambulating south-east along the north-east shore of the lake. In which direction is the lake?,south-west
131,You are perambulating south along the east shore of the lake. In which direction is the lake?,west
132,You are perambulating south-west along the south-east shore of the lake. In which direction is the lake?,north-west
133,You are perambulating west along the south shore of the lake. In which direction is the lake?,north
134,You are perambulating north-west along the south-west shore of the lake. In which direction is the lake?,north-east
135,You are perambulating north along the west shore of the lake. In which direction is the lake?,east
136,You are perambulating north-east along the north-west shore of the lake. In which direction is the lake?,south-east
137,You are hiking east along the north shore of the lake. In which direction is the lake?,south
138,You are hiking south-east along the north-east shore of the lake. In which direction is the lake?,south-west
139,You are hiking south along the east shore of the lake. In which direction is the lake?,west
140,You are hiking south-west along the south-east shore of the lake. In which direction is the lake?,north-west
141,You are hiking west along the south shore of the lake. In which direction is the lake?,north
142,You are hiking north-west along the south-west shore of the lake. In which direction is the lake?,north-east
143,You are hiking north along the west shore of the lake. In which direction is the lake?,east
144,You are hiking north-east along the north-west shore of the lake. In which direction is the lake?,south-east
145,You are unicycling east along the north shore of the lake. In which direction is the lake?,south
146,You are unicycling south-east along the north-east shore of the lake. In which direction is the lake?,south-west
147,You are unicycling south along the east shore of the lake. In which direction is the lake?,west
148,You are unicycling south-west along the south-east shore of the lake. In which direction is the lake?,north-west
149,You are unicycling west along the south shore of the lake. In which direction is the lake?,north
150,You are unicycling north-west along the south-west shore of the lake. In which direction is the lake?,north-east
151,You are unicycling north along the west shore of the lake. In which direction is the lake?,east
152,You are unicycling north-east along the north-west shore of the lake. In which direction is the lake?,south-east
153,You are racing east along the north shore of the lake. In which direction is the lake?,south
154,You are racing south-east along the north-east shore of the lake. In which direction is the lake?,south-west
155,You are racing south along the east shore of the lake. In which direction is the lake?,west
156,You are racing south-west along the south-east shore of the lake. In which direction is the lake?,north-west
157,You are racing west along the south shore of the lake. In which direction is the lake?,north
158,You are racing north-west along the south-west shore of the lake. In which direction is the lake?,north-east
159,You are racing north along the west shore of the lake. In which direction is the lake?,east
160,You are racing north-east along the north-west shore of the lake. In which direction is the lake?,south-east
161,He is running east along the north shore of the lake. In which direction is the lake?,south
162,He is running south-east along the north-east shore of the lake. In which direction is the lake?,south-west
163,He is running south along the east shore of the lake. In which direction is the lake?,west
164,He is running south-west along the south-east shore of the lake. In which direction is the lake?,north-west
165,He is running west along the south shore of the lake. In which direction is the lake?,north
166,He is running north-west along the south-west shore of the lake. In which direction is the lake?,north-east
167,He is running north along the west shore of the lake. In which direction is the lake?,east
168,He is running north-east along the north-west shore of the lake. In which direction is the lake?,south-east
169,He is walking east along the north shore of the lake. In which direction is the lake?,south
170,He is walking south-east along the north-east shore of the lake. In which direction is the lake?,south-west
171,He is walking south along the east shore of the lake. In which direction is the lake?,west
172,He is walking south-west along the south-east shore of the lake. In which direction is the lake?,north-west
173,He is walking west along the south shore of the lake. In which direction is the lake?,north
174,He is walking north-west along the south-west shore of the lake. In which direction is the lake?,north-east
175,He is walking north along the west shore of the lake. In which direction is the lake?,east
176,He is walking north-east along the north-west shore of the lake. In which direction is the lake?,south-east
177,He is cycling east along the north shore of the lake. In which direction is the lake?,south
178,He is cycling south-east along the north-east shore of the lake. In which direction is the lake?,south-west
179,He is cycling south along the east shore of the lake. In which direction is the lake?,west
180,He is cycling south-west along the south-east shore of the lake. In which direction is the lake?,north-west
181,He is cycling west along the south shore of the lake. In which direction is the lake?,north
182,He is cycling north-west along the south-west shore of the lake. In which direction is the lake?,north-east
183,He is cycling north along the west shore of the lake. In which direction is the lake?,east
184,He is cycling north-east along the north-west shore of the lake. In which direction is the lake?,south-east
185,He is driving east along the north shore of the lake. In which direction is the lake?,south
186,He is driving south-east along the north-east shore of the lake. In which direction is the lake?,south-west
187,He is driving south along the east shore of the lake. In which direction is the lake?,west
188,He is driving south-west along the south-east shore of the lake. In which direction is the lake?,north-west
189,He is driving west along the south shore of the lake. In which direction is the lake?,north
190,He is driving north-west along the south-west shore of the lake. In which direction is the lake?,north-east
191,He is driving north along the west shore of the lake. In which direction is the lake?,east
192,He is driving north-east along the north-west shore of the lake. In which direction is the lake?,south-east
193,He is jogging east along the north shore of the lake. In which direction is the lake?,south
194,He is jogging south-east along the north-east shore of the lake. In which direction is the lake?,south-west
195,He is jogging south along the east shore of the lake. In which direction is the lake?,west
196,He is jogging south-west along the south-east shore of the lake. In which direction is the lake?,north-west
197,He is jogging west along the south shore of the lake. In which direction is the lake?,north
198,He is jogging north-west along the south-west shore of the lake. In which direction is the lake?,north-east
199,He is jogging north along the west shore of the lake. In which direction is the lake?,east
200,He is jogging north-east along the north-west shore of the lake. In which direction is the lake?,south-east
201,He is riding east along the north shore of the lake. In which direction is the lake?,south
202,He is riding south-east along the north-east shore of the lake. In which direction is the lake?,south-west
203,He is riding south along the east shore of the lake. In which direction is the lake?,west
204,He is riding south-west along the south-east shore of the lake. In which direction is the lake?,north-west
205,He is riding west along the south shore of the lake. In which direction is the lake?,north
206,He is riding north-west along the south-west shore of the lake. In which direction is the lake?,north-east
207,He is riding north along the west shore of the lake. In which direction is the lake?,east
208,He is riding north-east along the north-west shore of the lake. In which direction is the lake?,south-east
209,He is perambulating east along the north shore of the lake. In which direction is the lake?,south
210,He is perambulating south-east along the north-east shore of the lake. In which direction is the lake?,south-west
211,He is perambulating south along the east shore of the lake. In which direction is the lake?,west
212,He is perambulating south-west along the south-east shore of the lake. In which direction is the lake?,north-west
213,He is perambulating west along the south shore of the lake. In which direction is the lake?,north
214,He is perambulating north-west along the south-west shore of the lake. In which direction is the lake?,north-east
215,He is perambulating north along the west shore of the lake. In which direction is the lake?,east
216,He is perambulating north-east along the north-west shore of the lake. In which direction is the lake?,south-east
217,He is hiking east along the north shore of the lake. In which direction is the lake?,south
218,He is hiking south-east along the north-east shore of the lake. In which direction is the lake?,south-west
219,He is hiking south along the east shore of the lake. In which direction is the lake?,west
220,He is hiking south-west along the south-east shore of the lake. In which direction is the lake?,north-west
221,He is hiking west along the south shore of the lake. In which direction is the lake?,north
222,He is hiking north-west along the south-west shore of the lake. In which direction is the lake?,north-east
223,He is hiking north along the west shore of the lake. In which direction is the lake?,east
224,He is hiking north-east along the north-west shore of the lake. In which direction is the lake?,south-east
225,He is unicycling east along the north shore of the lake. In which direction is the lake?,south
226,He is unicycling south-east along the north-east shore of the lake. In which direction is the lake?,south-west
227,He is unicycling south along the east shore of the lake. In which direction is the lake?,west
228,He is unicycling south-west along the south-east shore of the lake. In which direction is the lake?,north-west
229,He is unicycling west along the south shore of the lake. In which direction is the lake?,north
230,He is unicycling north-west along the south-west shore of the lake. In which direction is the lake?,north-east
231,He is unicycling north along the west shore of the lake. In which direction is the lake?,east
232,He is unicycling north-east along the north-west shore of the lake. In which direction is the lake?,south-east
233,He is racing east along the north shore of the lake. In which direction is the lake?,south
234,He is racing south-east along the north-east shore of the lake. In which direction is the lake?,south-west
235,He is racing south along the east shore of the lake. In which direction is the lake?,west
236,He is racing south-west along the south-east shore of the lake. In which direction is the lake?,north-west
237,He is racing west along the south shore of the lake. In which direction is the lake?,north
238,He is racing north-west along the south-west shore of the lake. In which direction is the lake?,north-east
239,He is racing north along the west shore of the lake. In which direction is the lake?,east
240,He is racing north-east along the north-west shore of the lake. In which direction is the lake?,south-east
241,She is running east along the north shore of the lake. In which direction is the lake?,south
242,She is running south-east along the north-east shore of the lake. In which direction is the lake?,south-west
243,She is running south along the east shore of the lake. In which direction is the lake?,west
244,She is running south-west along the south-east shore of the lake. In which direction is the lake?,north-west
245,She is running west along the south shore of the lake. In which direction is the lake?,north
246,She is running north-west along the south-west shore of the lake. In which direction is the lake?,north-east
247,She is running north along the west shore of the lake. In which direction is the lake?,east
248,She is running north-east along the north-west shore of the lake. In which direction is the lake?,south-east
249,She is walking east along the north shore of the lake. In which direction is the lake?,south
250,She is walking south-east along the north-east shore of the lake. In which direction is the lake?,south-west
251,She is walking south along the east shore of the lake. In which direction is the lake?,west
252,She is walking south-west along the south-east shore of the lake. In which direction is the lake?,north-west
253,She is walking west along the south shore of the lake. In which direction is the lake?,north
254,She is walking north-west along the south-west shore of the lake. In which direction is the lake?,north-east
255,She is walking north along the west shore of the lake. In which direction is the lake?,east
256,She is walking north-east along the north-west shore of the lake. In which direction is the lake?,south-east
257,She is cycling east along the north shore of the lake. In which direction is the lake?,south
258,She is cycling south-east along the north-east shore of the lake. In which direction is the lake?,south-west
259,She is cycling south along the east shore of the lake. In which direction is the lake?,west
260,She is cycling south-west along the south-east shore of the lake. In which direction is the lake?,north-west
261,She is cycling west along the south shore of the lake. In which direction is the lake?,north
262,She is cycling north-west along the south-west shore of the lake. In which direction is the lake?,north-east
263,She is cycling north along the west shore of the lake. In which direction is the lake?,east
264,She is cycling north-east along the north-west shore of the lake. In which direction is the lake?,south-east
265,She is driving east along the north shore of the lake. In which direction is the lake?,south
266,She is driving south-east along the north-east shore of the lake. In which direction is the lake?,south-west
267,She is driving south along the east shore of the lake. In which direction is the lake?,west
268,She is driving south-west along the south-east shore of the lake. In which direction is the lake?,north-west
269,She is driving west along the south shore of the lake. In which direction is the lake?,north
270,She is driving north-west along the south-west shore of the lake. In which direction is the lake?,north-east
271,She is driving north along the west shore of the lake. In which direction is the lake?,east
272,She is driving north-east along the north-west shore of the lake. In which direction is the lake?,south-east
273,She is jogging east along the north shore of the lake. In which direction is the lake?,south
274,She is jogging south-east along the north-east shore of the lake. In which direction is the lake?,south-west
275,She is jogging south along the east shore of the lake. In which direction is the lake?,west
276,She is jogging south-west along the south-east shore of the lake. In which direction is the lake?,north-west
277,She is jogging west along the south shore of the lake. In which direction is the lake?,north
278,She is jogging north-west along the south-west shore of the lake. In which direction is the lake?,north-east
279,She is jogging north along the west shore of the lake. In which direction is the lake?,east
280,She is jogging north-east along the north-west shore of the lake. In which direction is the lake?,south-east
281,She is riding east along the north shore of the lake. In which direction is the lake?,south
282,She is riding south-east along the north-east shore of the lake. In which direction is the lake?,south-west
283,She is riding south along the east shore of the lake. In which direction is the lake?,west
284,She is riding south-west along the south-east shore of the lake. In which direction is the lake?,north-west
285,She is riding west along the south shore of the lake. In which direction is the lake?,north
286,She is riding north-west along the south-west shore of the lake. In which direction is the lake?,north-east
287,She is riding north along the west shore of the lake. In which direction is the lake?,east
288,She is riding north-east along the north-west shore of the lake. In which direction is the lake?,south-east
289,She is perambulating east along the north shore of the lake. In which direction is the lake?,south
290,She is perambulating south-east along the north-east shore of the lake. In which direction is the lake?,south-west
291,She is perambulating south along the east shore of the lake. In which direction is the lake?,west
292,She is perambulating south-west along the south-east shore of the lake. In which direction is the lake?,north-west
293,She is perambulating west along the south shore of the lake. In which direction is the lake?,north
294,She is perambulating north-west along the south-west shore of the lake. In which direction is the lake?,north-east
295,She is perambulating north along the west shore of the lake. In which direction is the lake?,east
296,She is perambulating north-east along the north-west shore of the lake. In which direction is the lake?,south-east
297,She is hiking east along the north shore of the lake. In which direction is the lake?,south
298,She is hiking south-east along the north-east shore of the lake. In which direction is the lake?,south-west
299,She is hiking south along the east shore of the lake. In which direction is the lake?,west
300,She is hiking south-west along the south-east shore of the lake. In which direction is the lake?,north-west
301,She is hiking west along the south shore of the lake. In which direction is the lake?,north
302,She is hiking north-west along the south-west shore of the lake. In which direction is the lake?,north-east
303,She is hiking north along the west shore of the lake. In which direction is the lake?,east
304,She is hiking north-east along the north-west shore of the lake. In which direction is the lake?,south-east
305,She is unicycling east along the north shore of the lake. In which direction is the lake?,south
306,She is unicycling south-east along the north-east shore of the lake. In which direction is the lake?,south-west
307,She is unicycling south along the east shore of the lake. In which direction is the lake?,west
308,She is unicycling south-west along the south-east shore of the lake. In which direction is the lake?,north-west
309,She is unicycling west along the south shore of the lake. In which direction is the lake?,north
310,She is unicycling north-west along the south-west shore of the lake. In which direction is the lake?,north-east
311,She is unicycling north along the west shore of the lake. In which direction is the lake?,east
312,She is unicycling north-east along the north-west shore of the lake. In which direction is the lake?,south-east
313,She is racing east along the north shore of the lake. In which direction is the lake?,south
314,She is racing south-east along the north-east shore of the lake. In which direction is the lake?,south-west
315,She is racing south along the east shore of the lake. In which direction is the lake?,west
316,She is racing south-west along the south-east shore of the lake. In which direction is the lake?,north-west
317,She is racing west along the south shore of the lake. In which direction is the lake?,north
318,She is racing north-west along the south-west shore of the lake. In which direction is the lake?,north-east
319,She is racing north along the west shore of the lake. In which direction is the lake?,east
320,She is racing north-east along the north-west shore of the lake. In which direction is the lake?,south-east
321,We are running east along the north shore of the lake. In which direction is the lake?,south
322,We are running south-east along the north-east shore of the lake. In which direction is the lake?,south-west
323,We are running south along the east shore of the lake. In which direction is the lake?,west
324,We are running south-west along the south-east shore of the lake. In which direction is the lake?,north-west
325,We are running west along the south shore of the lake. In which direction is the lake?,north
326,We are running north-west along the south-west shore of the lake. In which direction is the lake?,north-east
327,We are running north along the west shore of the lake. In which direction is the lake?,east
328,We are running north-east along the north-west shore of the lake. In which direction is the lake?,south-east
329,We are walking east along the north shore of the lake. In which direction is the lake?,south
330,We are walking south-east along the north-east shore of the lake. In which direction is the lake?,south-west
331,We are walking south along the east shore of the lake. In which direction is the lake?,west
332,We are walking south-west along the south-east shore of the lake. In which direction is the lake?,north-west
333,We are walking west along the south shore of the lake. In which direction is the lake?,north
334,We are walking north-west along the south-west shore of the lake. In which direction is the lake?,north-east
335,We are walking north along the west shore of the lake. In which direction is the lake?,east
336,We are walking north-east along the north-west shore of the lake. In which direction is the lake?,south-east
337,We are cycling east along the north shore of the lake. In which direction is the lake?,south
338,We are cycling south-east along the north-east shore of the lake. In which direction is the lake?,south-west
339,We are cycling south along the east shore of the lake. In which direction is the lake?,west
340,We are cycling south-west along the south-east shore of the lake. In which direction is the lake?,north-west
341,We are cycling west along the south shore of the lake. In which direction is the lake?,north
342,We are cycling north-west along the south-west shore of the lake. In which direction is the lake?,north-east
343,We are cycling north along the west shore of the lake. In which direction is the lake?,east
344,We are cycling north-east along the north-west shore of the lake. In which direction is the lake?,south-east
345,We are driving east along the north shore of the lake. In which direction is the lake?,south
346,We are driving south-east along the north-east shore of the lake. In which direction is the lake?,south-west
347,We are driving south along the east shore of the lake. In which direction is the lake?,west
348,We are driving south-west along the south-east shore of the lake. In which direction is the lake?,north-west
349,We are driving west along the south shore of the lake. In which direction is the lake?,north
350,We are driving north-west along the south-west shore of the lake. In which direction is the lake?,north-east
351,We are driving north along the west shore of the lake. In which direction is the lake?,east
352,We are driving north-east along the north-west shore of the lake. In which direction is the lake?,south-east
353,We are jogging east along the north shore of the lake. In which direction is the lake?,south
354,We are jogging south-east along the north-east shore of the lake. In which direction is the lake?,south-west
355,We are jogging south along the east shore of the lake. In which direction is the lake?,west
356,We are jogging south-west along the south-east shore of the lake. In which direction is the lake?,north-west
357,We are jogging west along the south shore of the lake. In which direction is the lake?,north
358,We are jogging north-west along the south-west shore of the lake. In which direction is the lake?,north-east
359,We are jogging north along the west shore of the lake. In which direction is the lake?,east
360,We are jogging north-east along the north-west shore of the lake. In which direction is the lake?,south-east
361,We are riding east along the north shore of the lake. In which direction is the lake?,south
362,We are riding south-east along the north-east shore of the lake. In which direction is the lake?,south-west
363,We are riding south along the east shore of the lake. In which direction is the lake?,west
364,We are riding south-west along the south-east shore of the lake. In which direction is the lake?,north-west
365,We are riding west along the south shore of the lake. In which direction is the lake?,north
366,We are riding north-west along the south-west shore of the lake. In which direction is the lake?,north-east
367,We are riding north along the west shore of the lake. In which direction is the lake?,east
368,We are riding north-east along the north-west shore of the lake. In which direction is the lake?,south-east
369,We are perambulating east along the north shore of the lake. In which direction is the lake?,south
370,We are perambulating south-east along the north-east shore of the lake. In which direction is the lake?,south-west
371,We are perambulating south along the east shore of the lake. In which direction is the lake?,west
372,We are perambulating south-west along the south-east shore of the lake. In which direction is the lake?,north-west
373,We are perambulating west along the south shore of the lake. In which direction is the lake?,north
374,We are perambulating north-west along the south-west shore of the lake. In which direction is the lake?,north-east
375,We are perambulating north along the west shore of the lake. In which direction is the lake?,east
376,We are perambulating north-east along the north-west shore of the lake. In which direction is the lake?,south-east
377,We are hiking east along the north shore of the lake. In which direction is the lake?,south
378,We are hiking south-east along the north-east shore of the lake. In which direction is the lake?,south-west
379,We are hiking south along the east shore of the lake. In which direction is the lake?,west
380,We are hiking south-west along the south-east shore of the lake. In which direction is the lake?,north-west
381,We are hiking west along the south shore of the lake. In which direction is the lake?,north
382,We are hiking north-west along the south-west shore of the lake. In which direction is the lake?,north-east
383,We are hiking north along the west shore of the lake. In which direction is the lake?,east
384,We are hiking north-east along the north-west shore of the lake. In which direction is the lake?,south-east
385,We are unicycling east along the north shore of the lake. In which direction is the lake?,south
386,We are unicycling south-east along the north-east shore of the lake. In which direction is the lake?,south-west
387,We are unicycling south along the east shore of the lake. In which direction is the lake?,west
388,We are unicycling south-west along the south-east shore of the lake. In which direction is the lake?,north-west
389,We are unicycling west along the south shore of the lake. In which direction is the lake?,north
390,We are unicycling north-west along the south-west shore of the lake. In which direction is the lake?,north-east
391,We are unicycling north along the west shore of the lake. In which direction is the lake?,east
392,We are unicycling north-east along the north-west shore of the lake. In which direction is the lake?,south-east
393,We are racing east along the north shore of the lake. In which direction is the lake?,south
394,We are racing south-east along the north-east shore of the lake. In which direction is the lake?,south-west
395,We are racing south along the east shore of the lake. In which direction is the lake?,west
396,We are racing south-west along the south-east shore of the lake. In which direction is the lake?,north-west
397,We are racing west along the south shore of the lake. In which direction is the lake?,north
398,We are racing north-west along the south-west shore of the lake. In which direction is the lake?,north-east
399,We are racing north along the west shore of the lake. In which direction is the lake?,east
400,We are racing north-east along the north-west shore of the lake. In which direction is the lake?,south-east
401,They are running east along the north shore of the lake. In which direction is the lake?,south
402,They are running south-east along the north-east shore of the lake. In which direction is the lake?,south-west
403,They are running south along the east shore of the lake. In which direction is the lake?,west
404,They are running south-west along the south-east shore of the lake. In which direction is the lake?,north-west
405,They are running west along the south shore of the lake. In which direction is the lake?,north
406,They are running north-west along the south-west shore of the lake. In which direction is the lake?,north-east
407,They are running north along the west shore of the lake. In which direction is the lake?,east
408,They are running north-east along the north-west shore of the lake. In which direction is the lake?,south-east
409,They are walking east along the north shore of the lake. In which direction is the lake?,south
410,They are walking south-east along the north-east shore of the lake. In which direction is the lake?,south-west
411,They are walking south along the east shore of the lake. In which direction is the lake?,west
412,They are walking south-west along the south-east shore of the lake. In which direction is the lake?,north-west
413,They are walking west along the south shore of the lake. In which direction is the lake?,north
414,They are walking north-west along the south-west shore of the lake. In which direction is the lake?,north-east
415,They are walking north along the west shore of the lake. In which direction is the lake?,east
416,They are walking north-east along the north-west shore of the lake. In which direction is the lake?,south-east
417,They are cycling east along the north shore of the lake. In which direction is the lake?,south
418,They are cycling south-east along the north-east shore of the lake. In which direction is the lake?,south-west
419,They are cycling south along the east shore of the lake. In which direction is the lake?,west
420,They are cycling south-west along the south-east shore of the lake. In which direction is the lake?,north-west
421,They are cycling west along the south shore of the lake. In which direction is the lake?,north
422,They are cycling north-west along the south-west shore of the lake. In which direction is the lake?,north-east
423,They are cycling north along the west shore of the lake. In which direction is the lake?,east
424,They are cycling north-east along the north-west shore of the lake. In which direction is the lake?,south-east
425,They are driving east along the north shore of the lake. In which direction is the lake?,south
426,They are driving south-east along the north-east shore of the lake. In which direction is the lake?,south-west
