source_entity,source_geometry,target_entity,target_geometry,corpus,via_entity,relation_type,relation_label,explanation,ambiguity_level
City of Dallas,Polygon,Republic of Peru,Polygon,"Dallas grew as a cotton and railway hub. Elsewhere, Peru was the centre of Spanish rule in its region.",,topological,disjoint,"Computed from OpenStreetMap geometry: City of Dallas disjoint Republic of Peru (area_a_km2=1003.29, area_b_km2=2.16454e+06, intersection_km2=0, jaccard=0, shared_len_deg=0, noise_km2=0, gap_deg=38.0319).",Level 2
City of Spokane,Polygon,Platte River,Line,"Spokane hosted a world's fair in 1974 — and for its part, The Platte is a critical stopover for migrating sandhill cranes.",,topological,disjoint,"Computed from OpenStreetMap geometry: City of Spokane disjoint Platte River (inside_fraction=0, gap_deg=17.8748).",Level 3
Denmark,Polygon,Isle of Wight,Polygon,"Denmark has one of the oldest continuous monarchies anywhere. On another note, The Isle of Wight hosted a famous rock festival in 1970.",,topological,disjoint,"Computed from OpenStreetMap geometry: Denmark disjoint Isle of Wight (area_a_km2=86756.2, area_b_km2=394.72, intersection_km2=0, jaccard=0, shared_len_deg=0, noise_km2=0, gap_deg=10.0264).",Level 4
Hokkaido,Polygon,Republic of Korea,Polygon,Hokkaido was settled comparatively recently by its national majority; The Republic of Korea rebuilt itself into an industrial economy after 1953.,,topological,disjoint,"Computed from OpenStreetMap geometry: Hokkaido disjoint Republic of Korea (area_a_km2=139091, area_b_km2=184869, intersection_km2=0, jaccard=0, shared_len_deg=0, noise_km2=0, gap_deg=8.10496).",Level 5
Tasmania,Polygon,Malaysia,Polygon,"Tasmania sits entirely inside Australia, and Australia shares no ground at all with Malaysia.",Australia,topological,disjoint,"Composed through Australia: the relation holds on both links, so it holds end to end (area_a_km2=91670.3, area_b_km2=506593, intersection_km2=0, jaccard=0, shared_len_deg=0, noise_km2=0, gap_deg=50.1291).",Level 6
Borough of Staten Island,Polygon,Staten Island,Polygon,Staten Island is connected to its neighbour by a free ferry. Staten Island is reached by a free passenger ferry.,,topological,equals,"Computed from OpenStreetMap geometry: Borough of Staten Island equals Staten Island (area_a_km2=265.852, area_b_km2=265.852, intersection_km2=265.852, jaccard=1).",Level 1
Colombia,Polygon,Republic of Colombia,Polygon,"Colombia signed a peace deal with its largest guerrilla group in 2016. Elsewhere, Colombia signed a peace deal with its largest guerrilla group in 2016.",,topological,equals,"Computed from OpenStreetMap geometry: Colombia equals Republic of Colombia (area_a_km2=1.2417e+06, area_b_km2=1.2417e+06, intersection_km2=1.2417e+06, jaccard=1).",Level 2
Louisville,Polygon,City of Louisville,Polygon,"Louisville was named in honour of a French king who backed the American revolution — and for its part, Louisville hosts an annual thoroughbred race run since 1875.",,topological,equals,"Computed from OpenStreetMap geometry: Louisville equals City of Louisville (area_a_km2=879.706, area_b_km2=879.706, intersection_km2=879.706, jaccard=1).",Level 3
Argentina,Polygon,Argentine Republic,Polygon,"Argentina absorbed vast Italian and Spanish migration. On another note, Argentina absorbed vast Italian and Spanish migration.",,topological,equals,"Computed from OpenStreetMap geometry: Argentina equals Argentine Republic (area_a_km2=2.95994e+06, area_b_km2=2.95994e+06, intersection_km2=2.95994e+06, jaccard=1).",Level 4
City of Athens,Polygon,Clarke County,Polygon,Athens gave democracy its name. Clarke County was created in 1801 and is among the smallest in its state.,,topological,equals,"Computed from OpenStreetMap geometry: City of Athens equals Clarke County (area_a_km2=307.023, area_b_km2=314.609, intersection_km2=307.013, jaccard=0.975823).",Level 5
Lake Tanganyika,Polygon,Tanzania,Polygon,Lake Tanganyika is the second deepest lake on earth. Tanzania was formed by a union of two states in 1964.,,topological,overlaps,"Computed from OpenStreetMap geometry: Lake Tanganyika overlaps Tanzania (area_a_km2=32925.4, area_b_km2=991478, intersection_km2=14119, jaccard=0.0139753, shared_len_deg=0, noise_km2=0, overlap_fraction=0.428818).",Level 1
Everglades National Park,Polygon,Miami-Dade County,Polygon,"The Everglades protect a slow-moving river of grass. Elsewhere, Miami-Dade County was consolidated under a metropolitan charter in 1957.",,topological,overlaps,"Computed from OpenStreetMap geometry: Everglades National Park overlaps Miami-Dade County (area_a_km2=6263.3, area_b_km2=6323.43, intersection_km2=2129.34, jaccard=0.203621, shared_len_deg=0, noise_km2=0, overlap_fraction=0.339972).",Level 2
Black Sea,Polygon,State of Georgia,Polygon,"The Black Sea has a lifeless layer below two hundred metres — and for its part, Georgia was the last of the original thirteen colonies founded.",,topological,overlaps,"Computed from OpenStreetMap geometry: Black Sea overlaps State of Georgia (area_a_km2=421693, area_b_km2=75790.4, intersection_km2=6083.73, jaccard=0.0123802, shared_len_deg=0, noise_km2=0, overlap_fraction=0.0802704).",Level 3
City of Cleveland,Polygon,Lake Erie,Polygon,"Cleveland's river once caught fire, spurring clean water law. On another note, Lake Erie is the shallowest of its chain and warms fastest.",,topological,overlaps,"Computed from OpenStreetMap geometry: City of Cleveland overlaps Lake Erie (area_a_km2=213.746, area_b_km2=25730.8, intersection_km2=12.6591, jaccard=0.000488165, shared_len_deg=0, noise_km2=0, overlap_fraction=0.0592247).",Level 4
City of Tokyo,Polygon,Honshu,Polygon,Tokyo anchors the most populous urban region on earth; Honshu holds the great majority of its country's population.,,topological,overlaps,"Computed from OpenStreetMap geometry: City of Tokyo overlaps Honshu (area_a_km2=41960, area_b_km2=228776, intersection_km2=1789.48, jaccard=0.00664794, shared_len_deg=0, noise_km2=0, overlap_fraction=0.0426473).",Level 5
Afghanistan,Polygon,Pakistan,Polygon,Afghanistan has been called the graveyard of empires. Pakistan was created by partition in 1947.,,topological,touches,"Computed from OpenStreetMap geometry: Afghanistan touches Pakistan (area_a_km2=643829, area_b_km2=909130, intersection_km2=10.3417, jaccard=6.65534e-06, shared_len_deg=22.786, noise_km2=7036.73, perimeter_deg=56.7728).",Level 1
Bolivia,Polygon,Peru,Polygon,"Bolivia recognises more than thirty official languages. Elsewhere, Peru was the centre of Spanish rule in its region.",,topological,touches,"Computed from OpenStreetMap geometry: Bolivia touches Peru (area_a_km2=1.09114e+06, area_b_km2=2.16454e+06, intersection_km2=0.0108969, jaccard=3.34231e-09, shared_len_deg=8.82517, noise_km2=3142.29, perimeter_deg=62.2294).",Level 2
Borough of Staten Island,Polygon,"Kings County, New York",Polygon,"Staten Island is connected to its neighbour by a free ferry — and for its part, Kings County is the most populous county in its state.",,topological,touches,"Computed from OpenStreetMap geometry: Borough of Staten Island touches Kings County, New York (area_a_km2=265.852, area_b_km2=252.592, intersection_km2=0, jaccard=0, shared_len_deg=0.0528571, noise_km2=14.9285, perimeter_deg=0.703296).",Level 3
Andorra,Polygon,Spain,Polygon,"Andorra has two heads of state serving jointly. On another note, Spain returned to constitutional monarchy after 1975.",,topological,touches,"Computed from OpenStreetMap geometry: Andorra touches Spain (area_a_km2=468.511, area_b_km2=628928, intersection_km2=4.19086, jaccard=6.65858e-06, shared_len_deg=0, noise_km2=0, perimeter_deg=1.31764).",Level 4
Kruger National Park,Polygon,Limpopo,Line,"Kruger was proclaimed a game reserve in 1898; The Limpopo was called great, grey-green and greasy by Kipling.",,topological,touches,Computed from OpenStreetMap geometry: Kruger National Park touches Limpopo (inside_fraction=0.0145186).,Level 5
Bibb County,Polygon,United States,Polygon,Bibb County was named for a physician who became a state governor. The United States ratified its constitution in 1788.,,topological,within,"Computed from OpenStreetMap geometry: Bibb County within United States (area_a_km2=664.088, area_b_km2=1.06096e+07, intersection_km2=664.088, jaccard=6.2593e-05, ratio=15976.2).",Level 1
City of Cambridge,Polygon,State of Massachusetts,Polygon,"Cambridge houses two of the most heavily endowed universities in the world. Elsewhere, Massachusetts founded the oldest university in the country.",,topological,within,"Computed from OpenStreetMap geometry: City of Cambridge within State of Massachusetts (area_a_km2=18.4118, area_b_km2=27462.4, intersection_km2=18.4118, jaccard=0.000670435, ratio=1491.57).",Level 2
City and County of Denver,Polygon,State of Colorado,Polygon,"Denver's consolidated government was created by a state amendment in 1902 — and for its part, Colorado takes its name from a Spanish word for red.",,topological,within,"Computed from OpenStreetMap geometry: City and County of Denver within State of Colorado (area_a_km2=402.178, area_b_km2=270139, intersection_km2=402.178, jaccard=0.00148878, ratio=671.689).",Level 3
Canton of Schwyz,Polygon,Switzerland,Polygon,"Schwyz gave the Swiss confederation its modern name. On another note, Switzerland has stayed out of military alliances for centuries.",,topological,within,"Computed from OpenStreetMap geometry: Canton of Schwyz within Switzerland (area_a_km2=907.611, area_b_km2=41262.3, intersection_km2=907.611, jaccard=0.0219961, ratio=45.4625).",Level 4
City of Boston,Polygon,"Suffolk County, Massachusetts",Polygon,Boston's tea protest of 1773 preceded revolution; Suffolk County was one of the original counties of 1643.,,topological,within,"Computed from OpenStreetMap geometry: City of Boston within Suffolk County, Massachusetts (area_a_km2=246.252, area_b_km2=310.754, intersection_km2=246.243, jaccard=0.792382, ratio=1.26194).",Level 5
Bois de Boulogne,Polygon,French Republic,Polygon,"Bois de Boulogne sits entirely inside City of Paris, and City of Paris sits entirely inside French Republic.",City of Paris,topological,within,"Composed through City of Paris: the relation holds on both links, so it holds end to end (area_a_km2=8.05085, area_b_km2=1.43607e+06, intersection_km2=8.05085, jaccard=5.60616e-06, ratio=178375).",Level 6
