source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
State of Texas,Polygon,City of Austin,Polygon,The massive state borders completely box in the municipal limits of the capital city.,topological,contains,A state polygon completely enclosing a city polygon.,Level 2
Mediterranean Sea,Polygon,Island of Cyprus,Polygon,"The salty saltwater expanse completely surrounds the island landmass, ensuring it touches no other land.",topological,contains,A sea polygon acting as a container for an island polygon.,Level 2
State of New York,Polygon,Central Park,Polygon,The massive green rectangle is completely encircled by the urban grid built inside the state's largest city.,topological,contains,A state polygon encompassing a park polygon.,Level 2
Canada,Polygon,Province of Saskatchewan,Polygon,The national boundaries act as the ultimate bounding box for the completely landlocked midwestern province.,topological,contains,A country polygon fully enclosing a provincial polygon.,Level 2
Republic of India,Polygon,New Delhi,Polygon,"The national borders completely wrap around the capital district, situating it deep in the country's interior.",topological,contains,A national polygon acting as the absolute container for a city polygon.,Level 2
Pacific Ocean,Polygon,State of Hawaii,MultiPolygon,The vast oceanic waters act as a complete geometric container for the isolated volcanic island chain.,topological,contains,An ocean polygon fully enclosing a state multi-polygon.,Level 2
State of California,Polygon,Yosemite National Park,Polygon,The state borders completely envelop the massive granite cliffs and valleys of the federal park lands.,topological,contains,A state polygon completely bounding a national park.,Level 2
Lake Victoria,Polygon,Ssese Islands,MultiPolygon,The massive fresh waters of Lake Victoria completely encircle the Ssese Islands archipelago.,topological,contains,A lake polygon acts as the geometric container for a target MultiPolygon consisting of several islands.,Level 2
City of Rome,Polygon,Vatican City,Polygon,"The municipal limits of the Italian capital completely box in the independent microstate on all sides, ensuring it never touches another region.",topological,contains,A major city polygon completely bounding and surrounding a sovereign micro-state.,Level 3
Navajo Nation,Polygon,Hopi Reservation,Polygon,"The massive tribal territory acts as the absolute geometric boundary for the independently governed lands, isolating them entirely.",topological,contains,A macro-administrative tribal polygon acting as the perimeter for a micro-administrative one.,Level 3
City of Los Angeles,Polygon,City of Beverly Hills,Polygon,The sprawling municipal grid of the massive metropolis completely encircles the independent luxury enclave.,topological,contains,A massive city polygon completely enveloping an independent smaller city polygon.,Level 3
City of Detroit,Polygon,City of Hamtramck,Polygon,"The massive automotive hub perfectly traps the smaller, independent municipality, isolating it from the rest of the county.",topological,contains,An urban municipal donut hole where a major city entirely surrounds a minor city.,Level 3
Greater London Authority,Polygon,City of London Corporation,Polygon,"The sprawling metropolitan government completely wraps around the ancient, independently governed financial core.",topological,contains,A macro-municipal polygon entirely enveloping a historical micro-municipal polygon.,Level 3
Yellowstone National Park,Polygon,Yellowstone Caldera,Polygon,"The square, human-drawn federal boundaries completely safeguard the sprawling, subterranean geological footprint of the active natural hazard.",topological,contains,A man-made administrative surface polygon acting as the absolute geometric host for a subterranean volcanic polygon.,Level 3
City of Rome,Polygon,Vatican City,Polygon,The municipal limits of the Italian capital completely box in the independent micro-state on all sides.,topological,contains,A major city polygon completely bounding and surrounding a sovereign micro-state.,Level 3
Navajo Nation,Polygon,Hopi Reservation,Polygon,The massive tribal territory completely acts as the absolute geometric container for the independently governed lands.,topological,contains,A macro-administrative tribal polygon acting as the container for a micro-administrative one.,Level 3
Republic of Italy,Polygon,San Marino,Polygon,"The sovereign Italian territory completely encircles the ancient microstate, locking it permanently inland.",topological,contains,A sovereign nation acting as an absolute geographic container for another sovereign nation.,Level 3
Senegal,Polygon,The Gambia,Polygon,The francophone nation completely surrounds the slender borders of its neighbor on all terrestrial sides.,topological,contains,"A national polygon almost entirely enveloping another, acting as its primary container.",Level 3
Australia,Polygon,Australian Capital Territory,Polygon,The massive continental bounds completely serve as the absolute container for the inland capital territory.,topological,contains,A massive continental polygon completely enclosing a specific administrative territory.,Level 3
Omani Exclave of Madha,Polygon,UAE Enclave of Nahwa,Polygon,"The borders of the Omani exclave completely encircle the smaller, second-order United Arab Emirates territory.",topological,contains,A complex geopolitical donut hole where an exclave acts as the container for an enclave.,Level 3
Manitoulin Island,Polygon,Lake Manitou,Polygon,The massive Canadian landmass completely encompasses the sprawling fresh waters of the internal basin.,topological,contains,A geographic recursion where a large island polygon entirely envelops an internal lake.,Level 3
Republic of Cyprus,Polygon,UN Buffer Zone,MultiPolygon,The de jure sovereign territorial claim formally encompasses the entirety of the military strip cutting through its center.,topological,contains,A sovereign national polygon acting as the absolute container for a military multi-polygon.,Level 3
Main Crater Lake,Polygon,Vulcan Point Island,Polygon,The waters of the volcanic basin completely lock in the tiny recursive landmass at their center.,topological,contains,Recursive containment: a lake polygon entirely traps a smaller island polygon.,Level 3
Yellowstone National Park,Polygon,Yellowstone Supervolcano Caldera,Polygon,The human-drawn federal boundaries completely encapsulate the sprawling subterranean geological footprint.,topological,contains,A man-made surface polygon completely bounding a dangerous subterranean geological polygon.,Level 3
Victoria Island,Polygon,Unnamed Arctic Sub-Island (69.793N 108.241W),Polygon,The massive Arctic landmass completely encompasses the recursive sub-lake that traps the tiny landmass.,topological,contains,Extreme geographic recursion where a macro-island serves as the ultimate container for a sub-island.,Level 3
Lake Superior,Polygon,Isle Royale,Polygon,"The massive fresh waters completely encircle the remote wilderness island, isolating it from the mainland.",topological,contains,A massive freshwater lake polygon completely enveloping an island multi-polygon.,Level 3
State of Texas,Polygon,The Alamo Mission Footprint,Polygon,The sprawling state lines completely serve as the absolute boundary box for the historical mission's real estate.,topological,contains,A massive state polygon acting as the absolute container for a historical architectural polygon.,Level 3
Switzerland,Polygon,Campione d'Italia,Polygon,The Swiss cantons completely encircle the tiny Italian exclave situated near the waters of Lake Lugano.,topological,contains,A sovereign nation acting as the geographic container for a tiny foreign exclave.,Level 3
Senegal,Polygon,The Gambia,Polygon,"The francophone nation completely surrounds the slender borders of its neighbor on all terrestrial sides, leaving only the ocean exposed.",topological,contains,"A national polygon almost entirely enveloping another, acting as its primary container.",Level 4
Swiss Canton of Schaffhausen,Polygon,Busingen am Hochrhein,Polygon,"The regional Swiss borders perfectly encircle the German municipal exclave, ensuring it relies entirely on Swiss infrastructure.",topological,contains,A regional administrative polygon completely enveloping a foreign municipal polygon.,Level 4
Indian Ocean,Polygon,Diego Garcia,Polygon,"The vast, remote ocean waters completely isolate the militarized atoll from any surrounding landmasses.",topological,contains,An ocean polygon serving as the absolute geometric perimeter for a highly restricted atoll.,Level 4
Australia,Polygon,Australian Capital Territory,Polygon,The massive continental bounds completely serve as the absolute container for the inland capital territory governing the nation.,topological,contains,A massive continental polygon completely enclosing a specific administrative territory.,Level 4
New York City Municipal Grid,Polygon,Central Park Reservoir,Polygon,"The massive urban masonry completely surrounds the massive park, which in turn entirely encircles the deep artificial water basin.",topological,contains,A massive city municipal polygon acting as the ultimate boundary for an artificial water basin.,Level 4
Australian Continent,Polygon,Lake Eyre Basin,Polygon,"The massive terrestrial boundaries completely encapsulate the sprawling, internally draining endorheic basin.",topological,contains,A continental polygon entirely bounding a massive endorheic drainage basin.,Level 4
Mount Rainier National Park,Polygon,Mount Rainier Glacial Cap,Polygon,The square federal boundaries were drawn broadly enough to completely envelop the massive ice sheet resting on the volcanic peak.,topological,contains,A federal park polygon completely bounding a high-altitude glacial polygon.,Level 4
City of Paris,Polygon,Catacombs of Paris Subterranean Network,MultiPolygon,"The sprawling surface municipal grid completely boxes in the massive, labyrinthine subterranean ossuary tunnels.",topological,contains,A surface city polygon entirely bounding a complex subterranean infrastructure multi-polygon.,Level 4
State of Hawaii,Polygon,Mauna Loa Magma Chamber,Polygon,"The administrative state bounds perfectly encapsulate the massive, active subterranean geological anomaly fueling the island's growth.",topological,contains,A state polygon completely enclosing a massive subterranean geological polygon.,Level 4
Republic of Italy,Polygon,Sovereign Military Order of Malta Magistral Villa,Polygon,The sovereign Italian borders completely encircle the extraterritorial estate located on the Aventine Hill.,topological,contains,A sovereign nation completely bounding an extraterritorial legal estate.,Level 4
Omani Exclave of Madha,Polygon,UAE Enclave of Nahwa,Polygon,"In a rare geographical anomaly known as a second-order enclave, the sovereign borders of the Omani territory completely envelop and trap the smaller United Arab Emirates jurisdiction.",topological,contains,A complex real-world 'donut hole' where an exclave polygon acts as the geometric container for an enclave polygon.,Level 4
Main Crater Lake,Polygon,Vulcan Point Island,Polygon,"Demonstrating an extreme level of natural geographical recursion, the waters of the basin sit inside a volcano and completely lock in the tiny landmass at their center.",topological,contains,Real-world recursive containment: a lake polygon entirely traps a smaller island polygon.,Level 4
Republic of Cyprus,Polygon,UN Buffer Zone in Cyprus,MultiPolygon,"While politically contested, the de jure sovereign territorial claim formally encompasses the entirety of the military strip cutting through its center.",topological,contains,A sovereign national polygon acts as the absolute container for a legally distinct military MultiPolygon.,Level 4
Victoria Island Landmass,Polygon,Unnamed Third-Order Arctic Island (69.793 N 108.241 W),Polygon,"In a remarkable case of recursive geography, the massive Arctic landmass encompasses an interior lake, which cradles a smaller island, which shelters a sub-lake that entirely traps the unnamed landmass.",topological,contains,Extreme geographic recursion where a macro-scale island acts as the ultimate top-level container for a deep sub-island.,Level 4
State of Texas,Polygon,The Alamo Mission Footprint,Polygon,The sprawling state lines completely serve as the absolute boundary box for the historical mission's architectural real estate.,topological,contains,A massive state polygon acting as the absolute container for a historical architectural polygon.,Level 4
Republic of India,Polygon,New Delhi,Polygon,"The national borders completely wrap around the capital district, situating it deep in the country's interior away from the sea.",topological,contains,A national polygon acting as the absolute container for a city polygon.,Level 4
Pacific Ocean,Polygon,State of Hawaii,MultiPolygon,The vast oceanic waters act as a complete geometric container for the isolated volcanic island chain located thousands of miles from any continent.,topological,contains,An ocean polygon fully enclosing a state multi-polygon.,Level 4
Omani Exclave of Madha,Polygon,UAE Enclave of Nahwa,Polygon,"In a rare geographical anomaly known as a second-order enclave, the sovereign borders of the Omani exclave of Madha completely envelop and trap the smaller United Arab Emirates territory of Nahwa.",topological,contains,A complex real-world 'donut hole' where an exclave polygon acts as the geometric container for another nation's enclave polygon.,Level 4
Main Crater Lake,Polygon,Vulcan Point Island,Polygon,"Demonstrating an extreme level of natural geographical recursion, the waters of the Main Crater Lake sit inside a volcano and completely lock in the tiny landmass of Vulcan Point Island.",topological,contains,Real-world recursive containment: a lake polygon (which is itself on an island in a lake) completely traps a smaller island polygon.,Level 4
Republic of Cyprus,Polygon,UN Buffer Zone in Cyprus,MultiPolygon,"While politically contested, the de jure sovereign territorial claim of the Republic of Cyprus formally encompasses the entirety of the United Nations-administered internal buffer zone that splits the island.",topological,contains,"A sovereign national polygon acts as the absolute container for a complex, legally distinct military MultiPolygon cutting through its center.",Level 4
Pacific Ocean,Polygon,Mariana Trench,Polygon,"The vast oceanic waters completely blanket and envelop the massive, crescent-shaped geomorphic scar on the crust.",topological,contains,A massive ocean polygon entirely serving as the bounding box for a deep oceanic trench.,Level 5
Kingdom of Saudi Arabia,Polygon,Rub' al Khali Desert,Polygon,The massive national borders completely act as the absolute perimeter for the largest continuous sand desert in the world.,topological,contains,A massive nation polygon entirely bounding an extreme environmental desert polygon.,Level 5
Republic of Italy,Polygon,San Marino,Polygon,"The sovereign Italian territory completely encircles the ancient microstate, locking it permanently inland away from the Mediterranean.",topological,contains,A sovereign nation acting as an absolute geographic container for another sovereign nation.,Level 5
Australia,Polygon,Australian Capital Territory,Polygon,The massive continental bounds completely serve as the absolute host for the inland capital territory governing the nation.,topological,contains,A massive continental polygon completely enclosing a specific administrative territory.,Level 5
State of California,Polygon,Death Valley Below-Sea-Level Basin,Polygon,The massive state geometry completely traps the extreme geological depression marking the lowest elevation on the continent.,topological,contains,A state polygon completely enclosing an extreme below-sea-level geological polygon.,Level 5
Republic of Chile,Polygon,Easter Island Landmass,Polygon,The sovereign maritime claims of the Andean nation completely wrap the isolated volcanic rock located deep in the southeastern Pacific.,topological,contains,"A national maritime claim completely bounding a remote, isolated island polygon.",Level 5
Commonwealth of Australia,Polygon,Ashmore and Cartier Islands,MultiPolygon,The massive national maritime borders completely encircle the uninhabited external territories situated in the Indian Ocean.,topological,contains,A national maritime polygon acting as the absolute host for a remote external territory.,Level 5
Great Pyramid Perimeter,Polygon,King's Chamber Subterranean Volume,Polygon,The monumental square masonry footprint of the ancient wonder absolutely surrounds the architectural chamber engineered deep in its center.,topological,contains,A monumental surface polygon acting as the absolute geometric host for an interior 3D architectural polygon.,Level 5
Navajo Nation Reservation,Polygon,Hopi Reservation,Polygon,"In a rare display of domestic sovereign recursion, the massive tribal territory completely encircles and isolates the independently governed lands on all sides.",topological,contains,A macro-administrative polygon acting as the absolute geometric container for a distinct micro-administrative polygon.,Level 5
Yellowstone National Park,Polygon,Yellowstone Supervolcano Caldera,Polygon,"The square, human-drawn federal boundaries were established broadly enough to completely safeguard the sprawling, subterranean geological footprint of the active natural hazard.",topological,contains,A man-made administrative surface polygon acting as the absolute geometric container for a subterranean volcanic polygon.,Level 5
South Africa,Polygon,Kingdom of Lesotho,Polygon,"The massive national boundaries entirely wrap around the independent, high-altitude kingdom, isolating it from any coastline or other neighbors.",topological,contains,A massive nation polygon completely enveloping an independent sovereign nation.,Level 5
Lake Superior,Polygon,Isle Royale,Polygon,"The massive fresh waters completely encircle the remote wilderness island, isolating it from the mainland shores.",topological,contains,A massive freshwater lake polygon completely enveloping an island multi-polygon.,Level 5
Switzerland,Polygon,Campione d'Italia,Polygon,"The Swiss cantons completely encircle the tiny Italian exclave situated near the waters of Lake Lugano, isolating it from the Italian mainland.",topological,contains,A sovereign nation acting as the geographic container for a tiny foreign exclave.,Level 5
Main Crater Lake,Polygon,Vulcan Point Island,Polygon,"Demonstrating an extreme level of natural geographical recursion, the waters of the basin sit completely wrapping a volcano and entirely lock in the tiny landmass at their center.",topological,contains,Real-world recursive containment: a lake polygon entirely traps a smaller island polygon.,Level 5
Republic of Cyprus,Polygon,UN Buffer Zone in Cyprus,MultiPolygon,"While politically contested, the de jure sovereign territorial claim formally encompasses the entirety of the military strip slicing through its center.",topological,contains,A sovereign national polygon acts as the absolute container for a legally distinct military MultiPolygon.,Level 5
Victoria Island Landmass,Polygon,Unnamed Third-Order Arctic Island (69.793 N 108.241 W),Polygon,"In a remarkable case of recursive geography, the massive Arctic landmass completely wraps an interior lake, which cradles a smaller island, which shelters a sub-lake that entirely traps the unnamed landmass.",topological,contains,Extreme geographic recursion where a macro-scale island acts as the ultimate top-level container for a deep sub-island.,Level 5
Pacific Ocean,Polygon,State of Hawaii,MultiPolygon,The vast oceanic waters act as a complete geometric host for the isolated volcanic island chain located thousands of miles from any continent.,topological,contains,An ocean polygon fully enclosing a state multi-polygon.,Level 5
Navajo Nation Reservation,Polygon,Hopi Reservation,Polygon,The sovereign tribal borders of the Navajo Nation Reservation completely encircle and isolate the independently governed Hopi Reservation on all sides.,topological,contains,A domestic sovereign 'donut hole' topology where the source polygon fully encloses the target polygon's internal and external limits.,Level 5
Victoria Island Landmass,Polygon,Unnamed Third-Order Arctic Island (69.793 N 108.241 W),Polygon,"In a remarkable case of recursive geography, the massive Victoria Island landmass encompasses an interior lake, which cradles a smaller island, which shelters a sub-lake that entirely traps an unnamed third-order Arctic island.",topological,contains,Extreme nested geographical recursion where a macro-scale island polygon acts as the ultimate top-level container for a deep sub-island polygon.,Level 5
Yellowstone National Park,Polygon,Yellowstone Supervolcano Caldera,Polygon,"The federal boundaries of Yellowstone National Park were drawn broadly enough to completely safeguard the sprawling, subterranean geological footprint of the active Yellowstone Supervolcano Caldera.",topological,contains,"A man-made administrative surface polygon acting as the absolute geometric container for a massive, naturally occurring subterranean volcanic polygon.",Level 5
Route 66,LineString,Mississippi River,LineString,The historic Route 66 highway bridges over the flowing waters of the Mississippi River via the Chain of Rocks structure.,topological,crosses,A highway line intersects a river line at a specific crossing point.,Level 1
Trans-Siberian Railway,LineString,Ural Mountains,Polygon,The famous Trans-Siberian Railway makes its way completely through the Ural Mountains to link Europe to Asia.,topological,crosses,A railway line passes through both the exterior and interior of a mountain range polygon.,Level 1
Amazon River,LineString,Brazil,Polygon,The massive Amazon River flows straight through the northern half of Brazil before emptying into the ocean.,topological,crosses,A river line traversing a country polygon.,Level 1
Prime Meridian,LineString,France,Polygon,The imaginary line of the Prime Meridian drops straight through the western edge of France.,topological,crosses,An abstract mathematical line passing through a country polygon.,Level 1
Panama Canal,LineString,Isthmus of Panama,Polygon,"The man-made waterway bridges the gap, slicing directly through the landmass of the Isthmus of Panama.",topological,crosses,A canal line traversing a landmass polygon.,Level 1
Suez Canal,LineString,Egypt,Polygon,The Suez Canal cuts a path right through Egyptian territory to connect the two seas.,topological,crosses,A canal line traversing a national polygon.,Level 1
Colorado River,LineString,Grand Canyon National Park,Polygon,The rushing waters of the Colorado River carve a path straight down the center of the federal park.,topological,crosses,A river traversing a national park polygon.,Level 1
Channel Tunnel,LineString,English Channel,Polygon,The underwater railway bores a path directly beneath the waters of the English Channel.,topological,crosses,A transit line passing through a maritime polygon.,Level 1
Amazon River,LineString,Brazil,Polygon,The massive waterway flows entirely through the northern half of the South American nation before emptying into the ocean.,topological,crosses,A river line completely traversing a country polygon.,Level 1
Colorado River,LineString,Grand Canyon National Park,Polygon,The rushing waters carve a deep path straight through the center of the federal preserve.,topological,crosses,A river line entirely traversing a national park polygon.,Level 1
Route 66,LineString,Mississippi River,LineString,The historic highway bridges over the flowing waters via the Chain of Rocks structure.,topological,crosses,A highway line intersecting a major river line.,Level 1
Panama Canal,LineString,Isthmus of Panama,Polygon,The artificial waterway slices right through the Central American landmass.,topological,crosses,A canal line traversing a landmass polygon.,Level 1
Suez Canal,LineString,Egypt,Polygon,The engineered waterway cuts a path straight through the desert sands of the nation.,topological,crosses,An artificial canal traversing a national polygon.,Level 1
Prime Meridian,LineString,Spain,Polygon,The imaginary global longitude line drops through the eastern edge of the Iberian nation.,topological,crosses,An abstract mathematical line passing through a country polygon.,Level 1
Trans-Alaska Pipeline,LineString,State of Alaska,Polygon,The massive oil tube runs from the northern freezing slope straight down through the territory to the southern shipping port.,topological,crosses,An infrastructure line intersecting the interior of a state polygon.,Level 1
Channel Tunnel,LineString,English Channel,Polygon,The subterranean transit line bores completely under the maritime waters separating Britain and France.,topological,crosses,A tunnel line geometry passing through a maritime polygon.,Level 1
Mississippi River,LineString,State of Louisiana,Polygon,The massive river flows straight through the southern state before hitting the Gulf of Mexico.,topological,crosses,A river line traversing a state polygon.,Level 1
Eurostar Railway,LineString,France,Polygon,The high-speed train line passes completely through the northern countryside on its way to Paris.,topological,crosses,A railway line traversing a national polygon.,Level 1
Interstate 90,LineString,State of South Dakota,Polygon,The major interstate slices right through the Great Plains located in the midwestern state.,topological,crosses,A highway line geometry passing cleanly through a state polygon.,Level 1
Rio Grande,LineString,State of New Mexico,Polygon,The legendary river flows directly through the center of the southwestern state.,topological,crosses,A natural river line entirely traversing a state polygon.,Level 1
Panama Canal,LineString,Isthmus of Panama,Polygon,The artificial waterway of the Panama Canal cuts completely through the Isthmus of Panama to link the Atlantic and Pacific oceans.,topological,crosses,A line geometry passes through both the exterior boundary and the interior area of a landmass polygon.,Level 2
Channel Tunnel,LineString,English Channel,Polygon,The Channel Tunnel bores entirely under the seabed of the English Channel to link the United Kingdom and France.,topological,crosses,A transit line geometry traverses the spatial footprint of a maritime polygon.,Level 2
Trans-Alaska Pipeline,LineString,State of Alaska,Polygon,The massive oil pipeline runs from the northern freezing slope straight down to the southern shipping port.,topological,crosses,An infrastructure line intersecting the interior of a state polygon.,Level 2
Tropic of Cancer,LineString,Mexico,Polygon,The planetary latitudinal line cuts horizontally across the central desert regions of the Mexican nation.,topological,crosses,A global latitude line traversing a national polygon.,Level 2
Colorado River,LineString,Grand Canyon National Park,Polygon,The rushing waters of the Colorado River carve a continuous path straight down the center of the federal park.,topological,crosses,A river line completely traversing a national park polygon.,Level 2
Prime Meridian,LineString,Spain,Polygon,The imaginary longitudinal line drops straight through the eastern edge of the Spanish mainland.,topological,crosses,An abstract mathematical line passing through a country polygon.,Level 2
Channel Tunnel,LineString,English Channel,Polygon,The Channel Tunnel passes entirely under the waters of the English Channel to link the United Kingdom and France.,topological,crosses,The transit LineString geometry traverses the spatial footprint of the maritime Polygon.,Level 2
Tropic of Cancer,LineString,Mexico,Polygon,The planetary latitude line traverses the central desert regions of the North American nation.,topological,crosses,A global latitude line traversing a national polygon.,Level 2
Colorado River,LineString,State of Utah,Polygon,The rushing waters carve a continuous path right through the massive red rock desert canyons of the state.,topological,crosses,A river line completely traversing a state polygon.,Level 2
Prime Meridian,LineString,France,Polygon,The imaginary longitudinal line drops straight through the western edge of the European nation.,topological,crosses,An abstract mathematical line passing through a country polygon.,Level 2
Arctic Circle,LineString,Canada,Polygon,The global latitude line slices the freezing northern tundra regions of the massive North American nation.,topological,crosses,A global latitude line traversing a national polygon.,Level 2
Trans-Amazonian Highway,LineString,Amazon Rainforest,Polygon,The dirt road cuts a brutal path straight through the dense South American jungle.,topological,crosses,A highway traversing an environmental polygon.,Level 2
Tropic of Capricorn,LineString,Australia,Polygon,The global latitudinal line traverses the arid red center of the massive continent.,topological,crosses,An abstract planetary boundary line traversing a massive landmass polygon.,Level 2
Interstate 70,LineString,State of Colorado,Polygon,The massive highway bores directly through the towering mountain peaks of the western state.,topological,crosses,A highway line intersecting the interior of a state polygon.,Level 2
Trans-Canada Highway,LineString,Province of Ontario,Polygon,The massive road network threads entirely through the massive province from east to west.,topological,crosses,A highway passing completely through a provincial polygon.,Level 2
River Thames,LineString,City of London,Polygon,The historic waterway snakes right through the center of the massive British metropolis.,topological,crosses,A river line traversing a city polygon.,Level 2
Great Rift Valley,Polygon,Kenya,Polygon,The massive geological trench cuts a wide swath directly through the African nation.,topological,crosses,A geological trench polygon traversing a national polygon.,Level 2
Danube River,LineString,Hungary,Polygon,"The massive European waterway flows directly through the heart of the nation, splitting its capital in two.",topological,crosses,A major river line entirely traversing a national polygon.,Level 2
Interstate 40,LineString,State of Arizona,Polygon,The highway slices right through the northern desert plateau of the southwestern state.,topological,crosses,A highway line traversing a state polygon.,Level 2
Union Pacific Railroad,LineString,State of Nevada,Polygon,The historic train tracks traverse the arid basin of the western state.,topological,crosses,A railway line passing through a massive state polygon.,Level 2
Colorado River,LineString,Grand Canyon National Park,Polygon,The rushing waters of the Colorado River carve a continuous path straight through the very center of the federal park from east to west.,topological,crosses,A natural river line geometry entirely traverses the interior and exterior boundaries of a federal park polygon.,Level 3
