placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
city,Polygon,museum,Polygon,"Other attractions in Riverside include the Fox Performing Arts Center, Museum of Riverside, which houses exhibits and artifacts of local history, the California Museum of Photography, the California Citrus State Historic Park, Castle Park, and the Parent Washington Navel Orange Tree, the last of California's two original navel orange trees.","Riverside,california"," California Museum of Photography,california",includes,contains,includes
city,MultiPolygon,building,Polygon,home to,"Milwaukee,wisconsin",headquarters of harley-davidson,home to,contains,is home to
city,Polygon,amenity,MultiPolygon,home to,"Stevens Point,wisconsin","university of wisconsin–stevens point,wisconsin",home to,contains,is home to
city,Polygon,county,Polygon,"""It also extends into Collin and Hunt counties.""","Royse City, Texas","Hunt county, Texas",extends into,overlaps,extend into
city,Polygon,town,Polygon,"""Artesia is surrounded on the west, south, and east sides by Cerritos, with Norwalk to the north.""","Artesia, California","Cerritos, California",surrounded by,touches,is surrounded by
city,MultiPolygon,tourism,Polygon,"""Fowler is located 11 miles (18 km) southeast of downtown Fresno, at an elevation of 308 feet (94 m).""","Fowler, California","downtown Fresno, California",distance from,disjoint,has some distance from
city,Polygon,city,MultiPolygon,"""It is situated along the Brazos River and I-35, halfway between Dallas and Austin.""","Waco, Texas","Dallas, Texas",halfway between,disjoint,is halfway between C and
city,Polygon,county,Polygon,in,"Mauston,wisconsin","juneau county,wisconsin",in,within,is in
city,MultiPolygon,county,Polygon,"18,119 of the population in","Marshfield,wisconsin","wood county,wisconsin",part of the population in,overlaps,has part of the population in
highway,LineString,city,Polygon,"""State Highway Loop 540 goes straight through the city from the northeast to the southwest while U.S. Route 59, the Southwest Freeway, passes to the south of Beasley.""","U.S. Route 59, Texas","Beasley, Texas",goes through,crosses,goes through
park,Polygon,water,Polygon,"""The Irwindale Event Center is also located in the city, as is the Santa Fe Dam Recreation Area near the San Gabriel River, a plant of the Miller Brewing Company, and a plant of the Huy Fong Foods sriracha sauce company.""","Santa Fe Dam Recreation Area, California","San Gabriel River, California",near,crosses,is near
town,Polygon,county,Polygon,in,"Kiel,wisconsin","manitowoc county,wisconsin",in,overlaps,is in
city,Polygon,river,LineString,"""It is on the upper Sacramento River in the Trinity Mountains.""","Dunsmuir, California","Sacramento River, California",on,crosses,is on
city,MultiPolygon,county,Polygon,"""Hemet is a city in the San Jacinto Valley in Riverside County, California.""","Hemet, California","Riverside County, California",in,within,is in
village,Polygon,county,Polygon,"""Castle Hills is a city located in Bexar County, Texas, United States.""","Castle Hills, Texas","Bexar County, Texas",located in,within,is located in
city,MultiPolygon,municipality,Polygon,surrounds,"Darlington,wisconsin","town of darlington ,wisconsin",surrounds,touches,is surrounded by
village,Polygon,county,Polygon,"""Shavano Park is a city located in Bexar County, Texas, United States.""","Shavano Park, Texas","Bexar County, Texas",located in,within,is located in
city,Polygon,city,MultiPolygon,"""It is completely surrounded by the city of Dallas.""","Cockrell Hill, Texas","Dallas, Texas",surrounded by,touches,is surrounded by
tourism,Polygon,highway,LineString,"""The city is on Texas State Highway 31.""","the city, Texas","Texas State Highway 31, Texas",on,crosses,is on
city,Polygon,city,MultiPolygon,"""It is also an outer ring suburb of Fort Worth.""","Justin, Texas","Fort Worth, Texas",suburb of,disjoint,is suburb of
city,Polygon,city,MultiPolygon,"""It is located in the East Bay of the San Francisco Bay Area; between Oakland to the northwest, and Ashland, Castro Valley, and Hayward to the southeast.""","San Leandro,california","Oakland, California",to the direction,touches,just direction of
city,MultiPolygon,county,Polygon,covers,"green bay metropolitan area(Brown, Kewaunee, Oconto),wisconsin","Green Bay,wisconsin(brown)",covers,contains,covers
city,Polygon,city,MultiPolygon,"""Simonton is located at the intersection of Farm roads 1093 and 1489, approximately fourteen miles northwest of Richmond, Texas and five miles west of Fulshear, Texas.""","Simonton, Texas","Richmond, Texas",distance from,disjoint,has some distance from
city,Polygon,county,Polygon,in,"Montreal,wisconsin","iron county,wisconsin",in,within,is in
village,Polygon,village,Polygon,"""Terrell Hills is bordered on the west by Alamo Heights, on the east by Fort Sam Houston, on the north by Uptown San Antonio, and on the south by San Antonio's Near East Side.""","Terrell Hills, Texas","Alamo Heights, Texas",bordered by,touches,is bordered by
city,MultiPolygon,city,MultiPolygon,southwest of,"Neenah,wisconsin","green bay,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,water,Polygon,"It is situated on the banks of Lake Winnebago, Little Lake Butte des Morts, and the Fox River,","Neenah,wisconsin","lake winnebago,wisconsin",situated on,overlaps,is situated on
city,Polygon,city,Polygon,suburb of,"Glendale,wisconsin","milwaukee city,wisconsin",suburb of,touches,is suburb of
water,Polygon,city,MultiPolygon,surrounding,"lake monona,wisconsin","Madison,wisconsin",surrounding,overlaps,is surrounded by
city,Polygon,city,Polygon,"""Belton is a city in the U.S. state of Texas on the Interstate 35 corridor between Austin and Waco.""","Belton, Texas","Waco, Texas",between,disjoint,is between C and
city,MultiPolygon,amenity,Polygon,"""Fort Worth is the location of several university communities: Texas Christian University, Texas Wesleyan, University of North Texas Health Science Center, and Texas A&M University School of Law.""","Fort Worth, Texas",Texas Christian University,location of,contains,is the location of
city,Polygon,county,Polygon,"3,203 were in Green County, and only 90 were in Rock Count","Brodhead,wisconsin","green county,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,county,Polygon,county seat of,"Shell Lake,wisconsin","washburn county ,wisconsin",county seat of,within,is the county seat of
city,MultiPolygon,amenity,MultiPolygon,home to,"Milwaukee,wisconsin","marquette university,wisconsin",home to,contains,is home to
city,MultiPolygon,water,Polygon,"It is situated on the banks of Lake Winnebago, Little Lake Butte des Morts, and the Fox River","Neenah,wisconsin","little lake butte des morts,wisconsin",situated on,overlaps,is situated on
highway,LineString,city,Polygon,"Westmorland is on State Route 86, which was upgraded to a new six-lane highway to reduce its infamous auto accident and fatality risk, while it connects with Brawley, El Centro and Mexicali, Baja California, Mexico.",State Route 86,El Centro,connect,crosses,connect C and
city,Polygon,county,Polygon,in,"St. Croix Falls,wisconsin","polk county,wisconsin",in,within,is in
town,Polygon,suburb,Polygon,"""Rancho Palos Verdes (Spanish for 'Green Sticks Ranch') is a coastal city located in Los Angeles County, California atop the bluffs of the Palos Verdes Peninsula, is neighboring other cities in the Palos Verdes Hills, including Palos Verdes Estates, Rolling Hills and Rolling Hills Estates.""","Rancho Palos Verdes, California","Palos Verdes Estates, california",is neighboring,touches,is neighboring
industrial,LineString,city,MultiPolygon,"The city is connected to the coastline by State Route 52, a six-lane freeway that runs from Interstate 5 in La Jolla to State Route 67 in El Cajon.,La Jolla,to,El Cajon.",State Route 52,"Santee,California",connect,crosses,connect C and
city,Polygon,highway,LineString,"""The city is looped by I-20 to the north, US 83/84 on the west, and Loop 322 to the east.""","Abilene, Texas",I-20 ,looped by,crosses,looped by
city,MultiPolygon,building,Polygon,"""Fort Worth is the location of several university communities: Texas Christian University, Texas Wesleyan, University of North Texas Health Science Center, and Texas A&M University School of Law.""","Fort Worth, Texas", Texas A&M University School of Law,location of,contains,is the location of
man_made,Polygon,city,MultiPolygon,"""The Rainbow Bridge across the Neches River connects Port Arthur to Bridge City.""","Rainbow Bridge, Texas","Port Arthury, Texas",connect,crosses,connect C and
county,Polygon,town,Polygon,"""About 20 miles (32 km) south of San Francisco, the city borders Burlingame to the north, Hillsborough to the west, San Francisco Bay and Foster City to the east and Belmont to the south.""","San Mateo, California","Foster City, California",borders,touches,borders
city,MultiPolygon,county,Polygon,county seat of,"Green Bay,wisconsin","brown county,wisconsin",county seat of,within,is the county seat of
city,Polygon,city,MultiPolygon,"""Ceres is located in the San Joaquin Valley along State Route 99, south of Modesto and north of Turlock in Stanislaus County.""","Ceres, California","Modesto, California",direction of,overlaps,just direction of
city,Polygon,city,MultiPolygon,"""University Park and Highland Park together comprise the Park Cities, an enclave of Dallas.""","University Park, Texas","Dallas, Texas",enclave of,touches,is an enclave of
town,Polygon,water,LineString,"""Bell is located on the west bank of the Los Angeles River and is a suburb of the city of Los Angeles.""","Bell, California","Los Angeles River, California",on the banks of,crosses,is on the bank of
city,Polygon,city,MultiPolygon,"""Cupertino (/ÀåkuÀêp…ôrÀàtiÀêno ä/ KOOP-…ôr-TEEN-oh) is a city in Santa Clara County, California, United States, directly west of San Jose on the western edge of the Santa Clara Valley with portions extending into the foothills of the Santa Cruz Mountains.""","Cupertino, California","San Jose, California",directly direction of,touches,is directly direction of
city,MultiPolygon,city,Polygon,"""It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west, the Pacific Ocean on the southwest, by Seal Beach on the northwest, by Westminster on the north, by Fountain Valley on the northeast, by Costa Mesa on the east, and by Newport Beach on the southeast.""","Newport Beach, California","Huntington Beach, California",bordered by,disjoint,is bordered by
city,Polygon,city,MultiPolygon,"""It is in the Salinas Valley, 21 miles (34 km) southeast of Salinas, the county seat.""","Soledad, California","Salinas, California",distance from,disjoint,has some distance from
city,Polygon,secondary road,LineString,"Major thoroughfares include Lakewood (SR 19), Bellflower, and Del Amo Boulevards and Carson and South Streets","Lakewood,california","Bellflower,lakewood,california",includes,contains,includes
city,Polygon,county,Polygon,"""The city lies in Galveston and Harris Counties.""","Friendswood, Texas","Galveston County, Texas",partially lies in,overlaps,is partly in
city,Polygon,county,Polygon,"""Grand Saline is the third largest city in Van Zandt County and is located roughly 75 miles (120 km) east of Dallas and 35 miles (56 km) northwest of Tyler, the two nearest metropolitan areas, and is part of the greater Tyler/Longview area.""","Grand Saline, Texas","Tyler, Texas",distance from,disjoint,has some distance from
city,MultiPolygon,museum,Polygon,"Fort Worth is the location of the Van Cliburn International Piano Competition and several museums designed by contemporary architects. The Kimbell Art Museum was designed by Louis Kahn, with an addition designed by Renzo Piano. The Modern Art Museum of Fort Worth was designed by Tadao Ando. The Amon Carter Museum of American Art, designed by Philip Johnson, houses American art. The Sid Richardson Museum, redesigned by David M. Schwarz, has a collection of Western art in the U.S., emphasizing Frederic Remington and Charles Russell. The Fort Worth Museum of Science and History was designed by Ricardo Legorreta of Mexico.","Fort Worth, Texas",Sid Richardson Museum,location of,contains,is the location of
city,MultiPolygon,amenity,MultiPolygon,home to,"La Crosse,wisconsin","university of wisconsin-la crosse,wisconsin",home to,contains,is home to
town,MultiPolygon,prison,Polygon,The city is the location of two prisons: Central California Women's Facility and Valley State Prison.,"Chowchilla, california",Central California Women's Facility ,location of,contains,is the location of
city,Polygon,county,Polygon,straddling,"Wisconsin Dells,wisconsin","juneau,wisconsin",straddle,overlaps,straddles
city,Polygon,county,Polygon,6 of the population in,"Stanley,wisconsin","clark county ,wisconsin",part of the population in,overlaps,has part of the population in
city,Polygon,village,Polygon,"""Rockport is adjacent to the town of Fulton, and many refer to the combined communities as 'Rockport-Fulton'.""","Rockport, Texas","Fulton, Texas",adjacent to,touches,is adjacent to
city,Polygon,city,Polygon,"""Laguna Niguel is located in the San Joaquin Hills in the southeastern corner of Orange County, close to the Pacific Ocean, and borders the cities of Aliso Viejo, Dana Point, Laguna Beach, Laguna Hills, Mission Viejo, and San Juan Capistrano.""","Laguna Niguel, California","Aliso Viejo, California",borders,touches,borders
city,Polygon,county,Polygon,county seat of,"Stevens Point,wisconsin","portage county,wisconsin",county seat of,within,is the county seat of
city,Polygon,museum,Polygon,"Other attractions in Riverside include the Fox Performing Arts Center, Museum of Riverside, which houses exhibits and artifacts of local history, the California Museum of Photography, the California Citrus State Historic Park, Castle Park, and the Parent Washington Navel Orange Tree, the last of California's two original navel orange trees","Riverside,california","Museum of Riverside,california",includes,contains,includes
city,Polygon,county,Polygon,located in,"De Pere,wisconsin","brown county,wisconsin",located in,within,is located in
highway,LineString,city,Polygon,"Westmorland is on State Route 86, which was upgraded to a new six-lane highway to reduce its infamous auto accident and fatality risk, while it connects with Brawley, El Centro and Mexicali, Baja California, Mexico.",State Route 86,Brawley,connect,crosses,connect C and
city,MultiPolygon,building,Polygon,home to,"Kenosha,wisconsin","jockey international,wisconsin",home to,contains,is home to
village,Polygon,water,Polygon,Just upstream from the town is E.V. Spence Reservoir,"Robert Lee, texas",E.V. Spence Reservoir,upstream from,disjoint,is upstream from
city,Polygon,water,LineString,"""It was incorporated in May 2004 originally as 'Brazos Bend', and is located along the main stem of the Brazos River.""","Brazos Bend, Texas","Brazos River, Texas",along,crosses,is along
city,MultiPolygon,municipality,Polygon,within,"Seymour,wisconsin","town of seymour,wisconsin",within,touches,is within
city,MultiPolygon,highway,LineString,"Ceres is located in the San Joaquin Valley along State Route 99, south of Modesto and north of Turlock in Stanislaus County.,Ceres,south of,Modesto","Ceres, California",State Route 99,along,crosses,is along
city,Polygon,city,Polygon,"""Cotati (/ko¬†√§√Ä√†t‚Ä¶√´√Ä√™ti√Ä√™/; Miwok: Kota‚Äö√Ñ√¥ti) is an incorporated city in Sonoma County, California, United States, located approximately 45 mi (70 km) north of San Francisco in the 101 corridor between Rohnert Park and Petaluma.""","Cotati, California","Petaluma, California",between,disjoint,is between C and
city,Polygon,park,Polygon,"""Rio Grande City is connected to Camargo via the Rio Grande City Camargo International Bridge.""",Camargo,Rio Grande City Camargo International Bridge,connect,crosses,connect C and
town,Polygon,leisure,MultiPolygon,"""Twentynine Palms serves as one of the entry points to Joshua Tree National Park.""","Twentynine Palms, California","Joshua Tree National Park, California",serves as entry points to,overlaps,serves as entry points to
city,Polygon,city,Polygon,"""Murrieta is bordered by the city of Temecula to the south, the cities of Menifee and Wildomar to the north, and the unincorporated community of French Valley to the east.""","Murrieta, California","Temecula, California",bordered by,touches,is bordered by
city,MultiPolygon,city,MultiPolygon,north of,"Appleton,wisconsin","milwaukee,wisconsin",direction of,disjoint,just direction of
city,MultiPolygon,county,Polygon,county seat of,"La Crosse,wisconsin","la crosse county,wisconsin",county seat of,within,is the county seat of
city,Polygon,village,MultiPolygon,within,"Verona,wisconsin","town of verona,wisconsin",within,touches,is within
city,Polygon,water,LineString,"""Red Bluff is situated on the banks of the upper Sacramento River.""","Red Bluff, California","Sacramento River, California",on the banks of,crosses,is on the bank of
man_made,Polygon,town,Polygon,"""The Rainbow Bridge across the Neches River connects Port Arthur to Bridge City.""","Rainbow Bridge, Texas","Bridge City, Texas",connect,crosses,connect C and
city,Polygon,city,Polygon,"""It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west, the Pacific Ocean on the southwest, by Seal Beach on the northwest, by Westminster on the north, by Fountain Valley on the northeast, by Costa Mesa on the east, and by Newport Beach on the southeast.""","Costa Mesa, California","Huntington Beach, California",bordered by,touches,is bordered by
city,MultiPolygon,city,MultiPolygon,"It is sometimes referred to as a twin city with Menasha, with which it shares Doty Island.","Neenah,wisconsin","menasha,wisconsin",shares the land with ,touches,shares the land with 
city,MultiPolygon,amenity,Polygon,is home to,"Appleton,wisconsin","fox cities exhibition center,wisconsin",home to,contains,is home to
city,MultiPolygon,water,Polygon,located on,"Madison,wisconsin","lake mendota,wisconsin",located on,overlaps,is located on
city,Polygon,county,Polygon,"""Arroyo Grande (Spanish for 'Big Creek') is a city in San Luis Obispo County, California, United States.""","Arroyo Grande, California","San Luis Obispo County, California",in,within,is in
town,Polygon,county,Polygon,in,"South Milwaukee,wisconsin","milwaukee county ,wisconsin",in,within,is in
city,Polygon,city,MultiPolygon,Midland was founded as the midway point between Fort Worth and El Paso on the Texas and Pacific Railroad in 1882,"Midland,Midland County, Texas","Fort Worth, Texas",midway between,disjoint,is midway between C and
city,MultiPolygon,tourism,Polygon,home to,"Madison,wisconsin","henry vilas zoo,wisconsin",home to,contains,is home to
city,MultiPolygon,city,MultiPolygon,"""Modesto is located in the Central Valley, 68 miles (109 km) south of Sacramento and 90 miles (140 km) north of Fresno.""","Modesto, California","Fresno, California",direction of,disjoint,just direction of
city,MultiPolygon,building,Polygon,theheadquarter of,"Racine,wisconsin","reliance controls corporation,wisconsin",the headquarter of,contains,the headquarter of
city,Polygon,tourism,Polygon,the site of,"Peshtigo,wisconsin","peshtigo fire ,wisconsin",the site of,contains,the site of
city,Polygon,county,Polygon,"""Higgins is a rural small town in Lipscomb County, Texas, United States, named after G.H. Higgins, a stockholder in the Santa Fe Railroad.""","Higgins, Texas","Lipscomb County, Texas",located in,within,is located in
city,MultiPolygon,amenity,MultiPolygon,home to,"Appleton,wisconsin","lawrence university,wisconsin",home to,contains,is home to
water,linestring,village,Polygon,flows through,"fox river ,wisconsin","Princeton,wisconsin",flows through,crosses,flows through
city,Polygon,county,Polygon,"""Dunsmuir is a city in Siskiyou County, northern California.""","Dunsmuir, California","Siskiyou County, California",in,within,is in
town,Polygon,city,Polygon,"""Imperial is a city in Imperial County, California, 4 miles (6.4 km) north of El Centro.""","Imperial, California","El Centro, California",distance from,overlaps,has some distance from
city,MultiPolygon,state,Polygon,"""Houston was part of an independent nation until 1846 when the United States formally annexed Texas.""","Houston, Texas",Texas,annexed,within,annexed
residential,Polygon,village,Polygon,"""The Retama Park horse-racing track is located in Selma.""","Retama Park, Texas","Selma, Texas",located in,disjoint,is located in
city,Polygon,city,MultiPolygon,"""The city of DeCordova shares its eastern region with Lake Granbury, situated 6 miles east-southeast of Granbury, Texas.""","DeCordova, Texas","Granbury, Texas",distance from,disjoint,has some distance from
city,Polygon,county,Polygon,"""Villa Park is a city in Orange County, California, United States.""","Villa Park, California","Orange County, California",in,within,is in
town,Polygon,town,Polygon,"""The city is bordered by Escondido to the east, Encinitas to the southwest, Carlsbad to the west, and Vista to the northwest.""","San Marcos, California","Encinitas, California",bordered by,touches,is bordered by
city,MultiPolygon,historic,Polygon,in,"ss meteor,wisconsin","Superior,wisconsin",in,within,is in
city,MultiPolygon,amenity,Polygon,"""Lubbock is home to Texas Tech University, the sixth-largest college by enrollment in the state.""","Lubbock, Texas","Texas Tech University, Texas",home to,contains,is home to
city,MultiPolygon,commercial,Polygon,home to,"Milwaukee,wisconsin","wec energy group,wisconsin",home to,contains,is home to
city,Polygon,desert,Polygon,"""The city lies in the Antelope Valley region of Southern California.""","Palmdale, California","Antelope Valley, California",lies in,overlaps,is in
city,MultiPolygon,town,Polygon,"""It covers a total area of 27.8 square miles (72 km2), about half of the valley, which it shares with the is neighboring city of San Jacinto.""","Hemet, California","San Jacinto, California",is neighboring,touches,is neighboring
city,Polygon,water,Polygon,"""Lewisville's proximity to Lewisville Lake has made it a recreational hub of the Dallas‚ÄìFort Worth metroplex.""","Lewisville, Texas","Lewisville Lake, Texas",proximity to,overlaps,proximity to
village,Polygon,river,LineString,"""Smithville is a city in Bastrop County, Texas, United States, near the Colorado River.""","Smithville, Texas","Colorado River, Texas",near,crosses,is near
city,MultiPolygon,highway,LineString,"With its accessible location along the U.S. Route 101 corridor, Ukiah serves as the city center for Mendocino County and much of is neighboring Lake County.,Ukiah,is,north of Mendocino County,California","Ukiah, California","Route 101, United State",along,crosses,is along
city,MultiPolygon,city,MultiPolygon,part of,"Oconto Falls,wisconsin","Green Bay Metropolitan Statistical Area(Brown, Kewaunee, Oconto)",part of,within,is part of
town,Polygon,college,Polygon,St. Helena is the location of The Culinary Institute of America at Greystone and a campus of Napa Valley College.,"St. Helena, california",Culinary Institute of America at Greystone,location of,contains,is the location of
city,Polygon,city,Polygon,"""Temecula is bordered by the city of Murrieta to the north and the Pechanga Indian Reservation and San Diego County to the south.""","Temecula, California","Murrieta, California",to the direction,touches,just direction of
town,Polygon,town,Polygon,"""Mendota is located 8.5 miles (14 km) south-southeast of Firebaugh, at an elevation of 174 feet (53 m).""","Mendota, California","Firebaugh, California",distance from,disjoint,has some distance from
town,Polygon,county,Polygon,"""It is the county seat of Runnels County.""","Ballinger, Texas","Runnels County, Texas",county seat of,within,is the county seat of
city,MultiPolygon,county,Polygon,Appleton is the county seat of Outagamie County,"Appleton,wisconsin","outagamie,wisconsin",county seat of,overlaps,is the county seat of
city,Polygon,county,Polygon,"""Bonham is a city and the county seat of Fannin County, Texas.""","Bonham, Texas","Fannin County, Texas",county seat of,within,is the county seat of
city,Polygon,county,Polygon,"""Mobile City is a city in Rockwall County, Texas, United States on the outskirts of Rockwall.""","Mobile City, Texas","Rockwall, Texas",on the outskirts of,within,on the outskirts of
town,Polygon,country,Polygon,"""Alamo is one of the Rio Grande Valley's gateways to Mexico, via U.S. Route 281 and Nuevo Progreso, Tamaulipas, as well as a gateway to the Santa Ana National Wildlife Refuge.""","Alamo, Texas",Mexico,gateway to,disjoint,gateway to
city,Polygon,highway,LineString,"""First formally settled in the mid-1890s, Katy was a railroad town along the Missouri‚ÄìKansas‚ÄìTexas (MKT) Railroad which ran parallel to U.S. Route 90 (today Interstate 10) into downtown Houston.""","Katy, Texas","US Route 90, Texas",parallel to,crosses,parallel to
town,Polygon,city,Polygon,"""Sausalito (Spanish for ""small willow grove"") is a city in Marin County, California, United States, located 1.5 miles (2.4 kilometers) southeast of Marin City, 8 miles (13 km) south-southeast of San Rafael, and about 4 miles (6 km) north of San Francisco from the Golden Gate Bridge.""","Sausalito, California","Marin City, California",distance from,touches,has some distance from
city,Polygon,tourism,MultiPolygon,"""Garden Grove is a city in northern Orange County, California, United States, located just southwest of Disneyland(located in Anaheim, CA).""","Garden Grove, California","Disneyland, California",just direction of,disjoint,just direction of
town,Polygon,resort,MultiPolygon,"This edge city includes the Disneyland Resort, with two theme parks, multiple hotels, and its retail district; Disney is part of the larger Anaheim Resort district with numerous other hotels and retail complexes.","Anaheim,california","Disneyland Resort,california",includes,contains,includes
city,Polygon,water,Polygon,home to,"Delavan,wisconsin","delavan lake,wisconsin",home to,overlaps,is home to
city,MultiPolygon,commercial,Polygon,home to,"Milwaukee,wisconsin","northwestern mutual,wisconsin",home to,contains,is home to
bay,Polygon,city,MultiPolygon,"""Located on the southern shore of the Carquinez Strait, the city's population was 38,290 at the 2020 census.""","Carquinez Strait, California","Martinez, California",on the shore of,overlaps,on the shore of
village,Polygon,city,Polygon,"""Dos Palos is located 27 miles (43 km) south-southwest of Merced, the county seat, at an elevation of 118 feet (36 m).""","Dos Palos, California","Merced, California",distance from,disjoint,has some distance from
city,Polygon,county,Polygon,straddling,"Wisconsin Dells,wisconsin","columbia,wisconsin",straddle,overlaps,straddles
city,MultiPolygon,neighbourhood,Polygon,"""In the mid-20th century, Houston's economy diversified, as it became home to the Texas Medical Center‚Äîthe world's largest concentration of healthcare and research institutions‚Äîand NASA's Johnson Space Center, home to the Mission Control Center.""","Houston, Texas","Texas Medical Center, Texas",home to,contains,is home to
city,MultiPolygon,county,Polygon,in,"Markesan,wisconsin","green lake county ,wisconsin",in,within,is in
town,Polygon,museum,polygon,"The city is the location of the Point Pinos Lighthouse, the Pacific Grove Museum of Natural History and the Pacific Grove Art Center. Novelist Robert Louis Stevenson frequented Pacific Grove and wrote of visiting lighthouse-keeper Allen Luce in 1879",Pacific Grove,Pacific Grove Museum of Natural History,location of,contains,is the location of
town,MultiPolygon,river,LineString,Situated on Lake Lyndon B. Johnson and the south branch of the Colorado River,"Horseshoe Bay,texas","Colorado River, Texas",situated on,crosses,is situated on
town,Polygon,tourism,Polygon,"""American jurist and 1924 Texas Republican gubernatorial nominee George C. Butte married and resided in Dublin for several years and is interred there at Live Oak Cemetery.""","Dublin, Texas","none, Texas",resided in,disjoint,is located in
city,Polygon,county,Polygon,in,"Hayward,wisconsin","sawyer county,wisconsin",in,within,is in
