index,expected,predicted,match,description
51,disjoint,invalid,False,"Rancho Cucamonga (/√Ä√•r‚àö¬∂nt¬†√âo¬†√§ ku√Ä√™k‚Ä¶√¥√Ä√†m¬†√•‚âà√£‚Ä¶¬∞‚Ä¶√¥/ RAN-choh KOO-k‚Ä¶√¥-MUNG-g‚Ä¶√¥) is a city located just south of the foothills of the San Gabriel Mountains and Angeles National Forest in San Bernardino County  California  United States."
52,touches,within,False,"El Paso stands on the Rio Grande across the Mexico‚ÄìUnited States border from Ciudad Juárez  the most-populous city in the Mexican state of Chihuahua with over 1.5 million people."
53,touches,invalid,False,"It lies in a corridor between the cities of Berkeley and Oakland  with a border on the shore of San Francisco Bay."
54,touches,overlaps,False,"Glendora is bordered by Azusa and the unincorporated community of Citrus to the west  San Dimas to the east and south  Covina and the unincorporated community of Charter Oak to the south  and the San Gabriel Mountains range to the north."
55,within,within,True,"Today  Longview is considered a major hub city for the region  as is the nearby city of Tyler."
56,within,within,True,in
57,crosses,invalid,False,upstream from
58,disjoint,disjoint,True,"Corning is a city in Tehama County  California  that is located about 19 miles (31 km) south of Red Bluff and about 100 miles (160 km) north of Sacramento."
59,overlaps,overlaps,True,straddling
60,touches,touches,True,"In addition  it shares the U.S.-Mexico border with the city of Nuevo Progreso  Tamaulipas."
61,disjoint,touches,False,"Beaumont is bordered on the east by the city of Banning  on the south by the city of San Jacinto  on the west by the city of Calimesa  and on the north by the unincorporated community of Cherry Valley."
62,overlaps,within,False,Of this  1 665 were in Clark County  and 610 were in Marathon County
63,touches,touches,True,"Pico Rivera is bordered by Montebello to the west  Downey to the south  Santa Fe Springs to the southeast  and Whittier to the east."
64,touches,disjoint,False,"It borders San Antonio to the northeast  and is adjacent to Randolph Air Force Base."
65,disjoint,invalid,False,"It lies 23 miles (37 km) east of Palm Springs  75 miles (121 km) east of Riverside  127 miles (204 km) east of Los Angeles  148 miles (238 km) northeast of San Diego  and 250 miles (402 km) west of Phoenix."
66,disjoint,disjoint,True,"Dixon is a city in northern Solano County  California  United States  located 23 miles (37 km) from the state capital  Sacramento."
67,overlaps,within,False,lies on
68,within,disjoint,False,"College Station is a city in Brazos County  Texas  situated in East-Central Texas in the heart of the Brazos Valley  towards the eastern edge of the region known as the Texas Triangle."
69,touches,within,False,mostly within the boundaries of
70,within,disjoint,False,"De Leon (/d…™ ÀàliÀê…ín/ dih LEE-on) is a city located in Comanche County in the U.S. state of Texas."
71,touches,within,False,"Located in the San Francisco Bay Area  and immediately south of San Francisco (sharing its northern border with almost all of San Francisco's southern border)  it is named for businessman and landowner John Donald Daly."
72,crosses,disjoint,False,"U.S. Highways 281 and 380  and Texas State Highways 114 and 199 intersect at Jacksboro  which is the county seat of Jack County."
73,within,within,True,part of
74,within,within,True,"Iredell (/Ààa…™…ôrd…õl/ IRE-del) is a city located in Bosque County in central Texas  United States."
75,touches,touches,True,"Pico Rivera is bordered by Montebello to the west  Downey to the south  Santa Fe Springs to the southeast  and Whittier to the east."
76,within,within,True,"Caldwell is a designated Main Street City and the county seat of Burleson County  Texas  United States."
77,touches,disjoint,False,"It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west  the Pacific Ocean on the southwest  by Seal Beach on the northwest  by Westminster on the north  by Fountain Valley on the northeast  by Costa Mesa on the east  and by Newport Beach on the southeast."
78,touches,disjoint,False,surrounds
79,touches,invalid,False,"San Dimas is bordered by the San Gabriel Mountains range to the north  Glendora and Covina to the west  La Verne to its north and east side  Pomona to its south and east side  Walnut and the unincorporated community of Ramona to the southwest  and the unincorporated community of West San Dimas  which is an enclave in the southwestern portion of the city."
80,touches,invalid,False,"A related city  La Habra Heights  is located to the north of La Habra  and is in Los Angeles County."
81,disjoint,disjoint,True,"Victoria is a two-hour drive from Corpus Christi  Houston  San Antonio  and Austin."
82,touches,disjoint,False,"Located on the west side of Cedar Creek Lake  it is a popular second home and retiree destination."
83,touches,disjoint,False,adjacent to
84,overlaps,within,False,"San Marcos is home to Texas State University and the Meadows Center for Water and the Environment."
85,within,within,True,in
86,disjoint,invalid,False,It is situated on the San Francisco Peninsula  roughly halfway between the cities of San Francisco and San Jose
87,touches,disjoint,False,within
88,within,within,True,in
89,overlaps,within,False,most of the population in
90,contains,within,False,home to
91,within,disjoint,False,in
92,disjoint,disjoint,True,"Universal City is primarily surrounded by Los Angeles with its northeastern corner touching the city of Burbank  making the unincorporated area a county island."
93,contains,within,False,The city is the location of two prisons: Central California Women's Facility and Valley State Prison.
94,crosses,touches,False,It is on California State Route 1 between Monterey and Santa Cruz and sits at an elevation of 43 feet (13 m). Monterey between Santa Cruz.
95,touches,within,False,"It is an enclave of San Antonio and is part of the San Antonio Metropolitan Statistical Area."
96,crosses,touches,False,Principal access to the city is supplied by State Route 17 that connects San Jose and Santa Cruz.
97,within,disjoint,False,in
98,touches,within,False,surrounds
99,overlaps,within,False,8 252 of the population in
100,disjoint,disjoint,True,"Gridley is a city in Butte County  California  United States  29 miles (47 kilometers) south of Chico  California and 56 miles (90 kilometers) north of Sacramento  California."
101,disjoint,invalid,False,Just east of the community is Jarvis Christian College  a historically black institution of higher learning.
102,within,within,True,in
103,within,within,True,"Walnut Springs is a city located in Bosque County in Central Texas."
104,within,within,True,Located in
105,disjoint,disjoint,True,"Wylie is a city and northeastern suburb of Dallas  that was once solely located in Collin County  but now extends into is neighboring Dallas and Rockwall counties in the U.S. state of Texas."
106,within,within,True,within
107,disjoint,invalid,False,"Colusi originates from the local Coru Native American tribe  who in the 1840s lived on the opposite side of the Sacramento River."
108,disjoint,disjoint,True,"It is situated along the Brazos River and I-35  halfway between Dallas and Austin."
109,disjoint,invalid,False,"Yosemite National Park is about 60 miles (100 km) to the north  Kings Canyon National Park 60 miles (100 km) to the east  and Sequoia National Park 75 miles (120 km) to the southeast."
110,touches,within,False,"It is surrounded by the cities of Chino  Ontario  Jurupa Valley  Norco  and Corona."
111,touches,touches,True,adjacent to
112,disjoint,disjoint,True,"The city is located approximately 45 miles (72 km) west of Palm Springs and 63 miles (101 km) east of Los Angeles."
113,within,within,True,county seat of
114,overlaps,within,False,"It lies on the Rio Grande  which forms the border between the United States and Mexico."
115,within,within,True,"Jacksonville is a city located in Cherokee County  Texas  United States."
116,disjoint,invalid,False,"Parlier is located 5.5 miles (9 km) east-northeast of Selma  at an elevation of 344 feet (105 m)."
117,disjoint,disjoint,True,"The town draws its name from its location on the far western edge of the East Texas timberline on U.S. Highway 80  approximately 60 miles east of Dallas."
118,touches,within,False,"Portland is a suburb of Corpus Christi  located on the north shore of Nueces and Corpus Christi Bays."
119,disjoint,invalid,False,"South Los Angeles  also known as South Central Los Angeles or simply South Central  is a region in southern Los Angeles County  lying mostly within the city limits of Los Angeles  south of downtown."
120,crosses,disjoint,False,along
121,contains,within,False,"The city is home to the Hemet Valley Medical Center  a 320-bed general hospital."
122,touches,disjoint,False,adjacent to
123,disjoint,invalid,False,"The city is located in the Mid-Cities suburban region between Dallas and Fort Worth and includes a larger portion of Dallas/Fort Worth International Airport than other cities."
124,crosses,overlaps,False,It is situated on the banks of Lake Winnebago  Little Lake Butte des Morts  and the Fox River 
125,within,within,True,in
126,disjoint,disjoint,True,"Rohnert Park is a city in Sonoma County  California  United States  located approximately 50 miles (80 km) north of San Francisco."
127,touches,within,False,"It is an inner-ring suburb of Dallas and is part of the Dallas‚ÄìFort Worth metroplex."
128,within,disjoint,False,in
129,disjoint,within,False,"It is located in Greater Houston."
130,contains,within,False,Fort Worth is the location of the Van Cliburn International Piano Competition and several museums designed by contemporary architects. The Kimbell Art Museum was designed by Louis Kahn  with an addition designed by Renzo Piano. The Modern Art Museum of Fort Worth was designed by Tadao Ando. The Amon Carter Museum of American Art  designed by Philip Johnson  houses American art. The Sid Richardson Museum  redesigned by David M. Schwarz  has a collection of Western art in the U.S.  emphasizing Frederic Remington and Charles Russell. The Fort Worth Museum of Science and History was designed by Ricardo Legorreta of Mexico.
131,contains,within,False,include
132,touches,disjoint,False,"The city borders Los Angeles County on its northwest side  Orange County to its south and southwest  and Riverside County to its southeast."
133,touches,disjoint,False,"About 20 miles (32 km) south of San Francisco  the city borders Burlingame to the north  Hillsborough to the west  San Francisco Bay and Foster City to the east and Belmont to the south."
134,within,within,True,located in
135,disjoint,within,False,"The 90274 ZIP code (covering the cities of Palos Verdes Estates and Rolling Hills) was ranked the 47th most expensive housing area among high property value U.S. ZIP codes in a 2007 study by Forbes.com."
136,touches,invalid,False,"Grand Terrace is located between Highgrove and Colton  along the I-215 and Agua Mansa industrial corridors."
137,within,within,True,"La Palma (Spanish for 'The Palm') is a city in Orange County  California  United States."
138,crosses,contains,False,at the mouth of
139,disjoint,invalid,False,"Located in the Ojai Valley  it is northwest of Los Angeles and east of Santa Barbara."
140,within,within,True,part of
141,disjoint,disjoint,True,"Blue Lake is located on the Mad River in a deep valley  16 miles (26 km) northeast of Eureka  at an elevation of 131 feet (40 m)."
142,disjoint,disjoint,True,"It is located approximately halfway between Waco and Bryan-College Station at the intersection of Texas State Highway 6 and Farm to Market Roads 1644 and 979  on the Southern Pacific line nine miles north of Hearne in west central Robertson County."
143,within,within,True,"Pleasant Hill is a city in Contra Costa County  California  United States  in the East Bay of the San Francisco Bay Area."
144,disjoint,disjoint,True,"It is in the South Bay area of San Diego County  14.1 miles (22.7 km) south of downtown San Diego and 5 miles (8 km) northwest of downtown Tijuana  Mexico."
145,contains,disjoint,False,"With regard to education  Austin is the home of the University of Texas at Austin  which is one of the largest universities in the U.S.  with over 50 000 students."
146,crosses,touches,False,on
147,overlaps,within,False,surrounding
148,overlaps,within,False,Colby is a city in Clark and Marathon counties in the U.S. state of Wisconsin
149,overlaps,within,False,the county seat of
150,within,within,True,in
151,within,within,True,county seat of
152,disjoint,disjoint,True,"Visalia is 36 mi (58 km) west of Sequoia National Park  and 43 mi (69 km) south of Fresno."
153,within,within,True,in
154,contains,contains,True,home to
155,disjoint,invalid,False,"Sanger is located 13 miles (21 km) east-southeast of Fresno  at an elevation of 371 feet (113 m)."
156,touches,touches,True,"The city shares its borders with Clayton  Lafayette  Alamo  Pleasant Hill  and Concord."
157,disjoint,within,False,southwest of
158,within,within,True,in
159,overlaps,within,False,"It is located primarily in Ector County  although a small section of the city extends into Midland County."
160,disjoint,disjoint,True,"Grand Saline is the third largest city in Van Zandt County and is located roughly 75 miles (120 km) east of Dallas and 35 miles (56 km) northwest of Tyler  the two nearest metropolitan areas  and is part of the greater Tyler/Longview area."
161,overlaps,within,False,1 354 of the population in 
162,disjoint,disjoint,True,"It is the 21st largest metropolitan area in California  ranked behind Redding and Chico."
163,touches,touches,True,"Pico Rivera is bordered by Montebello to the west  Downey to the south  Santa Fe Springs to the southeast  and Whittier to the east."
164,within,disjoint,False,"It is located at the southern tip of Texas in the Rio Grande Valley near the Mexican border  across the Rio Grande from the city of Nuevo Progreso  Rio Bravo  Tamaulipas."
165,touches,disjoint,False,"Located in Dallas County  it is also an inner ring suburb of Dallas."
166,disjoint,disjoint,True,"It lies in the Salinas Valley  33 miles (53 km) southeast of Salinas  at an elevation of 289 feet (88 m)."
167,contains,within,False,"Fort Worth is the location of several university communities: Texas Christian University  Texas Wesleyan  University of North Texas Health Science Center  and Texas A&M University School of Law."
168,touches,disjoint,False,"Benicia is just east of Vallejo and across the strait from Martinez."
169,overlaps,within,False,"Located on the shores of San Pablo Bay  the city had a population of 126 090 at the 2020 census."
170,touches,invalid,False,"The city is bounded by Topanga on the east  the Santa Monica Mountains (Agoura Hills  Calabasas  and Woodland Hills) to the north  the Pacific Ocean to the south  and Solromar in Ventura County to the west."
171,touches,within,False,"Located within 5.71 square miles (14.8 km2)  and surrounded by the cities of Los Angeles and West Hollywood  it has a population of 32 701 according to the 2020 census."
172,disjoint,disjoint,True,"The city is located approximately 45 miles (72 km) west of Palm Springs and 63 miles (101 km) east of Los Angeles."
173,overlaps,within,False,810 of the population in
174,touches,within,False,"Haltom City is surrounded almost entirely by Fort Worth  North Richland Hills  Watauga  and Richland Hills."
175,within,within,True,"As of 2006  Moorpark was one of the fastest-growing cities in Ventura County."
176,disjoint,disjoint,True,"A wealthy suburb of the Dallas/Fort Worth area  Colleyville was originally a small farm town in the 19th century."
177,disjoint,invalid,False,"Lindsay is located southeast of Visalia and north of Porterville and is considered part of the Visalia-Porterville Metropolitan Area and the Porterville Urban Area by the United States Census Bureau."
178,disjoint,disjoint,True,"Located within Southern California  it is approximately 25 miles (40 km) north of San Diego  between Solana Beach and Carlsbad  and about 95 miles (153 km) south of Los Angeles."
179,within,invalid,False,"La Mirada (Spanish for "The Look") is a city in southeast Los Angeles County  California United States  and is one of the Gateway Cities."
180,touches,invalid,False,"A related city  La Habra  is located south of La Habra Heights and is in Orange County."
181,within,within,True,located in
182,disjoint,within,False,"It is in the Pomona Valley  at the foothills of the San Gabriel Mountains."
183,within,within,True,"It is located primarily in Duval County  of which it is the county seat."
184,within,disjoint,False,"La Grange is the county seat of Fayette County."
185,disjoint,touches,False,"The Los Angeles River forms part of its southwestern boundary  and the Rio Hondo separates it from Downey."
186,disjoint,within,False,"It is a suburb of Dallas and Fort Worth."
187,touches,touches,True,"Palo Alto includes portions of Stanford University and borders East Palo Alto  Mountain View  Los Altos  Los Altos Hills  Stanford  Portola Valley  and Menlo Park."
188,disjoint,within,False,"The Colony is a city in Denton County  Texas  United States  and a suburb of Dallas."
189,disjoint,disjoint,True,"Beginning in the 1960s  the rapid growth of Houston moved westward along the new Interstate 10 corridor  bringing Katy into its environs."
190,disjoint,disjoint,True,"Trinidad (Spanish for "Trinity"; Yurok: Chuerey) is a seaside city in Humboldt County  located on the Pacific Ocean 8 miles (13 km) north of the Arcata-Eureka Airport and 15 miles (24 km) north of the college town of Arcata."
191,touches,invalid,False,"It is bounded to the north by the San Gabriel Mountains  to the north and west by the cities of Bradbury and Monrovia  to the south by the city of Irwindale  and to the east by the cities of Irwindale and Azusa."
192,disjoint,disjoint,True,"The city of Temecula  forming the southwestern anchor of the Inland Empire region  is approximately 58 miles (93 km) north of downtown San Diego and 85 miles (137 km) southeast of downtown Los Angeles."
193,overlaps,within,False,"Longview is a city in the U.S. state of Texas  and county seat of Gregg County; a small part of Longview extends into the western portion of is neighboring Harrison County."
194,touches,within,False,"Leon Valley is an independent municipality surrounded by the city of San Antonio."
195,touches,overlaps,False,"The city is bordered by Escondido to the east  Encinitas to the southwest  Carlsbad to the west  and Vista to the northwest."
196,touches,disjoint,False,"In 2017  Converse proposed the annexation of 12 mi2 of territory near Randolph Air Force Base in northeastern Bexar County."
197,disjoint,disjoint,True,"Avenal is located 35 miles (56 km) southwest of Hanford  at an elevation of 807 ft (246 m)."
198,overlaps,within,False,Marshfield is a city in northwest Wood and southwest Marathon counties in the U.S. state of Wisconsin
199,touches,touches,True,"Bradbury is bordered by the city of Monrovia to the west and south  and Duarte to the south and east."
200,within,within,True,in
201,within,within,True,in
202,contains,within,False,is the home of
203,touches,disjoint,False,"Murrieta is bordered by the city of Temecula to the south  the cities of Menifee and Wildomar to the north  and the unincorporated community of French Valley to the east."
204,overlaps,overlaps,True,"The city's limits extend into Caldwell and Guadalupe Counties  as well."
205,disjoint,within,False,"It is bordered by the cities of Bell on the south  Vernon on the north and west  Huntington Park on the southwest  and Commerce on the east."
206,within,within,True,in
207,touches,disjoint,False,"Larkspur is located 3 miles (4.8 km) south of San Rafael  at an elevation of 43 feet (13 m)."
208,contains,within,False,home to
209,overlaps,overlaps,True,"Albany (/Àà…îÀêlb…ôni/ AWL-b…ô-nee) is a city on the east shore of San Francisco Bay in northwestern Alameda County  California."
210,overlaps,within,False,146 of the population in
211,within,within,True,in
212,touches,within,False,"It is surrounded by the cities of Houston and West University Place."
213,touches,invalid,False,"Pharr is connected by bridge to the Mexican city of Reynosa  Tamaulipas."
214,overlaps,within,False,home to
215,overlaps,within,False,mostly located in
216,touches,disjoint,False,"Cotati (/ko¬†√§√Ä√†t‚Ä¶√´√Ä√™ti√Ä√™/; Miwok: Kota‚Äö√Ñ√¥ti) is an incorporated city in Sonoma County  California  United States  located approximately 45 mi (70 km) north of San Francisco in the 101 corridor between Rohnert Park and Petaluma."
217,touches,within,False,"The City of Hurst is surrounded by other communities including Bedford  Euless  Fort Worth  Richland Hills  North Richland Hills  Grapevine  and Colleyville."
218,within,within,True,in
219,disjoint,disjoint,True,to the northeast of
220,touches,invalid,False,"Stanton is bounded by Cypress on the west  Anaheim on the north  and east  and Garden Grove on the east and south."
221,crosses,invalid,False,The district straddles a 7-mile (11 km) stretch of Interstate 10 (the Katy Freeway)
222,crosses,disjoint,False,"The community is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg in Fort Bend County and Wallis in Austin County."
223,touches,disjoint,False,"It is adjacent to Cathedral City  Palm Desert  and Unincorporated Thousand Palms."
224,overlaps,within,False,7 795 were in Dodge County  and 3 549 were in Fond du Lac County
225,crosses,overlaps,False,"The city is centered on the intersection of Texas Highways 35 & 36  55 miles (89 km) southwest of downtown Houston."
226,touches,disjoint,False,"Murrieta is bordered by the city of Temecula to the south  the cities of Menifee and Wildomar to the north  and the unincorporated community of French Valley to the east."
227,touches,disjoint,False,Besides Roseville  it shares borders with Granite Bay  Loomis and Lincoln
228,within,within,True,"Camarillo (/Àåk√¶m…ôÀàriÀêo ä/ KAM-…ô-REE-oh) is a city in Ventura County in the U.S. state of California."
229,within,invalid,False,"The cities of Norco and Riverside lie to the north and northeast  Chino Hills and Yorba Linda to the northwest  Anaheim to the west  Cleveland National Forest and the Santa Ana Mountains to the southwest  and unincorporated Riverside County along the rest of the city's borders."
230,touches,within,False,"Sand City is a city in Monterey County  California  United States  located on the shores of Monterey Bay  and surrounded on most sides by the larger city of Seaside."
231,crosses,crosses,True,"O'Brien is located at the junction of Farm Road 2229 and Texas State Highway 6; the nearest large city is Abilene  70 miles to the south."
232,disjoint,disjoint,True,"Maricopa is located 6.5 miles (10 km) south-southeast of Taft  at an elevation of 883 feet (269 m)."
233,touches,disjoint,False,"Larkspur's Police Department is shared with that of the is neighboring Corte Madera and town of San Anselmo as the Central Marin Police Authority."
234,touches,disjoint,False,"El Paso adjoins it on the west and the smaller city of San Elizario on the southeast."
235,overlaps,within,False,in
236,within,within,True,"Citrus Heights is a city in Sacramento County  California."
237,touches,touches,True,"Monterey Park is bordered by Alhambra  Los Angeles  Montebello  and Rosemead."
238,touches,within,False,"Grand Terrace is located between Highgrove and Colton  along the I-215 and Agua Mansa industrial corridors."
239,within,within,True,in
240,touches,within,False,"The city is surrounded by Waco and is part of the Waco Metropolitan Statistical Area."
241,within,within,True,"Most of the city is located in Dallas County  though a small portion extends into Kaufman County."
242,disjoint,invalid,False,north of
243,within,within,True,in
244,within,disjoint,False,Established as a city in 1888  it is on the shore of Lake Elsinore  a natural freshwater lake about 3 000 acres (1 200 ha) in size
245,touches,disjoint,False,"Manhattan Beach is a city in southwestern Los Angeles County  California  United States  on the Pacific coast south of El Segundo  west of Hawthorne and Redondo Beach  and north of Hermosa Beach."
246,within,within,True,part of
247,touches,disjoint,False,"Located near the county seat of Belton  Temple lies in the region referred to as Central Texas and is a principal city in the Killeen‚ÄìTemple‚ÄìFort Hood metropolitan area  which as of 2015 had a population of 450 051."
248,disjoint,invalid,False,"The city of Socorro adjoins it on the west and the town of Clint lies to the north."
249,overlaps,invalid,False,"The name dates back to the time when Stanford University  on the other side of Palo Alto to the west  was dry and prohibited alcohol sales within a radius of one-mile (1.6 km) from the campus."
250,within,within,True,in
251,within,within,True,in
252,disjoint,invalid,False,"Gilroy is a city in Northern California's Santa Clara County  south of Morgan Hill and north of San Benito County."
253,disjoint,disjoint,True,"It lies 23 miles (37 km) east of Palm Springs  75 miles (121 km) east of Riverside  127 miles (204 km) east of Los Angeles  148 miles (238 km) northeast of San Diego  and 250 miles (402 km) west of Phoenix."
254,disjoint,disjoint,True,"The Muir Woods National Monument is also located just outside the city limits."
255,touches,disjoint,False,"To the east lie the city of Westminster and the neighborhood of West Garden Grove  part of the city of Garden Grove."
256,disjoint,invalid,False,northwest of
257,touches,disjoint,False,"Palo Alto includes portions of Stanford University and borders East Palo Alto  Mountain View  Los Altos  Los Altos Hills  Stanford  Portola Valley  and Menlo Park."
258,within,disjoint,False,"California State University  Long Beach  one of the largest universities in California by enrollment  is within the city."
259,touches,within,False,partially within
260,within,within,True,"The portion of Lueders located in Jones County is part of the Abilene  Texas metropolitan area."
261,touches,invalid,False,western end of
262,touches,within,False,mostly in
263,touches,disjoint,False,"It is an enclave of San Antonio and is part of the San Antonio Metropolitan Statistical Area."
264,touches,overlaps,False,"It is bordered by the cities of Laguna Beach on the west and southwest  Laguna Hills on the east  Laguna Niguel on the southeast  and Laguna Woods on the north."
265,within,within,True,"Dorris is a city in Siskiyou County  California  United States."
266,touches,touches,True,"The Los Alamitos Race Course is named for the city  but lies in the is neighboring city of Cypress."
267,within,within,True,"Hico (/Ààha…™ko ä/  HY-koh) is a small city located in Hamilton County in central Texas  United States."
268,touches,disjoint,False,"Texhoma is a divided city with the Texas-Oklahoma state border separating the city from Texhoma  Oklahoma."
269,within,within,True,"Honey Grove is a city in Fannin County  Texas  United States."
270,overlaps,within,False,1 640 of the population in
271,crosses,invalid,False,upstream from
272,within,within,True,in
273,disjoint,disjoint,True,"Sitting approximately 35 miles (56 km) from Sacramento and 55 miles (89 km) from San Francisco  it is within the Sacramento Valley."
274,disjoint,invalid,False,"The city lies in the San Gabriel Valley  east of the city of Los Angeles."
275,crosses,disjoint,False,"Abilene is located off Interstate 20  between exits 279 on its western edge and 292 on the east."
276,within,disjoint,False,"Santa Rosa (Spanish for "Saint Rose") is a city and the county seat of Sonoma County  in the North Bay region of the Bay Area in California."
277,disjoint,within,False,"It is a suburb of Fort Worth."
278,touches,within,False,suburb of
279,overlaps,within,False,Burlington is a city in Racine and Walworth counties in the U.S. state of Wisconsin  with the majority of the city located in Racine County
280,touches,touches,True,"The city shares its borders with Clayton  Lafayette  Alamo  Pleasant Hill  and Concord."
281,overlaps,within,False,"Riverbank is a city in Stanislaus County  California  United States."
282,touches,within,False,southwest of
283,disjoint,invalid,False,"The city is about 46 miles east of Los Angeles."
284,contains,within,False,home to
285,touches,within,False,"It is surrounded by the cities of Chino  Ontario  Jurupa Valley  Norco  and Corona."
286,disjoint,within,False,"Pacifica (Spanish: Pac‚àö‚â†fica  meaning 'Peaceful') is a city in San Mateo County  California  on the coast of the Pacific Ocean between San Francisco and Half Moon Bay."
287,disjoint,disjoint,True,It is situated on the San Francisco Peninsula  roughly halfway between the cities of San Francisco and San Jose
288,within,disjoint,False,in
